sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-100,1,15,6,0
1,-99,1,101,8,0
2,-99,1,164,4,0
3,-99,1,490,6,0
4,-99,1,39,8,0
5,-98,1,19,3,0
6,-97,1,94,7,0
7,-96,1,254,9,0
8,-96,1,3,8,0
9,-95,1,41,2,0
10,-94,1,259,4,0
11,-93,1,284,12,0
12,-92,1,110,6,0
13,-91,1,152,2,0
14,-90,1,3,5,0
15,-90,1,88,12,0
16,-90,1,74,3,0
17,-90,1,156,7,0
18,-89,1,32,7,0
19,-88,1,438,2,0
20,-87,1,23,6,0
21,-87,1,132,6,0
22,-87,1,2,11,0
23,-87,1,24,8,0
24,-86,1,86,4,0
25,-85,1,68,11,0
26,-85,1,43,6,0
27,-84,1,415,7,0
28,-84,1,2,4,0
29,-84,1,325,8,0
30,-84,1,91,4,0
31,-83,1,114,5,0
32,-82,1,456,12,0
33,-81,1,15,6,0
34,-81,1,239,6,0
35,-80,1,122,6,0
36,-79,1,266,5,0
37,-79,1,64,6,0
38,-78,1,125,4,0
39,-78,1,37,8,0
40,-78,1,17,12,0
41,-77,1,154,8,0
42,-76,1,198,6,0
43,-75,1,101,7,0
44,-74,1,13,4,0
45,-74,1,0,9,0
46,-73,1,30,8,0
47,-73,1,0,5,0
48,-72,1,2,5,0
49,-71,1,105,7,0
50,-70,1,39,12,0
51,-70,1,11,11,0
52,-69,1,97,10,0
53,-68,1,48,12,0
54,-68,1,31,11,0
55,-68,1,4,12,0
56,-68,1,216,6,0
57,-67,1,252,3,0
58,-67,1,172,8,0
59,-67,1,82,2,0
60,-67,1,114,8,0
61,-67,1,29,3,0
62,-66,1,57,9,0
63,-66,1,58,7,0
64,-65,1,46,6,0
65,-65,1,85,8,0
66,-64,1,7,6,0
67,-64,1,119,5,0
68,-64,1,92,6,0
69,-63,1,251,4,0
70,-62,1,37,8,0
71,-62,1,11,4,0
72,-61,1,2,2,0
73,-60,1,303,3,0
74,-60,1,148,10,0
75,-60,1,2,7,0
76,-59,1,194,7,0
77,-59,1,156,8,0
78,-59,1,460,8,0
79,-58,1,49,3,0
80,-58,1,138,2,0
81,-58,1,4,2,0
82,-57,1,39,8,0
83,-56,1,431,8,0
84,-56,1,38,2,0
85,-56,1,55,7,0
86,-56,1,122,12,0
87,-55,1,110,5,0
88,-55,1,38,8,0
89,-55,1,343,5,0
90,-55,1,122,8,0
91,-55,1,25,5,0
92,-55,1,176,12,0
93,-54,1,83,11,0
94,-54,1,4,3,0
95,-54,1,34,6,0
96,-53,1,173,1,0
97,-53,1,13,8,0
98,-53,1,40,6,0
99,-53,1,42,3,0
100,-52,1,30,8,0
101,-51,1,53,7,0
102,-51,1,158,8,0
103,-51,1,145,7,0
104,-50,1,79,9,0
105,-50,1,115,6,0
106,-50,1,33,4,0
107,-50,1,20,6,0
108,-49,1,171,7,0
109,-48,1,12,8,0
110,-47,1,300,7,0
111,-46,1,19,8,0
112,-46,1,227,8,0
113,-45,1,18,2,0
114,-45,1,57,11,0
115,-44,1,16,10,0
116,-43,1,156,5,0
117,-43,1,3,6,0
118,-43,1,7,3,0
119,-42,1,32,10,0
120,-41,1,47,8,0
121,-41,1,4,12,0
122,-41,1,43,6,0
123,-40,1,278,2,0
124,-39,1,478,8,0
125,-38,1,48,8,0
126,-37,1,73,7,0
127,-37,1,7,4,0
128,-36,1,27,7,0
129,-36,1,160,10,0
130,-35,1,4,9,0
131,-35,1,7,4,0
132,-34,1,120,4,0
133,-33,1,30,5,0
134,-32,1,247,4,0
135,-32,1,498,6,0
136,-31,1,47,2,0
137,-31,1,23,3,0
138,-31,1,21,3,0
139,-30,1,4,4,0
140,-30,1,8,7,0
141,-30,1,332,2,0
142,-29,1,320,10,0
143,-28,1,19,8,0
144,-27,1,68,10,0
145,-27,1,6,6,0
146,-27,1,9,5,0
147,-26,1,474,4,0
148,-25,1,266,3,0
149,-25,1,255,5,0
150,-25,1,18,10,0
151,-24,1,46,8,0
152,-24,1,221,2,0
153,-24,1,9,10,0
154,-24,1,44,8,0
155,-24,1,49,1,0
156,-24,1,4,10,0
157,-24,1,209,8,0
158,-23,1,63,11,0
159,-22,1,25,8,0
160,-22,1,39,5,0
161,-21,1,16,4,0
162,-20,1,1,6,0
163,-19,1,114,9,0
164,-19,1,264,2,0
165,-19,1,15,3,0
166,-18,1,87,4,0
167,-18,1,153,8,0
168,-17,1,119,9,0
169,-17,1,492,6,0
170,-16,1,20,8,0
171,-16,1,6,7,0
172,-15,1,458,7,0
173,-15,1,23,2,0
174,-14,1,42,10,0
175,-14,1,67,10,0
176,-14,1,15,10,0
177,-13,1,13,10,0
178,-12,1,1,4,0
179,-11,1,371,2,0
180,-11,1,327,6,0
181,-10,1,183,6,0
182,-10,1,1,3,0
183,-9,1,18,8,0
184,-8,1,19,5,0
185,-8,1,5,11,0
186,-8,1,2,7,0
187,-8,1,349,6,0
188,-7,1,373,8,0
189,-7,1,88,10,0
190,-6,1,131,6,0
191,-5,1,6,2,0
192,-5,1,192,6,0
193,-5,1,2,8,0
194,-5,1,44,12,0
195,-5,1,20,5,0
196,-5,1,29,11,0
197,-4,1,222,12,0
198,-4,1,14,3,0
199,-4,1,25,8,0
200,-3,1,51,10,0
201,-3,1,86,6,0
202,-3,1,145,6,0
203,-2,1,88,7,0
204,-1,1,79,8,0
