order_id,order_dum,order_type,item,qty,facing,due_date,station,pod_id,status,finish_time,date,time_gen
0,0,1,39,9,-1,99999,-1,-1,-3,-1,1,60
1,1,1,209,3,-1,99999,-1,-1,-3,-1,1,60
2,1,1,19,6,-1,99999,-1,-1,-3,-1,1,60
3,1,1,167,12,-1,99999,-1,-1,-3,-1,1,60
4,1,1,183,3,-1,99999,-1,-1,-3,-1,1,60
5,2,1,29,7,-1,99999,-1,-1,-3,-1,1,60
6,2,1,219,7,-1,99999,-1,-1,-3,-1,1,60
7,2,1,66,4,-1,99999,-1,-1,-3,-1,1,60
8,3,1,36,2,-1,99999,-1,-1,-3,-1,1,60
9,3,1,16,6,-1,99999,-1,-1,-3,-1,1,60
10,4,1,167,11,-1,99999,-1,-1,-3,-1,1,120
11,5,1,483,4,-1,99999,-1,-1,-3,-1,1,120
12,5,1,170,10,-1,99999,-1,-1,-3,-1,1,120
13,6,1,48,4,-1,99999,-1,-1,-3,-1,1,180
14,7,1,46,8,-1,99999,-1,-1,-3,-1,1,180
15,8,1,421,4,-1,99999,-1,-1,-3,-1,1,240
16,8,1,34,10,-1,99999,-1,-1,-3,-1,1,240
17,8,1,380,8,-1,99999,-1,-1,-3,-1,1,240
18,9,1,56,9,-1,99999,-1,-1,-3,-1,1,240
19,10,1,110,10,-1,99999,-1,-1,-3,-1,1,240
20,10,1,27,8,-1,99999,-1,-1,-3,-1,1,240
21,10,1,35,8,-1,99999,-1,-1,-3,-1,1,240
22,10,1,366,2,-1,99999,-1,-1,-3,-1,1,240
23,11,1,181,4,-1,99999,-1,-1,-3,-1,1,240
24,12,1,77,5,-1,99999,-1,-1,-3,-1,1,300
25,13,1,3,4,-1,99999,-1,-1,-3,-1,1,300
26,14,1,489,7,-1,99999,-1,-1,-3,-1,1,300
27,14,1,33,6,-1,99999,-1,-1,-3,-1,1,300
28,14,1,3,4,-1,99999,-1,-1,-3,-1,1,300
29,14,1,152,8,-1,99999,-1,-1,-3,-1,1,300
30,15,1,19,3,-1,99999,-1,-1,-3,-1,1,300
31,15,1,8,4,-1,99999,-1,-1,-3,-1,1,300
32,15,1,104,11,-1,99999,-1,-1,-3,-1,1,300
33,16,1,2,4,-1,99999,-1,-1,-3,-1,1,300
34,16,1,3,4,-1,99999,-1,-1,-3,-1,1,300
35,17,1,297,10,-1,99999,-1,-1,-3,-1,1,300
36,17,1,40,3,-1,99999,-1,-1,-3,-1,1,300
37,17,1,155,5,-1,99999,-1,-1,-3,-1,1,300
38,17,1,15,5,-1,99999,-1,-1,-3,-1,1,300
39,17,1,26,11,-1,99999,-1,-1,-3,-1,1,300
40,17,1,275,8,-1,99999,-1,-1,-3,-1,1,300
41,18,1,447,4,-1,99999,-1,-1,-3,-1,1,300
42,19,1,235,2,-1,99999,-1,-1,-3,-1,1,300
43,19,1,36,2,-1,99999,-1,-1,-3,-1,1,300
44,20,1,100,6,-1,99999,-1,-1,-3,-1,1,300
45,21,1,101,3,-1,99999,-1,-1,-3,-1,1,300
46,21,1,14,3,-1,99999,-1,-1,-3,-1,1,300
47,21,1,42,2,-1,99999,-1,-1,-3,-1,1,300
48,22,1,1,8,-1,99999,-1,-1,-3,-1,1,360
49,22,1,7,6,-1,99999,-1,-1,-3,-1,1,360
50,22,1,14,6,-1,99999,-1,-1,-3,-1,1,360
51,22,1,299,6,-1,99999,-1,-1,-3,-1,1,360
52,22,1,39,10,-1,99999,-1,-1,-3,-1,1,360
53,22,1,75,8,-1,99999,-1,-1,-3,-1,1,360
54,23,1,41,1,-1,99999,-1,-1,-3,-1,1,360
55,24,1,21,8,-1,99999,-1,-1,-3,-1,1,360
56,24,1,53,12,-1,99999,-1,-1,-3,-1,1,360
57,24,1,81,6,-1,99999,-1,-1,-3,-1,1,360
58,24,1,35,7,-1,99999,-1,-1,-3,-1,1,360
59,25,1,114,3,-1,99999,-1,-1,-3,-1,1,420
60,25,1,444,6,-1,99999,-1,-1,-3,-1,1,420
61,25,1,49,8,-1,99999,-1,-1,-3,-1,1,420
62,25,1,229,4,-1,99999,-1,-1,-3,-1,1,420
63,26,1,30,7,-1,99999,-1,-1,-3,-1,1,420
64,27,1,115,6,-1,99999,-1,-1,-3,-1,1,420
65,27,1,1,6,-1,99999,-1,-1,-3,-1,1,420
66,28,1,2,6,-1,99999,-1,-1,-3,-1,1,480
67,29,1,122,2,-1,99999,-1,-1,-3,-1,1,480
68,30,1,1,6,-1,99999,-1,-1,-3,-1,1,480
69,30,1,328,8,-1,99999,-1,-1,-3,-1,1,480
70,30,1,77,8,-1,99999,-1,-1,-3,-1,1,480
71,31,1,47,4,-1,99999,-1,-1,-3,-1,1,480
72,31,1,24,9,-1,99999,-1,-1,-3,-1,1,480
73,31,1,43,10,-1,99999,-1,-1,-3,-1,1,480
74,31,1,37,6,-1,99999,-1,-1,-3,-1,1,480
75,31,1,40,6,-1,99999,-1,-1,-3,-1,1,480
76,32,1,15,4,-1,99999,-1,-1,-3,-1,1,540
77,32,1,40,8,-1,99999,-1,-1,-3,-1,1,540
78,32,1,53,5,-1,99999,-1,-1,-3,-1,1,540
79,33,1,365,6,-1,99999,-1,-1,-3,-1,1,540
80,33,1,166,12,-1,99999,-1,-1,-3,-1,1,540
81,34,1,17,8,-1,99999,-1,-1,-3,-1,1,540
82,35,1,112,6,-1,99999,-1,-1,-3,-1,1,540
83,35,1,259,8,-1,99999,-1,-1,-3,-1,1,540
84,35,1,31,6,-1,99999,-1,-1,-3,-1,1,540
85,36,1,0,8,-1,99999,-1,-1,-3,-1,1,540
86,37,1,31,2,-1,99999,-1,-1,-3,-1,1,540
87,37,1,18,1,-1,99999,-1,-1,-3,-1,1,540
88,37,1,81,8,-1,99999,-1,-1,-3,-1,1,540
89,38,1,19,1,-1,99999,-1,-1,-3,-1,1,600
90,39,1,13,6,-1,99999,-1,-1,-3,-1,1,600
91,39,1,168,6,-1,99999,-1,-1,-3,-1,1,600
92,40,1,135,3,-1,99999,-1,-1,-3,-1,1,660
93,41,1,55,4,-1,99999,-1,-1,-3,-1,1,660
94,41,1,307,2,-1,99999,-1,-1,-3,-1,1,660
95,41,1,1,6,-1,99999,-1,-1,-3,-1,1,660
96,41,1,15,7,-1,99999,-1,-1,-3,-1,1,660
97,42,1,51,9,-1,99999,-1,-1,-3,-1,1,660
98,43,1,379,4,-1,99999,-1,-1,-3,-1,1,660
99,43,1,120,6,-1,99999,-1,-1,-3,-1,1,660
100,43,1,6,5,-1,99999,-1,-1,-3,-1,1,660
101,44,1,12,8,-1,99999,-1,-1,-3,-1,1,660
102,44,1,82,7,-1,99999,-1,-1,-3,-1,1,660
103,44,1,339,6,-1,99999,-1,-1,-3,-1,1,660
104,44,1,27,6,-1,99999,-1,-1,-3,-1,1,660
105,45,1,190,1,-1,99999,-1,-1,-3,-1,1,660
106,45,1,163,10,-1,99999,-1,-1,-3,-1,1,660
107,45,1,83,7,-1,99999,-1,-1,-3,-1,1,660
108,46,1,111,7,-1,99999,-1,-1,-3,-1,1,660
109,47,1,30,7,-1,99999,-1,-1,-3,-1,1,720
110,48,1,114,8,-1,99999,-1,-1,-3,-1,1,720
111,48,1,474,2,-1,99999,-1,-1,-3,-1,1,720
112,48,1,286,12,-1,99999,-1,-1,-3,-1,1,720
113,49,1,25,9,-1,99999,-1,-1,-3,-1,1,780
114,49,1,32,8,-1,99999,-1,-1,-3,-1,1,780
115,50,1,19,7,-1,99999,-1,-1,-3,-1,1,780
116,50,1,34,4,-1,99999,-1,-1,-3,-1,1,780
117,50,1,40,4,-1,99999,-1,-1,-3,-1,1,780
118,51,1,86,4,-1,99999,-1,-1,-3,-1,1,780
119,51,1,101,2,-1,99999,-1,-1,-3,-1,1,780
120,52,1,126,6,-1,99999,-1,-1,-3,-1,1,780
121,52,1,50,9,-1,99999,-1,-1,-3,-1,1,780
122,53,1,365,4,-1,99999,-1,-1,-3,-1,1,780
123,53,1,10,8,-1,99999,-1,-1,-3,-1,1,780
124,54,1,28,7,-1,99999,-1,-1,-3,-1,1,840
125,55,1,78,8,-1,99999,-1,-1,-3,-1,1,840
126,56,1,37,12,-1,99999,-1,-1,-3,-1,1,840
127,57,1,7,7,-1,99999,-1,-1,-3,-1,1,840
128,58,1,8,10,-1,99999,-1,-1,-3,-1,1,840
129,58,1,319,7,-1,99999,-1,-1,-3,-1,1,840
130,58,1,38,12,-1,99999,-1,-1,-3,-1,1,840
131,59,1,17,5,-1,99999,-1,-1,-3,-1,1,900
132,60,1,1,5,-1,99999,-1,-1,-3,-1,1,900
133,61,1,6,8,-1,99999,-1,-1,-3,-1,1,900
134,62,1,493,5,-1,99999,-1,-1,-3,-1,1,900
135,63,1,75,10,-1,99999,-1,-1,-3,-1,1,900
136,63,1,1,8,-1,99999,-1,-1,-3,-1,1,900
137,63,1,45,1,-1,99999,-1,-1,-3,-1,1,900
138,63,1,86,11,-1,99999,-1,-1,-3,-1,1,900
139,64,1,139,10,-1,99999,-1,-1,-3,-1,1,900
140,64,1,30,2,-1,99999,-1,-1,-3,-1,1,900
141,64,1,489,10,-1,99999,-1,-1,-3,-1,1,900
142,64,1,31,8,-1,99999,-1,-1,-3,-1,1,900
143,64,1,305,1,-1,99999,-1,-1,-3,-1,1,900
144,65,1,59,6,-1,99999,-1,-1,-3,-1,1,960
145,65,1,0,4,-1,99999,-1,-1,-3,-1,1,960
146,66,1,197,8,-1,99999,-1,-1,-3,-1,1,960
147,67,1,33,3,-1,99999,-1,-1,-3,-1,1,960
148,68,1,166,1,-1,99999,-1,-1,-3,-1,1,960
149,68,1,113,6,-1,99999,-1,-1,-3,-1,1,960
150,68,1,39,10,-1,99999,-1,-1,-3,-1,1,960
151,69,1,16,4,-1,99999,-1,-1,-3,-1,1,960
152,69,1,44,5,-1,99999,-1,-1,-3,-1,1,960
153,69,1,39,8,-1,99999,-1,-1,-3,-1,1,960
154,70,1,93,9,-1,99999,-1,-1,-3,-1,1,960
155,70,1,17,5,-1,99999,-1,-1,-3,-1,1,960
156,70,1,44,10,-1,99999,-1,-1,-3,-1,1,960
157,71,1,150,6,-1,99999,-1,-1,-3,-1,1,960
158,71,1,26,3,-1,99999,-1,-1,-3,-1,1,960
159,72,1,63,10,-1,99999,-1,-1,-3,-1,1,960
160,72,1,256,4,-1,99999,-1,-1,-3,-1,1,960
161,72,1,112,10,-1,99999,-1,-1,-3,-1,1,960
162,73,1,85,4,-1,99999,-1,-1,-3,-1,1,960
163,73,1,185,4,-1,99999,-1,-1,-3,-1,1,960
164,74,1,71,6,-1,99999,-1,-1,-3,-1,1,1020
165,75,1,18,2,-1,99999,-1,-1,-3,-1,1,1020
166,76,1,14,10,-1,99999,-1,-1,-3,-1,1,1020
