sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,-100,1,15,6,0
2,-99,1,101,8,0
3,-99,1,164,4,0
4,-99,1,490,6,0
5,-99,1,39,8,0
6,-98,1,19,3,0
7,-97,1,94,7,0
8,-96,1,254,9,0
9,-96,1,3,8,0
10,-95,1,41,2,0
11,-94,1,259,4,0
12,-93,1,284,12,0
13,-92,1,110,6,0
14,-91,1,152,2,0
15,-90,1,3,5,0
16,-90,1,88,12,0
17,-90,1,74,3,0
18,-90,1,156,7,0
19,-89,1,32,7,0
20,-88,1,438,2,0
21,-87,1,23,6,0
22,-87,1,132,6,0
23,-87,1,2,11,0
24,-87,1,24,8,0
25,-86,1,86,4,0
26,-85,1,68,11,0
27,-85,1,43,6,0
28,-84,1,415,7,0
29,-84,1,2,4,0
30,-84,1,325,8,0
31,-84,1,91,4,0
32,-83,1,114,5,0
33,-82,1,456,12,0
34,-81,1,15,6,0
35,-81,1,239,6,0
36,-80,1,122,6,0
37,-79,1,266,5,0
38,-79,1,64,6,0
39,-78,1,125,4,0
40,-78,1,37,8,0
41,-78,1,17,12,0
42,-77,1,154,8,0
43,-76,1,198,6,0
44,-75,1,101,7,0
45,-74,1,13,4,0
46,-74,1,0,9,0
47,-73,1,30,8,0
48,-73,1,0,5,0
49,-72,1,2,5,0
50,-71,1,105,7,0
51,-70,1,39,12,0
52,-70,1,11,11,0
53,-69,1,97,10,0
54,-68,1,48,12,0
55,-68,1,31,11,0
56,-68,1,4,12,0
57,-68,1,216,6,0
58,-67,1,252,3,0
59,-67,1,172,8,0
60,-67,1,82,2,0
61,-67,1,114,8,0
62,-67,1,29,3,0
63,-66,1,57,9,0
64,-66,1,58,7,0
65,-65,1,46,6,0
66,-65,1,85,8,0
67,-64,1,7,6,0
68,-64,1,119,5,0
69,-64,1,92,6,0
70,-63,1,251,4,0
71,-62,1,37,8,0
72,-62,1,11,4,0
73,-61,1,2,2,0
74,-60,1,303,3,0
75,-60,1,148,10,0
76,-60,1,2,7,0
77,-59,1,194,7,0
78,-59,1,156,8,0
79,-59,1,460,8,0
80,-58,1,49,3,0
81,-58,1,138,2,0
82,-58,1,4,2,0
83,-57,1,39,8,0
84,-56,1,431,8,0
85,-56,1,38,2,0
86,-56,1,55,7,0
87,-56,1,122,12,0
88,-55,1,110,5,0
89,-55,1,38,8,0
90,-55,1,343,5,0
91,-55,1,122,8,0
92,-55,1,25,5,0
93,-55,1,176,12,0
94,-54,1,83,11,0
95,-54,1,4,3,0
96,-54,1,34,6,0
97,-53,1,173,1,0
98,-53,1,13,8,0
99,-53,1,40,6,0
100,-53,1,42,3,0
101,-52,1,30,8,0
102,-51,1,53,7,0
103,-51,1,158,8,0
104,-51,1,145,7,0
105,-50,1,79,9,0
106,-50,1,115,6,0
107,-50,1,33,4,0
108,-50,1,20,6,0
109,-49,1,171,7,0
110,-48,1,12,8,0
111,-47,1,300,7,0
112,-46,1,19,8,0
113,-46,1,227,8,0
114,-45,1,18,2,0
115,-45,1,57,11,0
116,-44,1,16,10,0
117,-43,1,156,5,0
118,-43,1,3,6,0
119,-43,1,7,3,0
120,-42,1,32,10,0
121,-41,1,47,8,0
122,-41,1,4,12,0
123,-41,1,43,6,0
124,-40,1,278,2,0
125,-39,1,478,8,0
126,-38,1,48,8,0
127,-37,1,73,7,0
128,-37,1,7,4,0
129,-36,1,27,7,0
130,-36,1,160,10,0
131,-35,1,4,9,0
132,-35,1,7,4,0
133,-34,1,120,4,0
134,-33,1,30,5,0
135,-32,1,247,4,0
136,-32,1,498,6,0
137,-31,1,47,2,0
138,-31,1,23,3,0
139,-31,1,21,3,0
140,-30,1,4,4,0
141,-30,1,8,7,0
142,-30,1,332,2,0
143,-29,1,320,10,0
144,-28,1,19,8,0
145,-27,1,68,10,0
146,-27,1,6,6,0
147,-27,1,9,5,0
148,-26,1,474,4,0
149,-25,1,266,3,0
150,-25,1,255,5,0
151,-25,1,18,10,0
152,-24,1,46,8,0
153,-24,1,221,2,0
154,-24,1,9,10,0
155,-24,1,44,8,0
156,-24,1,49,1,0
157,-24,1,4,10,0
158,-24,1,209,8,0
159,-23,1,63,11,0
160,-22,1,25,8,0
161,-22,1,39,5,0
162,-21,1,16,4,0
163,-20,1,1,6,0
164,-19,1,114,9,0
165,-19,1,264,2,0
166,-19,1,15,3,0
167,-18,1,87,4,0
168,-18,1,153,8,0
169,-17,1,119,9,0
170,-17,1,492,6,0
171,-16,1,20,8,0
172,-16,1,6,7,0
173,-15,1,458,7,0
174,-15,1,23,2,0
175,-14,1,42,10,0
176,-14,1,67,10,0
177,-14,1,15,10,0
178,-13,1,13,10,0
179,-12,1,1,4,0
180,-11,1,371,2,0
181,-11,1,327,6,0
182,-10,1,183,6,0
183,-10,1,1,3,0
184,-9,1,18,8,0
185,-8,1,19,5,0
186,-8,1,5,11,0
187,-8,1,2,7,0
188,-8,1,349,6,0
