pod_id,item_id,qty,order_id,processed_time,task_type
140,154,8,-77,65,1
386,30,5,-33,78,1
386,30,8,-73,78,1
386,30,8,-52,78,1
6,15,6,-100,82,1
6,19,8,-28,82,1
266,259,4,-94,84,1
130,0,5,-73,91,1
69,41,2,-95,108,1
69,456,8,-82,108,1
2,20,8,-16,125,1
2,6,6,-27,125,1
2,6,4,-16,125,1
185,2,2,-61,136,1
185,2,4,-84,136,1
185,2,5,-72,136,1
185,2,7,-60,136,1
185,2,6,-8,136,1
185,325,8,-84,136,1
185,349,6,-8,136,1
131,284,12,-93,138,1
406,39,5,-22,144,1
406,39,8,-99,144,1
406,39,8,-57,144,1
406,39,12,-70,144,1
406,11,4,-62,144,1
406,11,11,-70,144,1
26,6,3,-16,147,1
26,9,5,-27,147,1
391,94,7,-97,158,1
78,164,4,-99,173,1
78,37,8,-62,173,1
7,68,10,-27,174,1
147,456,4,-82,186,1
126,132,6,-87,194,1
126,415,7,-84,194,1
126,44,12,-5,194,1
211,13,4,-74,202,1
211,37,8,-78,202,1
256,1,3,-10,207,1
256,1,4,-12,207,1
256,1,6,-20,207,1
31,48,12,-68,214,1
31,31,11,-68,214,1
49,183,6,-10,225,1
32,438,2,-88,236,1
349,24,8,-87,239,1
349,68,11,-85,239,1
93,120,4,-34,245,1
275,0,9,-74,251,1
275,17,12,-78,251,1
206,152,2,-91,268,1
3,25,8,-22,271,1
334,21,3,-31,286,1
334,222,12,-4,286,1
334,14,3,-4,286,1
259,101,8,-99,291,1
162,171,7,-49,309,1
166,2,1,-8,310,1
166,2,8,-5,310,1
166,2,11,-87,310,1
166,29,11,-5,310,1
11,4,6,-35,320,1
11,25,8,-4,320,1
198,125,4,-78,320,1
257,490,6,-99,336,1
321,148,10,-60,347,1
321,19,5,-8,347,1
54,97,10,-69,353,1
54,7,4,-35,353,1
387,32,10,-42,371,1
241,4,3,-35,379,1
241,4,3,-68,379,1
241,23,3,-31,379,1
108,23,6,-87,389,1
108,5,11,-8,389,1
271,4,6,-68,402,1
271,47,2,-31,402,1
135,32,7,-89,403,1
176,20,5,-5,419,1
176,43,6,-85,419,1
46,216,6,-68,419,1
132,13,10,-13,427,1
261,4,3,-68,430,1
319,19,3,-98,432,1
319,16,4,-21,432,1
364,192,6,-5,436,1
324,138,2,-58,444,1
324,4,2,-58,444,1
384,91,4,-84,450,1
