pod_id,pod_type,slot_id,slot_type,item,unusedColumn1,unusedColumn2,unusedColumn3,qty,max_qty,due_date,facing,pick_ind,slot_sequence,item_weight,total_item_weight,item_pod_inventory_level,item_warehouse_inventory_level
0,0,0,0,341,0,0,0,96,96,99999,0,0,0,0.665,63.84,0.6,0.5
0,0,1,0,267,0,0,0,528,528,99999,0,0,1,0.183,96.624,0.6,0.5
0,0,2,0,333,0,0,0,48,48,99999,0,0,2,0.9,43.2,0.6,0.5
0,0,3,0,38,0,0,0,384,384,99999,0,0,3,0.275,105.6,0.4,0.3
0,0,4,0,158,0,0,0,96,96,99999,0,0,4,0.633,60.768,0.5,0.4
0,0,5,0,270,0,0,0,80,80,99999,0,0,5,0.924,73.92,0.6,0.5
0,0,6,0,100,0,0,0,36,36,99999,0,0,6,0.345,12.42,0.5,0.4
0,0,7,0,447,0,0,0,60,60,99999,0,0,7,0.425,25.5,0.6,0.5
0,0,8,0,161,0,0,0,210,210,99999,0,0,8,0.114,23.94,0.5,0.4
0,0,9,0,27,0,0,0,336,336,99999,0,0,9,0.267,89.712,0.4,0.3
1,0,0,0,251,0,0,0,408,408,99999,0,0,10,0.159,64.872,0.6,0.5
1,0,1,0,14,0,0,0,12,12,99999,0,0,11,0.41,4.92,0.4,0.3
1,0,2,0,7,0,0,0,192,192,99999,0,0,12,0.45,86.4,0.4,0.3
1,0,3,0,195,0,0,0,30,30,99999,0,0,13,0.589,17.67,0.5,0.4
1,0,4,0,340,0,0,0,12,12,99999,0,0,14,0.283,3.396,0.6,0.5
1,0,5,0,5,0,0,0,192,192,99999,0,0,15,0.417,80.064,0.4,0.3
1,0,6,0,185,0,0,0,120,120,99999,0,0,16,0.532,63.84,0.5,0.4
1,0,7,0,35,0,0,0,192,192,99999,0,0,17,0.361,69.312,0.4,0.3
1,0,8,0,228,0,0,0,228,228,99999,0,0,18,0.397,90.516,0.6,0.5
1,0,9,0,467,0,0,0,336,336,99999,0,0,19,0.246,82.656,0.6,0.5
2,0,0,0,113,0,0,0,11,11,99999,0,0,20,6.02,66.22,0.5,0.4
2,0,1,0,215,0,0,0,264,264,99999,0,0,21,0.3,79.2,0.6,0.5
2,0,2,0,20,0,0,0,216,216,99999,0,0,22,0.386,83.376,0.4,0.3
2,0,3,0,205,0,0,0,60,60,99999,0,0,23,1.05,63.0,0.6,0.5
2,0,4,0,233,0,0,0,80,80,99999,0,0,24,0.179,14.32,0.6,0.5
2,0,5,0,115,0,0,0,192,192,99999,0,0,25,0.389,74.688,0.5,0.4
2,0,6,0,265,0,0,0,30,30,99999,0,0,26,0.468,14.04,0.6,0.5
2,0,7,0,209,0,0,0,210,210,99999,0,0,27,0.115,24.15,0.6,0.5
2,0,8,0,6,0,0,0,10,10,99999,0,0,28,0.34,3.4,0.4,0.3
2,0,9,0,308,0,0,0,180,180,99999,0,0,29,0.109,19.62,0.6,0.5
3,0,0,0,15,0,0,0,12,12,99999,0,0,30,0.367,4.404,0.4,0.3
3,0,1,0,69,0,0,0,48,48,99999,0,0,31,0.176,8.448,0.5,0.4
3,0,2,0,236,0,0,0,210,210,99999,0,0,32,0.103,21.63,0.6,0.5
3,0,3,0,272,0,0,0,168,168,99999,0,0,33,0.454,76.272,0.6,0.5
3,0,4,0,12,0,0,0,8,8,99999,0,0,34,0.306,2.448,0.4,0.3
3,0,5,0,355,0,0,0,36,36,99999,0,0,35,0.383,13.788,0.6,0.5
3,0,6,0,432,0,0,0,16,16,99999,0,0,36,0.9,14.4,0.6,0.5
3,0,7,0,25,0,0,0,30,30,99999,0,0,37,0.454,13.62,0.4,0.3
3,0,8,0,20,0,0,0,216,216,99999,0,0,38,0.386,83.376,0.4,0.3
3,0,9,0,357,0,0,0,6,6,99999,0,0,39,2.165,12.99,0.6,0.5
4,0,0,0,167,0,0,0,240,240,99999,0,0,40,0.284,68.16,0.5,0.4
4,0,1,0,9,0,0,0,180,180,99999,0,0,41,0.1,18.0,0.4,0.3
4,0,2,0,485,0,0,0,50,50,99999,0,0,42,0.308,15.4,0.6,0.5
4,0,3,0,365,0,0,0,24,24,99999,0,0,43,0.388,9.312,0.6,0.5
4,0,4,0,397,0,0,0,36,36,99999,0,0,44,0.273,9.828,0.6,0.5
4,0,5,0,272,0,0,0,168,168,99999,0,0,45,0.454,76.272,0.6,0.5
4,0,6,0,30,0,0,0,24,24,99999,0,0,46,0.387,9.288,0.4,0.3
4,0,7,0,36,0,0,0,12,12,99999,0,0,47,3.463,41.556,0.4,0.3
4,0,8,0,373,0,0,0,24,24,99999,0,0,48,1.0,24.0,0.6,0.5
4,0,9,0,222,0,0,0,456,456,99999,0,0,49,0.219,99.864,0.6,0.5
5,0,0,0,329,0,0,0,40,40,99999,0,0,50,0.31,12.4,0.6,0.5
5,0,1,0,29,0,0,0,360,360,99999,0,0,51,0.274,98.64,0.4,0.3
5,0,2,0,27,0,0,0,336,336,99999,0,0,52,0.267,89.712,0.4,0.3
5,0,3,0,477,0,0,0,45,45,99999,0,0,53,0.254,11.43,0.6,0.5
5,0,4,0,48,0,0,0,360,360,99999,0,0,54,0.275,99.0,0.4,0.3
5,0,5,0,363,0,0,0,10,10,99999,0,0,55,6.4,64.0,0.6,0.5
5,0,6,0,255,0,0,0,24,24,99999,0,0,56,0.49,11.76,0.6,0.5
5,0,7,0,22,0,0,0,72,72,99999,0,0,57,0.125,9.0,0.4,0.3
5,0,8,0,466,0,0,0,16,16,99999,0,0,58,0.381,6.096,0.6,0.5
5,0,9,0,332,0,0,0,72,72,99999,0,0,59,0.233,16.776,0.6,0.5
6,0,0,0,464,0,0,0,336,336,99999,0,0,60,0.259,87.024,0.6,0.5
6,0,1,0,268,0,0,0,18,18,99999,0,0,61,0.238,4.284,0.6,0.5
6,0,2,0,19,0,0,0,12,12,99999,0,0,62,0.28,3.36,0.4,0.3
6,0,3,0,132,0,0,0,264,264,99999,0,0,63,0.3,79.2,0.5,0.4
6,0,4,0,55,0,0,0,72,72,99999,0,0,64,0.15,10.8,0.5,0.4
6,0,5,0,289,0,0,0,240,240,99999,0,0,65,0.047,11.28,0.6,0.5
6,0,6,0,1,0,0,0,72,72,99999,0,0,66,0.125,9.0,0.4,0.3
6,0,7,0,420,0,0,0,40,40,99999,0,0,67,0.16,6.4,0.6,0.5
6,0,8,0,42,0,0,0,30,30,99999,0,0,68,0.454,13.62,0.4,0.3
6,0,9,0,15,0,0,0,12,12,99999,0,0,69,0.367,4.404,0.4,0.3
7,0,0,0,16,0,0,0,12,12,99999,0,0,70,0.301,3.612,0.4,0.3
7,0,1,0,65,0,0,0,24,24,99999,0,0,71,0.49,11.76,0.5,0.4
7,0,2,0,214,0,0,0,168,168,99999,0,0,72,0.441,74.088,0.6,0.5
7,0,3,0,68,0,0,0,320,320,99999,0,0,73,0.052,16.64,0.5,0.4
7,0,4,0,44,0,0,0,120,120,99999,0,0,74,0.62,74.4,0.4,0.3
