item_id,current_global_qty,max_global_qty,global_inv_level
0,900,900,1.0
1,1872,1872,1.0
2,600,600,1.0
3,8736,8736,1.0
4,162,162,1.0
5,4032,4032,1.0
6,200,200,1.0
7,4416,4416,1.0
8,960,960,1.0
9,4680,4680,1.0
10,5880,5880,1.0
11,5808,5808,1.0
12,224,224,1.0
13,2688,2688,1.0
14,300,300,1.0
15,228,228,1.0
16,372,372,1.0
17,2376,2376,1.0
18,780,780,1.0
19,240,240,1.0
20,3888,3888,1.0
21,10800,10800,1.0
22,1512,1512,1.0
23,5040,5040,1.0
24,280,280,1.0
25,870,870,1.0
26,7200,7200,1.0
27,8736,8736,1.0
28,360,360,1.0
29,8280,8280,1.0
30,528,528,1.0
31,1440,1440,1.0
32,3648,3648,1.0
33,4560,4560,1.0
34,7056,7056,1.0
35,5184,5184,1.0
36,228,228,1.0
37,5760,5760,1.0
38,7680,7680,1.0
39,9720,9720,1.0
40,888,888,1.0
41,1760,1760,1.0
42,720,720,1.0
43,5520,5520,1.0
44,3360,3360,1.0
45,1224,1224,1.0
46,570,570,1.0
47,900,900,1.0
48,9000,9000,1.0
49,6240,6240,1.0
50,135,135,1.0
51,2352,2352,1.0
52,192,192,1.0
53,36,36,1.0
54,1008,1008,1.0
55,504,504,1.0
56,576,576,1.0
57,180,180,1.0
58,1056,1056,1.0
59,180,180,1.0
60,72,72,1.0
61,648,648,1.0
62,240,240,1.0
63,210,210,1.0
64,144,144,1.0
65,48,48,1.0
66,504,504,1.0
67,48,48,1.0
68,640,640,1.0
69,192,192,1.0
70,120,120,1.0
71,72,72,1.0
72,600,600,1.0
73,720,720,1.0
74,864,864,1.0
75,36,36,1.0
76,36,36,1.0
77,1056,1056,1.0
78,720,720,1.0
79,96,96,1.0
80,128,128,1.0
81,36,36,1.0
82,504,504,1.0
83,1536,1536,1.0
84,72,72,1.0
85,96,96,1.0
86,400,400,1.0
87,72,72,1.0
88,720,720,1.0
89,120,120,1.0
90,240,240,1.0
91,108,108,1.0
92,150,150,1.0
93,120,120,1.0
94,144,144,1.0
95,1440,1440,1.0
96,288,288,1.0
97,50,50,1.0
98,300,300,1.0
99,96,96,1.0
100,108,108,1.0
101,1536,1536,1.0
102,96,96,1.0
103,504,504,1.0
104,720,720,1.0
105,84,84,1.0
106,48,48,1.0
107,180,180,1.0
108,840,840,1.0
109,1848,1848,1.0
110,1120,1120,1.0
111,108,108,1.0
112,1296,1296,1.0
113,99,99,1.0
114,1440,1440,1.0
115,1536,1536,1.0
116,144,144,1.0
117,2352,2352,1.0
118,540,540,1.0
119,444,444,1.0
120,480,480,1.0
121,12,12,1.0
122,144,144,1.0
123,100,100,1.0
124,48,48,1.0
125,336,336,1.0
126,960,960,1.0
127,768,768,1.0
128,32,32,1.0
129,144,144,1.0
130,72,72,1.0
131,324,324,1.0
132,1320,1320,1.0
133,14,14,1.0
134,120,120,1.0
135,480,480,1.0
136,48,48,1.0
137,180,180,1.0
138,252,252,1.0
139,56,56,1.0
140,40,40,1.0
141,120,120,1.0
142,1152,1152,1.0
143,336,336,1.0
144,1440,1440,1.0
145,120,120,1.0
146,216,216,1.0
147,1152,1152,1.0
148,2880,2880,1.0
149,720,720,1.0
150,72,72,1.0
151,192,192,1.0
152,60,60,1.0
153,126,126,1.0
154,1440,1440,1.0
