item_code,cluster,initial_inventory_boxes,box_weight,units_per_box
14010897001,0,1,5.0,12.0
32507027002,0,1,4.5,24.0
12301005001,1,1,17.158,96.0
14506127001,0,1,6.87,20.0
32504024001,0,1,1.0,12.0
31709974001,1,1,0.7,12.0
14021017001,3,14,3.93,12.0
14111118001,1,5,4.65,9.0
12201103001,2,22,10.5,96.0
14111010001,1,3,7.95,8.0
14010084001,1,6,4.27,12.0
14010002001,3,7,4.9,12.0
14508924001,0,1,10.67,10.0
14110084001,3,4,8.0,15.0
14600005001,3,6,24.38,24.0
14110086001,1,3,8.0,15.0
14010193001,1,4,5.3,15.0
14023050001,3,9,2.81,8.0
14508899001,1,3,11.51,48.0
14204048001,1,1,3.22,48.0
12201084001,1,65,11.77,4.0
14001090001,1,10,5.18,12.0
14104012001,3,9,4.21,15.0
14850010001,3,144,15.0,1.0
14850011001,3,94,15.0,1.0
