pod_id,used_slots,total_slots,empty_slots,total_boxes,total_items,total_weight,num_classes,classes
0,10,10,0,394,940,316.09000000000003,1,0
1,10,10,0,106,524,362.856,1,0
2,10,10,0,72,1300,300.824,1,0
3,10,10,0,42,828,292.64399999999995,1,0
4,10,10,0,82,590,267.41999999999996,1,0
5,10,10,0,84,796,252.16199999999998,1,0
6,10,10,0,118,446,144.24999999999997,1,0
7,10,10,0,77,1398,224.14399999999998,1,0
8,10,10,0,75,1094,231.64999999999998,1,0
9,10,10,0,2067,2828,429.524,1,0
10,10,10,0,59,594,239.00000000000003,1,0
11,10,10,0,124,674,264.27,1,0
12,10,10,0,55,478,248.84000000000003,1,0
13,10,10,0,96,726,217.244,1,0
14,10,10,0,41,1112,254.39999999999998,1,0
15,10,10,0,336,1246,242.872,1,0
16,10,10,0,187,1668,311.77000000000004,1,0
17,10,10,0,64,674,343.75,1,0
18,10,10,0,266,762,288.616,1,0
19,10,10,0,164,1086,289.68,1,0
20,10,10,0,112,902,352.744,1,0
21,10,10,0,202,1740,313.5,1,0
22,10,10,0,424,2534,346.36,1,0
23,10,10,0,91,1088,250.84199999999998,1,0
24,10,10,0,143,1246,289.34000000000003,1,0
25,10,10,0,74,1024,278.452,1,0
26,10,10,0,393,1138,195.556,1,0
27,10,10,0,136,1172,266.2,1,0
28,10,10,0,46,504,267.68399999999997,1,0
29,10,10,0,104,1598,254.61400000000003,1,0
30,10,10,0,90,1264,312.43999999999994,1,0
31,10,10,0,88,1149,192.644,1,0
32,10,10,0,101,1110,331.5,1,0
33,10,10,0,112,992,300.72400000000005,1,0
34,10,10,0,65,868,210.696,1,0
35,10,10,0,85,830,358.5679999999999,1,0
36,10,10,0,47,884,283.35200000000003,1,0
37,10,10,0,54,876,291.92,1,0
38,10,10,0,66,800,221.6,1,0
39,10,10,0,123,1096,389.562,1,0
40,10,10,0,215,1815,598.22,2,0|2
41,10,10,0,161,1863,631.66,1,2
42,10,10,0,161,1863,631.66,1,2
43,10,10,0,161,1863,631.66,1,2
44,10,10,0,161,1863,631.66,1,2
45,10,10,0,161,1863,631.66,1,2
46,10,10,0,161,1863,631.66,1,2
