item_code,cluster,mean_demand,std_demand,cv_demand,initial_inventory_boxes,qty_inv_items,num_compatible_slots,min_slot_type,total_boxes_assigned,total_items_assigned,total_weight_assigned,pods_used,slots_used,boxes_unplaced
12201006001,0,2.2857142857142856,10.474458731327635,4.582575694955841,10,0,1,0,150,150,30.0,2,2,0
10010027001,0,43.42857142857143,199.01471589522507,4.58257569495584,8,0,1,0,18,432,78.12,1,1,0
12120027001,0,1.4285714285714286,5.334523676687813,3.734166573681469,6,0,1,0,60,60,12.0,1,1,0
14621021001,0,16.952380952380953,67.69820986590132,3.993433728044741,6,0,1,0,8,96,71.76,2,2,0
12202006001,0,0.7619047619047619,3.491486243775878,4.58257569495584,4,0,1,0,4,4,4.0,1,1,0
14833059001,0,9.80952380952381,39.50015069290123,4.026714391023911,4,0,1,0,8,96,111.04,1,1,0
14851003001,0,0.7619047619047619,3.491486243775878,4.58257569495584,4,0,1,0,5,5,35.05,1,1,0
14313004001,0,0.3333333333333333,0.7958224257542215,2.3874672772626644,2,0,1,0,60,60,6.0,1,1,0
14313008001,0,0.2857142857142857,0.7837638128197258,2.7431733448690405,2,0,1,0,60,60,6.0,1,1,0
12123070001,0,0.4285714285714285,1.4342743312012722,3.3466401061363023,2,0,1,0,100,100,13.0,1,1,0
15020007001,0,5.238095238095238,18.400828138713653,3.512885371936243,2,0,1,0,6,72,78.72,1,1,0
14510225001,0,0.3809523809523809,1.3592715135759477,3.5680877231368626,2,0,1,0,24,24,60.0,1,1,0
14353073001,0,1.5238095238095235,4.5124167318527615,2.9612734802783747,2,0,1,0,2,12,24.0,1,1,0
14613939001,0,3.5238095238095237,12.184494440144192,3.457761935716595,2,0,1,0,2,24,24.34,1,1,0
11021026001,0,1.238095238095238,2.9309514138716444,2.3673069112040204,2,0,1,0,2,8,32.96,1,1,0
10035041001,0,6.571428571428571,28.76903096833716,4.3778960169208725,2,0,1,0,8,192,60.72,1,1,0
12123021001,0,0.3809523809523809,1.745743121887939,4.58257569495584,2,0,1,0,48,48,3.4559999999999995,1,1,0
11061055001,0,0.1904761904761904,0.511766315719159,2.6867731575255847,1,0,1,0,2,48,3.34,1,1,0
12000480001,0,0.2857142857142857,0.6436503043467892,2.2527760652137623,1,0,1,0,8,48,39.44,1,1,0
14130044001,0,0.5714285714285714,1.164964745021435,2.0386883037875116,1,0,1,0,2,24,9.584,1,1,0
12000191001,0,0.3809523809523809,0.8047478161629565,2.112463017427761,1,0,1,0,4,48,33.56,1,1,0
14213008001,0,0.3333333333333333,0.7302967433402214,2.1908902300206643,1,0,1,0,4,48,3.72,1,1,0
14611009001,0,0.3333333333333333,0.6582805886043833,1.97484176581315,1,0,1,0,4,24,48.12,1,1,0
12100054001,0,0.3333333333333333,0.7302967433402214,2.1908902300206643,1,0,1,0,12,144,26.28,1,1,0
12122012001,0,2.857142857142857,6.397544171678022,2.2391404600873077,1,0,1,0,2,48,8.04,1,1,0
14225933001,0,0.3809523809523809,0.6690433824641326,1.7562388789683483,1,0,1,0,16,576,32.0,1,1,0
41530017001,0,0.1428571428571428,0.358568582800318,2.5099800796022267,1,0,1,0,4,4,9.12,1,1,0
12327056001,0,3.4285714285714284,8.605645987207634,2.5099800796022267,1,0,1,0,8,192,61.6,1,1,0
14840021001,0,1.4285714285714286,2.4407258873423,1.70850812113961,1,0,1,0,16,192,68.8,1,1,0
11110056001,0,0.2857142857142857,0.5606119105813882,1.9621416870348587,1,0,1,0,4,24,18.36,1,1,0
12151073001,0,0.1428571428571428,0.358568582800318,2.5099800796022267,1,0,1,0,4,48,30.04,1,1,0
14352093001,0,0.3809523809523809,0.6690433824641326,1.7562388789683483,1,0,1,0,2,24,9.2,1,1,0
31250003001,0,0.1904761904761904,0.4023739080814782,2.112463017427761,1,0,1,0,8,192,8.0,1,1,0
14506254001,0,0.1428571428571428,0.358568582800318,2.5099800796022267,1,0,1,0,2,24,18.4,1,1,0
12011032001,0,0.238095238095238,0.5389584311207967,2.263625410707346,1,0,1,0,6,96,42.504,1,1,0
12010254001,0,1.7142857142857142,4.302822993603817,2.5099800796022267,1,0,1,0,2,288,29.12,1,1,0
12000100001,0,0.4761904761904761,1.077916862241593,2.263625410707346,1,0,1,0,4,48,32.56,1,1,0
14620138001,0,0.238095238095238,0.5389584311207967,2.263625410707346,1,0,1,0,6,36,70.38,1,1,0
14210127001,0,0.6190476190476191,1.395571226279421,2.2543842886052188,1,0,1,0,4,48,34.08,1,1,0
14506131001,0,0.4761904761904761,0.9283882603225668,1.9496153466773904,1,0,1,0,1,12,15.98,1,1,0
