sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,assigned_station,assigned_pod,status,order_processed,order_finished
1,-100,1,15,6,0,picker-1,,-1,,
2,-99,1,101,8,0,picker-1,,-1,0.0,
3,-99,1,164,4,0,picker-1,,-1,0.0,
4,-99,1,490,6,0,picker-1,,-1,0.0,
5,-99,1,39,8,0,picker-1,,-1,0.0,
6,-98,1,19,3,0,picker-5,,-1,,
7,-97,1,94,7,0,picker-2,,-1,0.0,
8,-96,1,254,9,0,,,-3,,
9,-96,1,3,8,0,,,-3,,
10,-95,1,41,2,0,picker-2,,-1,0.0,
11,-94,1,259,4,0,picker-2,,-1,0.0,
12,-93,1,284,12,0,picker-2,,-1,0.0,
13,-92,1,110,6,0,,,-3,,
14,-91,1,152,2,0,picker-2,,-1,0.0,
15,-90,1,3,5,0,,,-3,,
16,-90,1,88,12,0,,,-3,,
17,-90,1,74,3,0,,,-3,,
18,-90,1,156,7,0,,,-3,,
19,-89,1,32,7,0,,,-3,,
20,-88,1,438,2,0,picker-2,,-1,0.0,
21,-87,1,23,6,0,picker-5,,-1,0.0,
22,-87,1,132,6,0,picker-5,,-1,0.0,
23,-87,1,2,11,0,picker-5,,-1,0.0,
24,-87,1,24,8,0,picker-5,,-1,0.0,
25,-86,1,86,4,0,,,-3,,
26,-85,1,68,11,0,,,-3,,
27,-85,1,43,6,0,,,-3,,
28,-84,1,415,7,0,picker-5,,-1,0.0,
29,-84,1,2,4,0,picker-5,,-1,0.0,
30,-84,1,325,8,0,picker-5,,-1,0.0,
31,-84,1,91,4,0,picker-5,,-1,0.0,
32,-83,1,114,5,0,,,-3,,
33,-82,1,456,12,0,picker-2,,-1,0.0,
34,-81,1,15,6,0,,,-3,,
35,-81,1,239,6,0,,,-3,,
36,-80,1,122,6,0,,,-3,,
37,-79,1,266,5,0,picker-3,,-1,,
38,-79,1,64,6,0,picker-3,,-1,,
39,-78,1,125,4,0,,,-3,,
40,-78,1,37,8,0,,,-3,,
41,-78,1,17,12,0,,,-3,,
42,-77,1,154,8,0,,,-3,,
43,-76,1,198,6,0,picker-2,,-1,0.0,
44,-75,1,101,7,0,,,-3,,
45,-74,1,13,4,0,picker-1,,-1,,
46,-74,1,0,9,0,picker-1,,-1,,
47,-73,1,30,8,0,picker-4,,-1,0.0,
48,-73,1,0,5,0,picker-4,,-1,0.0,
49,-72,1,2,5,0,picker-5,,-1,0.0,
50,-71,1,105,7,0,,,-3,,
51,-70,1,39,12,0,picker-1,,-1,0.0,
52,-70,1,11,11,0,picker-1,,-1,0.0,
53,-69,1,97,10,0,picker-4,,-1,,
54,-68,1,48,12,0,picker-4,,-1,,
55,-68,1,31,11,0,picker-4,,-1,,
56,-68,1,4,12,0,picker-4,,-1,,
57,-68,1,216,6,0,picker-4,,-1,,
58,-67,1,252,3,0,,,-3,,
59,-67,1,172,8,0,,,-3,,
60,-67,1,82,2,0,,,-3,,
61,-67,1,114,8,0,,,-3,,
62,-67,1,29,3,0,,,-3,,
63,-66,1,57,9,0,,,-3,,
64,-66,1,58,7,0,,,-3,,
65,-65,1,46,6,0,,,-3,,
66,-65,1,85,8,0,,,-3,,
67,-64,1,7,6,0,,,-3,,
68,-64,1,119,5,0,,,-3,,
69,-64,1,92,6,0,,,-3,,
70,-63,1,251,4,0,,,-3,,
71,-62,1,37,8,0,picker-1,,-1,0.0,
72,-62,1,11,4,0,picker-1,,-1,0.0,
73,-61,1,2,2,0,picker-5,,-1,0.0,
74,-60,1,303,3,0,picker-5,,-1,0.0,
75,-60,1,148,10,0,picker-5,,-1,0.0,
76,-60,1,2,7,0,picker-5,,-1,0.0,
77,-59,1,194,7,0,,,-3,,
78,-59,1,156,8,0,,,-3,,
79,-59,1,460,8,0,,,-3,,
80,-58,1,49,3,0,,,-3,,
81,-58,1,138,2,0,,,-3,,
82,-58,1,4,2,0,,,-3,,
83,-57,1,39,8,0,picker-1,,-1,0.0,
84,-56,1,431,8,0,,,-3,,
85,-56,1,38,2,0,,,-3,,
86,-56,1,55,7,0,,,-3,,
