item_code,slot_type,orientation,slot_length,slot_width,slot_height,slot_volume,slots_per_pod,box_l0,box_w0,box_h0,box_weight,box_volume,units_per_box,oriented_l,oriented_w,oriented_h,max_x,max_y,max_z,max_boxes_in_slot,max_items_in_slot,max_boxes_in_pod,max_items_in_pod,used_volume_in_slot,used_weight_in_slot,vol_util_slot
10000001001,4,1,120.0,25.0,43.0,129000.0,,45.0,30.0,24.0,15.7,32400.0,24.0,45.0,24.0,30.0,2,1,1,2,48.0,,,64800.0,31.4,0.5023255813953489
10000002001,4,0,120.0,25.0,43.0,129000.0,,34.0,23.0,31.0,13.31,24242.0,6.0,34.0,23.0,31.0,3,1,1,3,18.0,,,72726.0,39.93,0.5637674418604651
10000003001,4,4,120.0,25.0,43.0,129000.0,,40.0,27.0,12.0,9.11,12960.0,24.0,27.0,12.0,40.0,4,2,1,8,192.0,,,103680.0,72.88,0.8037209302325582
10000004001,4,0,120.0,25.0,43.0,129000.0,,34.0,23.0,31.0,14.0,24242.0,6.0,34.0,23.0,31.0,3,1,1,3,18.0,,,72726.0,42.0,0.5637674418604651
10000005001,4,4,120.0,25.0,43.0,129000.0,,40.0,28.0,12.0,8.89,13440.0,24.0,28.0,12.0,40.0,4,2,1,8,192.0,,,107520.0,71.12,0.8334883720930233
10000006001,4,0,120.0,25.0,43.0,129000.0,,40.0,13.0,13.0,4.69,6760.0,12.0,40.0,13.0,13.0,3,1,3,9,108.0,,,60840.0,42.21,0.47162790697674417
10000007001,4,4,120.0,25.0,43.0,129000.0,,40.0,28.0,12.0,8.58,13440.0,24.0,28.0,12.0,40.0,4,2,1,8,192.0,,,107520.0,68.64,0.8334883720930233
10000010001,4,0,120.0,25.0,43.0,129000.0,,34.0,23.0,31.0,12.52,24242.0,6.0,34.0,23.0,31.0,3,1,1,3,18.0,,,72726.0,37.56,0.5637674418604651
10000011001,4,4,120.0,25.0,43.0,129000.0,,40.0,27.0,10.0,6.76,10800.0,24.0,27.0,10.0,40.0,4,2,1,8,192.0,,,86400.0,54.08,0.6697674418604651
10000012001,4,1,120.0,25.0,43.0,129000.0,,45.0,30.0,25.0,15.88,33750.0,24.0,45.0,25.0,30.0,2,1,1,2,48.0,,,67500.0,31.76,0.5232558139534884
10000013001,4,4,120.0,25.0,43.0,129000.0,,41.0,28.0,10.0,7.03,11480.0,24.0,28.0,10.0,41.0,4,2,1,8,192.0,,,91840.0,56.24,0.711937984496124
10000021001,4,4,120.0,25.0,43.0,129000.0,,40.0,28.0,12.0,8.59,13440.0,24.0,28.0,12.0,40.0,4,2,1,8,192.0,,,107520.0,68.72,0.8334883720930233
10000023001,4,4,120.0,25.0,43.0,129000.0,,43.0,28.0,25.0,16.27,30100.0,24.0,28.0,25.0,43.0,4,1,1,4,96.0,,,120400.0,65.08,0.9333333333333333
10000026001,4,0,120.0,25.0,43.0,129000.0,,34.0,22.0,14.0,6.62,10472.0,24.0,34.0,22.0,14.0,3,1,3,9,216.0,,,94248.0,59.58,0.7306046511627907
10000027001,4,1,120.0,25.0,43.0,129000.0,,45.0,30.0,25.0,15.41,33750.0,24.0,45.0,25.0,30.0,2,1,1,2,48.0,,,67500.0,30.82,0.5232558139534884
10000998001,4,0,120.0,25.0,43.0,129000.0,,28.0,20.0,19.0,4.8,10640.0,1.0,28.0,20.0,19.0,4,1,2,8,8.0,,,85120.0,38.4,0.6598449612403101
10001001001,4,0,120.0,25.0,43.0,129000.0,,34.0,24.0,31.0,13.34,25296.0,6.0,34.0,24.0,31.0,3,1,1,3,18.0,,,75888.0,40.019999999999996,0.5882790697674418
10001004001,4,0,120.0,25.0,43.0,129000.0,,34.0,23.0,31.0,12.52,24242.0,6.0,34.0,23.0,31.0,3,1,1,3,18.0,,,72726.0,37.56,0.5637674418604651
10001005001,4,4,120.0,25.0,43.0,129000.0,,40.0,27.0,12.0,9.11,12960.0,24.0,27.0,12.0,40.0,4,2,1,8,192.0,,,103680.0,72.88,0.8037209302325582
10001006001,4,4,120.0,25.0,43.0,129000.0,,40.0,28.0,12.0,8.95,13440.0,24.0,28.0,12.0,40.0,4,2,1,8,192.0,,,107520.0,71.6,0.8334883720930233
10001007001,4,4,120.0,25.0,43.0,129000.0,,42.0,28.0,24.0,15.97,28224.0,24.0,28.0,24.0,42.0,4,1,1,4,96.0,,,112896.0,63.88,0.8751627906976744
10001008001,4,0,120.0,25.0,43.0,129000.0,,34.0,22.0,31.0,13.02,23188.0,6.0,34.0,22.0,31.0,3,1,1,3,18.0,,,69564.0,39.06,0.5392558139534883
10001009001,4,4,120.0,25.0,43.0,129000.0,,40.0,27.0,10.0,6.77,10800.0,24.0,27.0,10.0,40.0,4,2,1,8,192.0,,,86400.0,54.16,0.6697674418604651
10001012001,4,4,120.0,25.0,43.0,129000.0,,40.0,27.0,10.0,6.79,10800.0,24.0,27.0,10.0,40.0,4,2,1,8,192.0,,,86400.0,54.32,0.6697674418604651
10001014001,4,0,120.0,25.0,43.0,129000.0,,34.0,22.0,14.0,6.55,10472.0,24.0,34.0,22.0,14.0,3,1,3,9,216.0,,,94248.0,58.949999999999996,0.7306046511627907
10001015001,4,1,120.0,25.0,43.0,129000.0,,45.0,30.0,24.0,15.6,32400.0,24.0,45.0,24.0,30.0,2,1,1,2,48.0,,,64800.0,31.2,0.5023255813953489
10001020001,4,4,120.0,25.0,43.0,129000.0,,41.0,27.0,12.0,8.58,13284.0,24.0,27.0,12.0,41.0,4,2,1,8,192.0,,,106272.0,68.64,0.823813953488372
10001022001,4,4,120.0,25.0,43.0,129000.0,,42.0,28.0,23.0,13.81,27048.0,24.0,28.0,23.0,42.0,4,1,1,4,96.0,,,108192.0,55.24,0.8386976744186047
10001025001,4,4,120.0,25.0,43.0,129000.0,,40.0,27.0,10.0,6.8,10800.0,24.0,27.0,10.0,40.0,4,2,1,8,192.0,,,86400.0,54.4,0.6697674418604651
10001035001,4,4,120.0,25.0,43.0,129000.0,,42.0,28.0,23.0,13.682,27048.0,24.0,28.0,23.0,42.0,4,1,1,4,96.0,,,108192.0,54.728,0.8386976744186047
10001043001,4,1,120.0,25.0,43.0,129000.0,,45.0,30.0,24.0,15.7,32400.0,24.0,45.0,24.0,30.0,2,1,1,2,48.0,,,64800.0,31.4,0.5023255813953489
10001044001,4,4,120.0,25.0,43.0,129000.0,,40.0,27.0,25.0,13.748,27000.0,24.0,27.0,25.0,40.0,4,1,1,4,96.0,,,108000.0,54.992,0.8372093023255814
