item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,avg_affinity,max_affinity,item_initial_inventory,box_initial_inventory,impact_score,mean_demand,std_demand,cv_demand,nonzero_periods,T,demand_frequency,cluster
14502016001,台酒麵攤-酒燉排骨風味湯麵95g,39.0,33.0,14.0,18018.0,3.63,30.0,2.1019912e-06,0.0003554743,54,2,0.2035826370602945,19.285714285714285,27.216066683381815,1.4112034576568349,12,21,0.5714285714285714,0
10040048001,多喝水微鹼性竹炭離子水Pet2000ml,38.0,22.0,31.0,25916.0,17.0,8.0,7.2796006e-08,3.3854696e-05,562,71,0.2195015635901095,131.85714285714286,343.2533008893411,2.6032211335052957,11,21,0.5238095238095238,0
12201020001,春風山茶花精華抽取式衛生紙,20.0,10.0,10.0,2000.0,0.05,1.0,1.2966797e-07,3.3854696e-05,101,101,0.1720324878958209,38.857142857142854,49.463406387233086,1.2729553114361456,13,21,0.6190476190476191,0
15022005001,福樂巧克力牛乳(保久乳)200ml,30.0,17.0,12.0,6120.0,5.2,24.0,9.144978e-07,0.000118491436,557,24,0.2132669596838055,174.0,305.51137458366424,1.7558124976072658,13,21,0.6190476190476191,0
10016014001,統一嚴選素材番茄汁Can340ml,40.0,27.0,13.0,14040.0,10.09,24.0,2.525114e-07,3.3854696e-05,170,8,0.1840657219182921,58.857142857142854,88.09215953436818,1.4967114483994597,13,21,0.6190476190476191,0
15020920001,光泉高鈣牛乳-無加糖200ml,32.0,16.0,13.0,6656.0,5.26,24.0,3.0483338e-07,8.463674e-05,701,30,0.214264987709281,212.57142857142856,390.0949335006251,1.835124015123908,13,21,0.6190476190476191,0
10000013001,百事可樂 Can250ml,41.0,28.0,10.0,11480.0,7.03,24.0,3.890033e-07,5.0782044e-05,174,8,0.1769170568266152,66.28571428571429,85.49686711052216,1.2898234262363255,13,21,0.6190476190476191,0
10021022001,舒跑Pet975ml,42.0,19.0,24.0,19152.0,13.12,12.0,2.0018918e-07,3.3854696e-05,46,4,0.1859908983300667,16.571428571428573,22.918489105024857,1.383012273579086,14,21,0.6666666666666666,0
10035010001,泰山仙草蜜茶500ml,41.0,28.0,23.0,26404.0,13.26,24.0,1.9927982e-06,0.00015234613,95,4,0.1955772297890232,31.047619047619047,50.92590322269816,1.6402514841666584,12,21,0.5714285714285714,0
10010019001,波蜜低卡果菜汁TP250ml,32.0,17.0,14.0,7616.0,5.1,18.0,8.0530367e-07,8.463674e-05,59,4,0.1643482873361435,23.428571428571427,28.00816207567256,1.1954703324982192,12,21,0.5714285714285714,0
14841001001,大茂香菇麵筋 170g,31.0,24.0,11.0,8184.0,5.68,24.0,1.4741183e-06,0.0002877649,40,2,0.1986245443795466,15.142857142857142,19.29063429305971,1.2739098118058303,13,21,0.6190476190476191,0
10020016001,韋恩 Flash Brew閃萃黑咖啡500ml,42.0,29.0,20.0,24360.0,13.124,24.0,5.368696e-07,8.463674e-05,47,2,0.1766738588004165,17.904761904761905,22.75500991409312,1.2708915111594563,13,21,0.6190476190476191,0
15021057001,克寧國小生草莓優酪乳198ML,33.0,16.0,13.0,6864.0,5.32,24.0,2.2521283e-07,5.0782044e-05,45,2,0.1630608996919198,18.857142857142858,20.105436365037477,1.0661973829944116,13,21,0.6190476190476191,0
14615070001,得意的一天五珍寶健康油2L,35.0,24.0,29.0,24360.0,13.13,6.0,2.8982015e-06,0.00030469225,88,15,0.1929311945203857,31.285714285714285,44.73828657553043,1.4299908951082787,11,21,0.5238095238095238,0
10020025001,貝納頌直火炭焙風味 Can 210ml,33.0,22.0,13.0,9438.0,6.42,24.0,1.0805634e-06,0.00015234613,43,2,0.1825657937845692,16.857142857142858,20.664669642376857,1.2258702330223556,13,21,0.6190476190476191,0
14501031001,台酒花雕酸菜牛肉麵(碗)200g,49.0,35.0,15.0,25725.0,3.24,12.0,9.89569e-07,0.00015234613,106,9,0.1786019326681318,44.142857142857146,49.01661525879334,1.1104087599079395,13,21,0.6190476190476191,0
14204010001,元本山(6束)海苔,31.0,23.0,21.0,14973.0,1.62,30.0,1.164735e-06,8.463674e-05,99,4,0.2758846020977405,21.19047619047619,62.026300105373885,2.9270838251974194,15,21,0.7142857142857143,0
10053909001,泰山奇兒思Cheers+果醋氣泡飲PET380ml,41.0,27.0,20.0,22140.0,10.66,24.0,3.0710817e-07,5.0782044e-05,36,2,0.1727351763413445,11.428571428571429,19.525807098738397,1.7085081211396098,11,21,0.5238095238095238,0
15021047001,愛之味純濃燕麥-天然原味TPA250ml,42.0,17.0,14.0,9996.0,6.78,24.0,5.050217e-07,8.463674e-05,74,4,0.1788771627498598,25.428571428571427,38.78733224723174,1.525344526576529,12,21,0.5714285714285714,0
14110154001,盛香珍法式奶油千層酥,35.0,30.0,25.0,26250.0,2.276,10.0,2.5319478e-06,0.000389329,34,4,0.1886620997953167,11.095238095238097,18.297280568173953,1.6491111241701846,9,21,0.4285714285714285,0
10014029001,椰活100純椰子水 500ml,41.0,28.0,18.0,20664.0,12.92,24.0,7.370579e-07,6.770939e-05,46,2,0.1910661825122458,16.571428571428573,22.99689420024241,1.3877436155318694,14,21,0.6666666666666666,0
15022021001,雀巢美祿極致濃巧克力飲品198ml,33.0,16.0,13.0,6864.0,5.42,24.0,5.6416815e-07,6.770939e-05,47,2,0.2140965086134212,12.857142857142858,27.185079941551972,2.114395106565153,13,21,0.6190476190476191,0
10014086001,酷椰嶼100純椰子汁350ml,40.0,27.0,23.0,24840.0,9.372,24.0,6.9156033e-07,5.0782044e-05,71,3,0.2331939679120493,18.095238095238095,42.13538271085805,2.3285343077053136,14,21,0.6666666666666666,0
10014111001,崇德發白麥檸檬汁Can 330ml,41.0,28.0,12.0,13776.0,8.71,24.0,2.7526008e-07,3.3854696e-05,35,2,0.1495807838093244,12.285714285714286,17.947542609345874,1.460846491458385,10,21,0.4761904761904761,0
11032008001,家福除濕桶補充包- 紫羅蘭香,43.0,23.0,22.0,21758.0,12.2,36.0,1.5014186e-07,0.00010156409,61,2,0.1590433348179285,17.428571428571427,34.14757887255175,1.9592873123595267,8,21,0.3809523809523809,0
14010088001,張君雅小妹妹五連包BBQ點心麵,42.0,33.0,14.0,19404.0,2.43,15.0,3.6852944e-07,5.0782044e-05,39,3,0.1457506484074124,12.142857142857142,21.47157589532197,1.768247426673574,8,21,0.3809523809523809,0
10303003001,舒味思薑汁汽水Can330ml,40.0,27.0,12.0,12960.0,8.752,24.0,4.777237e-08,3.3854696e-05,44,2,0.135027245589257,16.047619047619047,22.03741407351641,1.3732513220885596,9,21,0.4285714285714285,0
10020041001,UCC無糖咖啡飲料Can184ml,33.0,27.0,11.0,9801.0,6.17,30.0,3.676221e-06,0.00033854696,261,9,0.2588280486181978,144.85714285714286,92.68564382593765,0.6398417226642638,20,21,0.9523809523809524,2
14510039001,天生好米優質九號米3kg,35.0,24.0,5.0,4288.0,3.0,1.0,9.004035e-06,0.0005924572,101,101,0.2905576797397176,70.95238095238095,23.77703974525885,0.3351126407049905,21,21,1.0,2
14831013001,紅鷹牌日式蒲燒鰻100g,32.0,23.0,17.0,12512.0,7.45,48.0,3.530621e-06,0.00044011103,75,2,0.2841996255962472,27.428571428571427,37.35314100389876,1.3618332657671426,19,21,0.9047619047619048,2
14620907001,四季釀造醬油1600ml,33.0,23.0,28.0,21252.0,12.22,6.0,6.5380277e-06,0.000727876,39,7,0.3022355340002473,23.0,12.489995996796797,0.5430433042085564,21,21,1.0,2
