item_code,item_quantity
10021025001,67734
10000011001,58080
10021008001,28440
15020047001,24450
10035035001,22806
10001009001,19968
10032006001,19758
10010002001,19692
10031005001,18456
14805012001,17916
10034042001,17838
10032016001,17802
10031001001,17628
14804007001,17208
12201031001,17064
10033037001,16560
10001012001,16152
10021006001,15940
14502009001,15455
10040063001,15408
10002008001,15288
10002021001,15144
10034019001,14334
10021001001,13992
10033025001,13962
14500000001,13820
10033004001,13770
10032047001,13656
10031013001,13608
10002018001,13302
14503003001,13056
10033018001,12764
10032013001,12210
12201079001,11988
10010004001,11694
10000005001,11670
10032010001,11448
12201898001,11054
10010035001,10938
10035034001,10914
12201103001,10632
12200002001,10608
10034025001,10488
10002102001,10434
10041067001,10312
12200006001,10290
10020007001,10218
14505013001,10215
10031910001,10200
10001006001,10062
10000002001,9976
10033043001,9860
10002001001,9744
15022026001,9702
15020050001,9678
14505041001,9495
12201043001,9408
10035021001,9296
10014090001,9186
10002019001,9096
10001025001,9096
10040005001,8760
10032008001,8712
12201104001,8640
10034003001,8508
12201001001,8496
15020010001,8142
10033064001,8016
10021027001,8016
14502081001,8001
10030013001,7986
12200001001,7914
10002010001,7824
10040062001,7800
10033068001,7680
15021001001,7524
10000026001,7232
10015007001,7224
15022004001,6942
14500013001,6906
14831007001,6861
10034036001,6762
10030048001,6696
10030007001,6520
10033041001,6474
14505899001,6455
10032019001,6444
14011052001,6432
10021016001,6296
12201035001,6270
14502011001,6258
10033057001,6152
10014028001,5892
10031031001,5819
10033013001,5812
10015010001,5766
10034999001,5724
10000007001,5712
12201069001,5664
12201024001,5660
14840003001,5590
12201123001,5510
10021012001,5484
12201049001,5424
10020018001,5190
10040003001,5136
10033015001,5124
12201083001,5124
10034004001,5100
10002005001,5094
14501010001,5052
12201037001,5040
10040032001,5034
10034011001,5022
14501014001,5010
10014023001,4980
10011001001,4866
10033005001,4848
10031911001,4770
14503000001,4740
14502077001,4698
10031033001,4584
12201065001,4560
10011016001,4482
15020920001,4464
14505014001,4431
14505917001,4400
14014006001,4383
14501063001,4326
10034014001,4326
10031017001,4320
12201042001,4272
14505016001,4242
10035015001,4236
15020046001,4223
10013005001,4212
10002009001,4188
10031016001,4158
10013003001,4158
10033070001,4132
12201005001,4056
10033074001,4016
10040023001,3968
14502041001,3885
10033050001,3868
10021026001,3859
14500010001,3855
14500008001,3768
14023056001,3763
14805016001,3720
15023012001,3697
14832021001,3690
15022005001,3654
10034017001,3606
14821003001,3567
14840006001,3561
14501013001,3549
14011053001,3492
14501045001,3492
10012011001,3456
10014033001,3456
10002907001,3450
10030003001,3380
14502004001,3372
14503019001,3354
14502014001,3333
10021035001,3305
10033030001,3288
14502078001,3276
14820008001,3270
10032003001,3270
15023035001,3240
10032064001,3234
10021009001,3120
10040041001,3072
14505115001,3056
14810006001,3045
10020041001,3042
14501004001,3015
10032049001,3000
14504006001,2992
10033054001,2988
14502012001,2985
12201153001,2950
14014014001,2937
10024007001,2928
10040020001,2911
14908899001,2892
10001004001,2886
14501022001,2850
10000003001,2832
10002944001,2826
10040048001,2769
10002014001,2742
10011003001,2718
14505005001,2705
15021035001,2682
10033066001,2680
14820028001,2680
10002007001,2664
10040058001,2658
10002046001,2658
10020011001,2640
14810016001,2613
10002017001,2599
10002943001,2598
14503013001,2592
14010040001,2567
10031025001,2548
14832018001,2547
10035028001,2520
10040013001,2496
10034027001,2490
10032011001,2472
10022007001,2454
10016015001,2424
10033011001,2412
10033028001,2396
14010142001,2387
10021019001,2346
15024004001,2328
10040010001,2316
10040066001,2300
14804002001,2238
10020027001,2232
10014009001,2196
10015011001,2184
14830010001,2124
14820012001,2115
14502006001,2113
10001014001,2112
10000004001,2104
10034050001,2100
14501902001,2084
10032046001,2070
10014051001,2064
15023020001,2064
15023017001,2058
10002003001,2056
10031004001,2052
14831020001,2040
14014015001,2036
10040027001,2010
10022030001,2004
10034039001,2004
14502010001,1988
10030014001,1980
14504055001,1965
14500067001,1960
10040008001,1950
10041085001,1936
10033056001,1936
10001005001,1926
10014032001,1920
14503005001,1916
14011029001,1907
10040022001,1880
10012899001,1872
10001020001,1860
15022017001,1854
14023028001,1852
10002006001,1848
14501021001,1836
10034020001,1824
14804004001,1824
