item_code,order_day,daily_qty
10000001001,08/01/21,6
10000001001,08/02/21,2
10000001001,08/03/21,32
10000001001,08/04/21,2
10000001001,08/05/21,5
10000001001,08/07/21,40
10000001001,08/09/21,1
10000001001,08/10/21,37
10000001001,08/12/21,1
10000001001,08/13/21,36
10000001001,08/14/21,8
10000001001,08/17/21,7
10000001001,08/18/21,2
10000001001,08/19/21,3
10000001001,08/20/21,5
10000002001,08/01/21,26
10000002001,08/02/21,26
10000002001,08/03/21,51
10000002001,08/04/21,250
10000002001,08/05/21,300
10000002001,08/06/21,201
10000002001,08/07/21,73
10000002001,08/08/21,239
10000002001,08/09/21,284
10000002001,08/10/21,144
10000002001,08/11/21,261
10000002001,08/12/21,257
10000002001,08/13/21,189
10000002001,08/14/21,1438
10000002001,08/15/21,104
10000002001,08/16/21,110
10000002001,08/17/21,189
10000002001,08/18/21,673
10000002001,08/19/21,842
10000002001,08/20/21,1117
10000002001,08/21/21,3202
10000003001,08/01/21,102
10000003001,08/02/21,48
10000003001,08/03/21,186
10000003001,08/04/21,156
10000003001,08/05/21,96
10000003001,08/06/21,72
10000003001,08/07/21,186
10000003001,08/08/21,180
10000003001,08/09/21,186
10000003001,08/10/21,210
10000003001,08/11/21,192
10000003001,08/12/21,144
10000003001,08/13/21,204
10000003001,08/14/21,66
10000003001,08/15/21,54
10000003001,08/16/21,126
10000003001,08/17/21,120
10000003001,08/18/21,108
10000003001,08/19/21,120
10000003001,08/20/21,156
10000003001,08/21/21,120
10000004001,08/01/21,126
10000004001,08/02/21,60
10000004001,08/03/21,138
10000004001,08/04/21,42
10000004001,08/05/21,126
10000004001,08/06/21,66
10000004001,08/08/21,66
10000004001,08/09/21,27
10000004001,08/10/21,90
10000004001,08/11/21,13
10000004001,08/12/21,75
10000004001,08/13/21,66
10000004001,08/14/21,324
10000004001,08/15/21,18
10000004001,08/16/21,12
10000004001,08/17/21,96
10000004001,08/18/21,42
10000004001,08/19/21,246
10000004001,08/20/21,144
10000004001,08/21/21,327
10000005001,08/01/21,1524
10000005001,08/02/21,216
10000005001,08/03/21,366
10000005001,08/04/21,120
10000005001,08/05/21,120
10000005001,08/06/21,54
10000005001,08/07/21,66
10000005001,08/08/21,348
10000005001,08/09/21,12
10000005001,08/10/21,18
10000005001,08/11/21,444
10000005001,08/12/21,822
10000005001,08/13/21,726
10000005001,08/14/21,582
10000005001,08/15/21,570
10000005001,08/16/21,942
10000005001,08/17/21,372
10000005001,08/18/21,828
10000005001,08/19/21,1428
10000005001,08/20/21,1650
10000005001,08/21/21,456
10000006001,08/02/21,6
10000006001,08/04/21,6
10000006001,08/06/21,1
10000007001,08/01/21,246
10000007001,08/02/21,450
10000007001,08/03/21,384
10000007001,08/04/21,300
10000007001,08/05/21,420
10000007001,08/06/21,270
10000007001,08/07/21,114
10000007001,08/08/21,168
10000007001,08/09/21,330
10000007001,08/10/21,168
10000007001,08/11/21,234
10000007001,08/12/21,384
10000007001,08/13/21,132
10000007001,08/14/21,378
10000007001,08/15/21,330
10000007001,08/16/21,366
10000007001,08/17/21,108
10000007001,08/18/21,210
10000007001,08/19/21,234
10000007001,08/20/21,300
10000007001,08/21/21,186
10000008001,08/09/21,24
10000008001,08/12/21,12
10000008001,08/18/21,12
10000008001,08/20/21,12
10000010001,08/01/21,67
10000010001,08/02/21,43
10000010001,08/03/21,22
10000010001,08/04/21,22
10000010001,08/05/21,238
10000010001,08/06/21,37
10000010001,08/07/21,77
10000010001,08/08/21,62
10000010001,08/09/21,106
10000010001,08/10/21,44
10000010001,08/11/21,137
10000010001,08/12/21,53
10000010001,08/13/21,89
10000010001,08/14/21,208
10000010001,08/15/21,63
10000010001,08/16/21,28
10000010001,08/17/21,12
10000010001,08/18/21,1
10000010001,08/19/21,182
10000010001,08/20/21,131
10000010001,08/21/21,74
10000011001,08/01/21,1272
10000011001,08/02/21,1464
10000011001,08/03/21,1416
10000011001,08/04/21,912
10000011001,08/05/21,888
10000011001,08/06/21,144
10000011001,08/07/21,720
10000011001,08/08/21,888
10000011001,08/09/21,1656
10000011001,08/10/21,1344
10000011001,08/11/21,1872
10000011001,08/12/21,1440
10000011001,08/13/21,1608
10000011001,08/14/21,1224
10000011001,08/15/21,2400
10000011001,08/16/21,4200
10000011001,08/17/21,4896
10000011001,08/18/21,19992
10000011001,08/19/21,4296
10000011001,08/20/21,3312
10000011001,08/21/21,2136
10000012001,08/01/21,132
10000012001,08/02/21,20
10000012001,08/03/21,16
10000012001,08/04/21,52
10000012001,08/05/21,84
10000012001,08/07/21,188
10000012001,08/08/21,48
10000012001,08/09/21,84
