sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-100,1,872,8,0
1,-100,1,929,4,0
2,-99,1,424,10,0
3,-99,1,452,2,0
4,-98,1,861,12,0
5,-98,1,440,6,0
6,-98,1,482,10,0
7,-98,1,813,10,0
8,-97,1,952,5,0
9,-96,1,720,2,0
10,-95,1,502,8,0
11,-95,1,464,6,0
12,-95,1,437,4,0
13,-95,1,727,8,0
14,-95,1,467,4,0
15,-94,1,506,3,0
16,-93,1,503,10,0
17,-92,1,334,12,0
18,-92,1,437,4,0
19,-92,1,409,4,0
20,-91,1,487,6,0
21,-90,1,501,11,0
22,-90,1,504,12,0
23,-90,1,518,7,0
24,-89,1,727,10,0
25,-89,1,905,8,0
26,-88,1,488,8,0
27,-87,1,452,4,0
28,-87,1,406,2,0
29,-86,1,754,12,0
30,-85,1,451,8,0
31,-85,1,493,6,0
32,-85,1,475,9,0
33,-85,1,488,4,0
34,-84,1,479,4,0
35,-83,1,629,11,0
36,-82,1,726,4,0
37,-82,1,411,4,0
38,-82,1,457,8,0
39,-81,1,972,4,0
40,-81,1,471,5,0
41,-81,1,568,1,0
42,-81,1,420,7,0
43,-80,1,515,8,0
44,-80,1,469,10,0
45,-79,1,567,6,0
46,-78,1,422,1,0
47,-78,1,860,9,0
48,-77,1,520,2,0
49,-77,1,913,8,0
50,-76,1,508,5,0
51,-75,1,430,10,0
52,-75,1,431,11,0
53,-74,1,660,2,0
54,-73,1,662,11,0
55,-72,1,474,3,0
56,-72,1,92,10,0
57,-71,1,448,10,0
58,-71,1,418,5,0
59,-70,1,456,10,0
60,-69,1,680,6,0
61,-68,1,408,6,0
62,-67,1,517,4,0
63,-67,1,888,4,0
64,-66,1,786,5,0
65,-66,1,635,10,0
66,-65,1,459,7,0
67,-64,1,87,8,0
68,-64,1,510,4,0
69,-63,1,460,4,0
70,-62,1,850,10,0
71,-61,1,444,10,0
72,-60,1,514,6,0
73,-60,1,182,1,0
74,-59,1,526,7,0
75,-58,1,445,8,0
76,-57,1,815,7,0
77,-57,1,862,9,0
78,-56,1,439,6,0
79,-56,1,401,8,0
80,-55,1,915,10,0
81,-54,1,517,3,0
82,-53,1,716,7,0
83,-53,1,468,7,0
84,-53,1,429,12,0
85,-53,1,772,5,0
86,-53,1,680,4,0
87,-52,1,774,10,0
88,-52,1,472,6,0
89,-52,1,742,12,0
90,-52,1,801,8,0
91,-52,1,657,8,0
92,-51,1,492,12,0
93,-51,1,508,2,0
94,-50,1,512,6,0
95,-50,1,517,5,0
96,-50,1,893,4,0
97,-50,1,683,5,0
98,-50,1,440,6,0
99,-50,1,462,12,0
100,-50,1,470,4,0
101,-50,1,485,11,0
102,-49,1,621,8,0
103,-49,1,510,6,0
104,-48,1,402,4,0
105,-48,1,852,2,0
106,-47,1,481,11,0
107,-46,1,499,11,0
108,-46,1,932,2,0
109,-46,1,419,8,0
110,-46,1,526,8,0
111,-45,1,656,6,0
112,-45,1,417,8,0
113,-44,1,482,7,0
114,-44,1,477,6,0
115,-43,1,444,6,0
116,-43,1,145,8,0
117,-43,1,734,3,0
118,-43,1,458,10,0
119,-43,1,512,6,0
120,-43,1,582,6,0
121,-43,1,961,6,0
122,-43,1,421,9,0
123,-43,1,483,8,0
124,-43,1,513,8,0
125,-42,1,879,7,0
126,-41,1,491,8,0
127,-40,1,462,6,0
128,-40,1,498,10,0
129,-40,1,822,7,0
130,-40,1,599,3,0
131,-39,1,477,2,0
132,-38,1,754,7,0
133,-37,1,468,4,0
134,-37,1,486,12,0
135,-36,1,443,3,0
136,-35,1,420,2,0
137,-34,1,465,5,0
138,-34,1,413,8,0
139,-34,1,440,5,0
140,-33,1,771,7,0
141,-32,1,831,7,0
142,-31,1,443,11,0
143,-31,1,912,4,0
144,-31,1,422,9,0
145,-31,1,430,7,0
146,-30,1,467,4,0
147,-30,1,478,5,0
148,-29,1,755,2,0
149,-28,1,776,7,0
150,-27,1,475,3,0
151,-26,1,419,4,0
152,-26,1,423,10,0
153,-26,1,519,6,0
154,-25,1,865,2,0
155,-24,1,437,6,0
156,-23,1,834,6,0
157,-22,1,475,10,0
158,-22,1,481,10,0
159,-21,1,433,4,0
160,-20,1,409,10,0
161,-19,1,814,5,0
162,-18,1,416,5,0
163,-18,1,414,8,0
164,-17,1,662,4,0
165,-17,1,517,7,0
166,-17,1,527,4,0
167,-16,1,412,6,0
168,-16,1,449,8,0
169,-16,1,492,5,0
170,-16,1,781,7,0
171,-15,1,442,6,0
172,-14,1,75,6,0
173,-14,1,871,6,0
174,-13,1,509,10,0
175,-13,1,559,11,0
176,-13,1,513,8,0
177,-13,1,406,4,0
178,-13,1,872,4,0
179,-13,1,497,9,0
180,-13,1,428,10,0
181,-13,1,478,6,0
182,-13,1,495,10,0
183,-12,1,648,5,0
184,-12,1,491,10,0
185,-12,1,362,7,0
186,-11,1,495,5,0
187,-10,1,802,5,0
188,-10,1,663,7,0
189,-9,1,507,6,0
190,-8,1,453,2,0
191,-7,1,481,10,0
192,-6,1,450,10,0
193,-5,1,552,11,0
194,-4,1,694,10,0
195,-4,1,514,6,0
196,-3,1,487,2,0
197,-2,1,661,5,0
198,-2,1,688,8,0
199,-1,1,405,3,0
