order_id,order_dum,order_type,item,qty,facing,due_date,station,pod_id,status,finish_time,date,time_gen
0,0,1,27,6,-1,99999,-1,-1,-3,-1,1,60
1,0,1,197,4,-1,99999,-1,-1,-3,-1,1,60
2,1,1,1,8,-1,99999,-1,-1,-3,-1,1,60
3,2,1,24,8,-1,99999,-1,-1,-3,-1,1,120
4,2,1,9,4,-1,99999,-1,-1,-3,-1,1,120
5,3,1,0,2,-1,99999,-1,-1,-3,-1,1,120
6,4,1,3,5,-1,99999,-1,-1,-3,-1,1,120
7,4,1,38,4,-1,99999,-1,-1,-3,-1,1,120
8,5,1,71,9,-1,99999,-1,-1,-3,-1,1,120
9,5,1,44,2,-1,99999,-1,-1,-3,-1,1,120
10,5,1,32,10,-1,99999,-1,-1,-3,-1,1,120
11,5,1,270,5,-1,99999,-1,-1,-3,-1,1,120
12,6,1,106,2,-1,99999,-1,-1,-3,-1,1,120
13,6,1,12,10,-1,99999,-1,-1,-3,-1,1,120
14,7,1,100,6,-1,99999,-1,-1,-3,-1,1,120
15,8,1,31,4,-1,99999,-1,-1,-3,-1,1,180
16,8,1,47,7,-1,99999,-1,-1,-3,-1,1,180
17,8,1,91,11,-1,99999,-1,-1,-3,-1,1,180
18,8,1,32,6,-1,99999,-1,-1,-3,-1,1,180
19,8,1,2,6,-1,99999,-1,-1,-3,-1,1,180
20,9,1,270,5,-1,99999,-1,-1,-3,-1,1,180
21,10,1,26,2,-1,99999,-1,-1,-3,-1,1,180
22,11,1,9,4,-1,99999,-1,-1,-3,-1,1,180
23,11,1,1,6,-1,99999,-1,-1,-3,-1,1,180
24,11,1,113,1,-1,99999,-1,-1,-3,-1,1,180
25,12,1,158,4,-1,99999,-1,-1,-3,-1,1,180
26,13,1,3,6,-1,99999,-1,-1,-3,-1,1,240
27,13,1,131,6,-1,99999,-1,-1,-3,-1,1,240
28,14,1,15,11,-1,99999,-1,-1,-3,-1,1,240
29,15,1,211,4,-1,99999,-1,-1,-3,-1,1,240
30,16,1,174,9,-1,99999,-1,-1,-3,-1,1,240
