sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,-100,1,872,8,0
2,-100,1,929,4,0
3,-99,1,424,10,0
4,-99,1,452,2,0
5,-98,1,861,12,0
6,-98,1,440,6,0
7,-98,1,482,10,0
8,-98,1,813,10,0
9,-97,1,952,5,0
10,-96,1,720,2,0
11,-95,1,502,8,0
12,-95,1,464,6,0
13,-95,1,437,4,0
14,-95,1,727,8,0
15,-95,1,467,4,0
16,-94,1,506,3,0
17,-93,1,503,10,0
18,-92,1,334,12,0
19,-92,1,437,4,0
20,-92,1,409,4,0
21,-91,1,487,6,0
22,-90,1,501,11,0
23,-90,1,504,12,0
24,-90,1,518,7,0
25,-89,1,727,10,0
26,-89,1,905,8,0
27,-88,1,488,8,0
28,-87,1,452,4,0
29,-87,1,406,2,0
30,-86,1,754,12,0
31,-85,1,451,8,0
32,-85,1,493,6,0
33,-85,1,475,9,0
34,-85,1,488,4,0
35,-84,1,479,4,0
36,-83,1,629,11,0
37,-82,1,726,4,0
38,-82,1,411,4,0
39,-82,1,457,8,0
40,-81,1,972,4,0
41,-81,1,471,5,0
42,-81,1,568,1,0
43,-81,1,420,7,0
44,-80,1,515,8,0
45,-80,1,469,10,0
46,-79,1,567,6,0
47,-78,1,422,1,0
48,-78,1,860,9,0
49,-77,1,520,2,0
50,-77,1,913,8,0
51,-76,1,508,5,0
52,-75,1,430,10,0
53,-75,1,431,11,0
54,-74,1,660,2,0
55,-73,1,662,11,0
56,-72,1,474,3,0
57,-72,1,92,10,0
58,-71,1,448,10,0
59,-71,1,418,5,0
60,-70,1,456,10,0
61,-69,1,680,6,0
62,-68,1,408,6,0
63,-67,1,517,4,0
64,-67,1,888,4,0
65,-66,1,786,5,0
66,-66,1,635,10,0
67,-65,1,459,7,0
68,-64,1,87,8,0
69,-64,1,510,4,0
70,-63,1,460,4,0
71,-62,1,850,10,0
72,-61,1,444,10,0
73,-60,1,514,6,0
74,-60,1,182,1,0
75,-59,1,526,7,0
76,-58,1,445,8,0
77,-57,1,815,7,0
78,-57,1,862,9,0
79,-56,1,439,6,0
80,-56,1,401,8,0
81,-55,1,915,10,0
82,-54,1,517,3,0
83,-53,1,716,7,0
84,-53,1,468,7,0
85,-53,1,429,12,0
86,-53,1,772,5,0
87,-53,1,680,4,0
88,-52,1,774,10,0
89,-52,1,472,6,0
90,-52,1,742,12,0
91,-52,1,801,8,0
92,-52,1,657,8,0
93,-51,1,492,12,0
94,-51,1,508,2,0
95,-50,1,512,6,0
96,-50,1,517,5,0
97,-50,1,893,4,0
98,-50,1,683,5,0
99,-50,1,440,6,0
100,-50,1,462,12,0
101,-50,1,470,4,0
102,-50,1,485,11,0
103,-49,1,621,8,0
104,-49,1,510,6,0
105,-48,1,402,4,0
106,-48,1,852,2,0
107,-47,1,481,11,0
108,-46,1,499,11,0
109,-46,1,932,2,0
110,-46,1,419,8,0
111,-46,1,526,8,0
