item_id,item_code,item_class,item_order_frequency,item_initial_quantity_inventory,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_weight,item_unit,item_pod_inventory_level,item_warehouse_inventory_level
0,10002039001,0,1,5,35.0,27.0,32.0,30240.0,17.13,12.0,2520.0,1.428,PCS,0.6,0.5
1,10002911001,0,1,1,40.0,27.0,12.0,12960.0,8.7,24.0,540.0,0.362,PCS,0.6,0.5
2,10010023001,0,1,1,33.0,16.0,10.0,5280.0,4.31,24.0,220.0,0.18,PCS,0.6,0.5
3,10010027001,0,1,174,33.0,16.0,10.0,5280.0,4.34,24.0,220.0,0.181,PCS,0.6,0.5
4,10014043001,0,1,2,36.0,20.0,20.0,14400.0,13.3,12.0,1200.0,1.108,PCS,0.6,0.5
5,10014103001,0,2,1,39.0,17.0,26.0,17238.0,11.312,10.0,1723.8,1.131,PCS,0.6,0.5
6,10014127001,0,1,1,41.0,28.0,18.0,20664.0,12.93,24.0,861.0,0.539,PCS,0.6,0.5
7,10015005001,0,2,4,38.0,26.0,24.0,23712.0,15.79,24.0,988.0,0.658,PCS,0.6,0.5
8,10016018001,0,1,5,41.0,28.0,25.0,28700.0,14.5,24.0,1195.8,0.604,PCS,0.6,0.5
9,10020006001,0,1,1,40.0,27.0,10.0,10800.0,7.06,24.0,450.0,0.294,PCS,0.6,0.5
10,10022918001,0,1,1,32.0,22.0,14.0,9856.0,6.926,24.0,410.7,0.289,PCS,0.6,0.5
11,10023004001,0,1,1,35.0,24.0,17.0,14280.0,7.89,24.0,595.0,0.329,PCS,0.6,0.5
12,10023043001,0,1,0,49.0,37.0,24.0,43512.0,16.5,8.0,5439.0,2.062,PCS,0.6,0.5
13,10023087001,0,1,1,36.0,25.0,17.0,15300.0,9.18,8.0,1912.5,1.148,PCS,0.6,0.5
14,10023100001,0,1,1,47.0,31.0,15.0,21855.0,4.01,6.0,3642.5,0.668,PCS,0.6,0.5
15,10031006001,0,1,5,41.0,27.0,24.0,26568.0,14.0,24.0,1107.0,0.583,PCS,0.6,0.5
16,10031022001,0,5,21,41.0,28.0,24.0,27552.0,14.3,24.0,1148.0,0.596,PCS,0.6,0.5
17,10031909001,0,1,5,38.0,26.0,23.0,22724.0,12.81,24.0,946.8,0.534,PCS,0.6,0.5
18,10035041001,0,2,26,41.0,27.0,10.0,11070.0,7.59,24.0,461.3,0.316,PCS,0.6,0.5
