item_code;item_name;box_length;box_width;box_height;box_volume;box_weight;number_of_item_in_a_box;item_volume;item_unit;item_order_frequency;item_relative_importance;item_quantity_order_mean;item_quantity_order_std;item_quantity_order_total;item_quantity_order_unique;item_quantity_order_unique_frequency;item_class;item_initial_quantity_inventory
10000001001;可口可樂Zero 600ml;45.00.00;30.00.00;24.00.00;32400.0;15.07;24.00.00;1350.00.00;PCS;25.00.00;0.8668288861852302;6.926;6.994;187;[1, 2, 3, 4, 5, 6, 8, 12, 16, 22, 24];[4, 5, 2, 3, 1, 4, 2, 2, 1, 1, 2];C;15
10000002001;可口可樂2L;34.00.00;23.00;31.00.00;24242.0;13.31;06.00;4040.03.00;PCS;686.00.00;0.14094765087248545;12.741;13.943;9976;[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 18, 21, 22, 23, 24, 30, 36, 37, 39, 42, 48, 50, 54, 60];[120, 91, 38, 13, 7, 160, 6, 5, 18, 4, 80, 4, 9, 3, 50, 1, 5, 1, 50, 46, 15, 1, 1, 11, 19, 1, 14, 10];A;107
10000003001;百事可樂330ml;40.00.00;27.00.00;12.00;12960.0;09.11;24.00.00;540.00.00;PCS;153.00.00;0.5732171130481158;18.271;15.34;2832;[6, 12, 18, 24, 48, 96];[61, 21, 3, 54, 14, 2];C;35
10000004001;百事可樂2L;34.00.00;23.00;31.00.00;24242.0;14.00;06.00;4040.03.00;PCS;146.00.00;0.5846902551624139;14.027;11.556;2104;[1, 2, 3, 4, 6, 12, 18, 24, 30, 35, 36, 42, 48];[2, 3, 3, 3, 58, 37, 12, 11, 7, 1, 2, 7, 4];C;27
10000005001;可口可樂330ml;40.00.00;28.00.00;12.00;13440.0;0,395138889;24.00.00;560.00.00;PCS;516.00.00;0.21223979600339996;21.691;17.341;11670;[6, 12, 18, 24, 30, 36, 42, 48, 72, 96, 108];[181, 55, 22, 179, 3, 1, 3, 81, 7, 5, 1];B;68
10000006001;Dr. Pepper 可樂;40.00.00;13.00;13.00;6760.00.00;0,214583333;12.00;563.03.00;PCS;03.00;0.9871002149964168;4.333;2.887;13;[1, 6];[1, 2];C;8
10000007001;可口可樂 Zero 330ml;40.00.00;28.00.00;12.00;13440.0;08.58;24.00.00;560.00.00;PCS;301.00.00;0.37914368093865103;18.667;15.457;5712;[6, 12, 18, 24, 30, 42, 48, 54, 72, 84, 96];[118, 47, 13, 86, 1, 1, 35, 1, 1, 2, 1];B;59
10000008001;可口可樂纖維+ 1250ml;37.00.00;26.00.00;28.00.00;26936.0;16.14;12.00;2244.07.00;PCS;04.00;0.9810769820502991;15.00;06.00;60;[12, 24];[3, 1];C;22
10000010001;可口可樂 Zero 2L;34.00.00;23.00;31.00.00;24242.0;12.52;06.00;4040.03.00;PCS;181.00.00;0.532021132981117;8.974;9.266;1696;[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 14, 18, 19, 24, 28, 30, 36, 60, 72];[33, 14, 9, 4, 4, 52, 1, 2, 1, 34, 1, 23, 1, 1, 1, 5, 1, 1, 1];C;19
10000011001;可口可樂 Can 250 ml;40.00.00;27.00.00;10.00;10800.0;0,302777778;24.00.00;450.00.00;PCS;1119.00.00;0.06346894218429693;49.179;68.295;58080;[24, 48, 72, 96, 120, 144, 192, 240, 288, 480];[683, 359, 62, 16, 5, 6, 8, 10, 12, 20];A;502
10000012001;可口可樂Pet 600ml;45.00.00;30.00.00;25.00.00;33750.0;0,686111111;24.00.00;1406.03.00;PCS;118.00.00;0.6286295228412859;12.459;12.095;1520;[4, 8, 12, 16, 20, 24, 32, 40, 48, 52];[55, 24, 7, 3, 3, 21, 1, 1, 6, 1];C;26
10000013001;百事可樂 Can250ml;41.00.00;28.00.00;10.00;11480.0;07.03;24.00.00;478.03.00;PCS;53.00.00;0.7769703838269362;26.264;7.082;1392;[24, 48];[48, 5];C;34
