sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,assigned_station,assigned_pod,status,order_processed,order_finished
1,-50,1,209,6,0,picker-1,391.0,1,0.0,92.0
2,-49,1,1,4,0,,,-3,,
3,-48,1,464,1,0,,,-3,,
4,-47,1,45,8,0,,,-3,,
5,-46,1,184,8,0,,,-3,,
6,-46,1,218,6,0,,,-3,,
7,-45,1,135,4,0,,,-3,,
8,-45,1,270,8,0,,,-3,,
9,-45,1,119,4,0,,,-3,,
10,-44,1,223,8,0,,,-3,,
11,-44,1,59,11,0,,,-3,,
12,-44,1,407,10,0,,,-3,,
13,-44,1,1,9,0,,,-3,,
14,-43,1,319,10,0,picker-3,88.0,1,0.0,77.0
15,-43,1,296,2,0,picker-3,197.0,1,0.0,93.0
16,-42,1,114,8,0,,,-3,,
17,-42,1,46,6,0,,,-3,,
18,-41,1,259,8,0,,,-3,,
19,-40,1,0,6,0,picker-3,88.0,1,0.0,38.0
20,-40,1,237,6,0,picker-3,216.0,1,126.0,329.0
21,-40,1,319,9,0,picker-3,374.0,1,109.0,346.0
22,-39,1,170,5,0,picker-1,342.0,1,0.0,166.0
23,-39,1,157,12,0,picker-1,50.0,1,0.0,110.0
24,-39,1,246,4,0,picker-1,383.0,1,0.0,76.0
25,-39,1,216,7,0,picker-1,248.0,1,0.0,59.0
26,-39,1,373,1,0,picker-1,411.0,1,0.0,187.0
27,-38,1,304,7,0,,,-3,,
28,-38,1,173,6,0,,,-3,,
29,-38,1,220,10,0,,,-3,,
30,-37,1,158,11,0,,,-3,,
31,-37,1,152,10,0,,,-3,,
32,-36,1,404,5,0,,,-3,,
33,-36,1,159,3,0,,,-3,,
34,-36,1,169,5,0,,,-3,,
35,-36,1,267,10,0,,,-3,,
36,-36,1,106,8,0,,,-3,,
37,-35,1,329,5,0,,,-3,,
38,-34,1,15,10,0,,,-3,,
39,-34,1,293,3,0,,,-3,,
40,-34,1,66,5,0,,,-3,,
41,-34,1,98,4,0,,,-3,,
42,-34,1,382,11,0,,,-3,,
43,-34,1,229,4,0,,,-3,,
44,-34,1,194,3,0,,,-3,,
45,-34,1,0,10,0,,,-3,,
46,-33,1,66,4,0,,,-3,,
47,-32,1,397,6,0,picker-1,411.0,1,0.0,187.0
48,-32,1,262,2,0,picker-1,383.0,1,0.0,76.0
49,-32,1,256,11,0,picker-1,415.0,1,0.0,204.0
50,-32,1,185,8,0,picker-1,274.0,1,0.0,127.0
51,-32,1,111,5,0,picker-1,277.0,1,0.0,147.0
52,-31,1,318,6,0,picker-2,5.0,1,0.0,60.0
53,-31,1,136,4,0,picker-2,21.0,1,0.0,131.0
54,-31,1,399,5,0,picker-2,173.0,1,0.0,99.0
55,-31,1,213,6,0,picker-2,58.0,1,0.0,79.0
56,-30,1,388,5,0,picker-2,58.0,1,0.0,79.0
57,-30,1,326,10,0,picker-2,300.0,1,0.0,114.0
58,-30,1,213,9,0,picker-2,58.0,1,0.0,79.0
59,-30,1,221,8,0,picker-2,339.0,1,0.0,147.0
60,-29,1,155,2,0,,,-3,,
61,-28,1,467,9,0,,,-3,,
62,-28,1,440,7,0,,,-3,,
63,-28,1,158,10,0,,,-3,,
64,-27,1,146,4,0,,,-3,,
65,-27,1,239,1,0,,,-3,,
66,-26,1,324,10,0,,,-3,,
67,-25,1,399,6,0,picker-2,173.0,1,0.0,99.0
68,-25,1,258,9,0,picker-2,419.0,1,0.0,201.0
69,-25,1,320,10,0,picker-2,42.0,1,0.0,185.0
70,-24,1,247,8,0,,,-3,,
71,-24,1,14,9,0,,,-3,,
72,-24,1,9,8,0,,,-3,,
73,-24,1,333,8,0,,,-3,,
74,-23,1,415,8,0,,,-3,,
75,-23,1,315,4,0,,,-3,,
76,-22,1,261,7,0,,,-3,,
77,-21,1,120,12,0,,,-3,,
78,-20,1,222,7,0,picker-1,215.0,1,0.0,240.0
79,-20,1,233,10,0,picker-1,279.0,1,330.0,440.0
80,-20,1,397,10,0,picker-1,411.0,1,0.0,187.0
81,-20,1,176,3,0,picker-1,50.0,1,0.0,110.0
82,-20,1,128,4,0,picker-1,277.0,1,0.0,147.0
83,-20,1,170,4,0,picker-1,342.0,1,0.0,166.0
84,-20,1,346,9,0,picker-1,373.0,1,0.0,258.0
85,-20,1,31,4,0,picker-1,291.0,1,0.0,222.0
86,-19,1,319,7,0,picker-3,198.0,1,39.0,292.0
87,-19,1,265,7,0,picker-3,45.0,1,0.0,242.0
88,-18,1,141,10,0,,,-3,,
89,-18,1,369,3,0,,,-3,,
90,-18,1,248,8,0,,,-3,,
91,-18,1,433,9,0,,,-3,,
92,-17,1,315,8,0,,,-3,,
93,-17,1,342,11,0,,,-3,,
94,-17,1,154,5,0,,,-3,,
95,-17,1,167,4,0,,,-3,,
96,-16,1,318,11,0,picker-2,5.0,1,0.0,60.0
