sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,-50,1,209,6,0
2,-49,1,1,4,0
3,-48,1,464,1,0
4,-47,1,45,8,0
5,-46,1,184,8,0
6,-46,1,218,6,0
7,-45,1,135,4,0
8,-45,1,270,8,0
9,-45,1,119,4,0
10,-44,1,223,8,0
11,-44,1,59,11,0
12,-44,1,407,10,0
13,-44,1,1,9,0
14,-43,1,319,10,0
15,-43,1,296,2,0
16,-42,1,114,8,0
17,-42,1,46,6,0
18,-41,1,259,8,0
19,-40,1,0,6,0
20,-40,1,237,6,0
21,-40,1,319,9,0
22,-39,1,170,5,0
23,-39,1,157,12,0
24,-39,1,246,4,0
25,-39,1,216,7,0
26,-39,1,373,1,0
27,-38,1,304,7,0
28,-38,1,173,6,0
29,-38,1,220,10,0
30,-37,1,158,11,0
31,-37,1,152,10,0
32,-36,1,404,5,0
33,-36,1,159,3,0
34,-36,1,169,5,0
35,-36,1,267,10,0
36,-36,1,106,8,0
37,-35,1,329,5,0
38,-34,1,15,10,0
39,-34,1,293,3,0
40,-34,1,66,5,0
41,-34,1,98,4,0
42,-34,1,382,11,0
43,-34,1,229,4,0
44,-34,1,194,3,0
45,-34,1,0,10,0
46,-33,1,66,4,0
47,-32,1,397,6,0
48,-32,1,262,2,0
49,-32,1,256,11,0
50,-32,1,185,8,0
51,-32,1,111,5,0
52,-31,1,318,6,0
53,-31,1,136,4,0
54,-31,1,399,5,0
55,-31,1,213,6,0
56,-30,1,388,5,0
57,-30,1,326,10,0
58,-30,1,213,9,0
59,-30,1,221,8,0
60,-29,1,155,2,0
61,-28,1,467,9,0
62,-28,1,440,7,0
63,-28,1,158,10,0
64,-27,1,146,4,0
65,-27,1,239,1,0
66,-26,1,324,10,0
67,-25,1,399,6,0
68,-25,1,258,9,0
69,-25,1,320,10,0
70,-24,1,247,8,0
71,-24,1,14,9,0
72,-24,1,9,8,0
73,-24,1,333,8,0
74,-23,1,415,8,0
75,-23,1,315,4,0
76,-22,1,261,7,0
77,-21,1,120,12,0
78,-20,1,222,7,0
79,-20,1,233,10,0
80,-20,1,397,10,0
81,-20,1,176,3,0
82,-20,1,128,4,0
83,-20,1,170,4,0
84,-20,1,346,9,0
85,-20,1,31,4,0
86,-19,1,319,7,0
87,-19,1,265,7,0
88,-18,1,141,10,0
89,-18,1,369,3,0
90,-18,1,248,8,0
91,-18,1,433,9,0
92,-17,1,315,8,0
93,-17,1,342,11,0
94,-17,1,154,5,0
95,-17,1,167,4,0
96,-16,1,318,11,0
97,-16,1,315,8,0
98,-16,1,250,11,0
99,-16,1,243,2,0
100,-15,1,160,8,0
101,-15,1,408,3,0
102,-15,1,219,10,0
103,-15,1,135,9,0
104,-14,1,439,4,0
105,-14,1,259,8,0
106,-14,1,288,10,0
107,-14,1,399,8,0
108,-13,1,222,3,0
109,-13,1,408,4,0
110,-12,1,248,7,0
111,-12,1,320,11,0
112,-12,1,442,9,0
113,-12,1,231,3,0
114,-11,1,368,11,0
115,-11,1,6,9,0
116,-10,1,65,6,0
117,-10,1,214,6,0
118,-10,1,149,5,0
119,-10,1,414,7,0
120,-10,1,36,8,0
121,-10,1,231,8,0
122,-10,1,158,10,0
123,-10,1,16,7,0
124,-10,1,20,8,0
125,-9,1,332,8,0
126,-8,1,375,10,0
127,-8,1,459,4,0
128,-8,1,142,8,0
129,-8,1,172,7,0
130,-8,1,366,10,0
131,-8,1,464,7,0
132,-7,1,102,10,0
133,-6,1,457,2,0
134,-6,1,319,8,0
135,-5,1,51,7,0
136,-5,1,74,6,0
137,-5,1,214,5,0
138,-4,1,321,5,0
139,-3,1,423,5,0
140,-3,1,315,6,0
141,-3,1,382,7,0
142,-2,1,407,8,0
143,-1,1,233,7,0
144,0,1,21,3,360
145,0,1,64,6,360
146,1,1,460,8,360
147,1,1,155,6,360
148,1,1,100,9,360
