item_id,item_code,item_class,item_order_frequency,item_initial_quantity_inventory,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_weight,item_unit,item_quantity_order_unique,item_pod_inventory_level,item_warehouse_inventory_level
0,14615070001,0,153,11,35.0,24.0,29.0,24360.0,13.13,6,4060.0,2.188,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 18, 60]",0.4,0.4
1,10040048001,0,109,40,38.0,22.0,31.0,25916.0,17.0,8,3239.5,2.125,PCS,"[1, 7, 8, 16, 24, 32, 33, 40, 48]",0.4,0.4
2,14110154001,0,90,4,35.0,30.0,25.0,26250.0,2.276,10,2625.0,0.228,PCS,"[1, 2, 3, 4, 5, 6]",0.4,0.4
3,14502016001,0,65,9,39.0,33.0,14.0,18018.0,3.63,30,600.6,0.121,PCS,"[5, 10]",0.4,0.4
4,14612075001,0,60,4,34.0,23.0,28.0,21896.0,11.7,6,3649.3,1.95,PCS,"[1, 2, 3, 4, 5, 12]",0.4,0.4
5,10035010001,0,58,23,41.0,28.0,23.0,26404.0,13.26,24,1100.2,0.552,PCS,"[4, 8, 16, 20, 24, 32, 48]",0.4,0.4
6,14851007001,0,57,4,57.0,30.0,10.0,17100.0,7.06,1,17100.0,7.06,PCS,"[1, 2, 3, 4, 5]",0.4,0.4
7,30011002001,0,57,2,30.0,13.0,19.0,7410.0,6.0,30,247.0,0.2,PCS,"[1, 2, 3]",0.4,0.4
8,12201030001,0,51,41,20.0,10.0,8.0,1615.0,0.2,1,1615.0,0.2,PCS,"[20, 40]",0.4,0.4
9,14633900001,0,50,4,43.0,33.0,11.0,15609.0,8.94,12,1300.8,0.745,PCS,"[1, 2, 4, 6, 12]",0.4,0.4
10,14841001001,0,48,16,31.0,24.0,11.0,8184.0,5.68,24,341.0,0.237,PCS,"[3, 6, 9, 12, 24, 27, 54]",0.4,0.4
11,12221003001,0,47,5,21.0,10.0,8.0,1785.0,0.2,1,1785.0,0.2,PCS,"[1, 2, 3, 4, 5, 6]",0.4,0.4
12,11103317001,0,46,6,29.0,25.0,28.0,20300.0,9.72,6,3383.3,1.62,PCS,"[1, 2, 4, 6, 8]",0.4,0.4
13,14510127001,0,45,3,35.0,24.0,5.0,4288.0,2.2,1,4287.5,2.2,PCS,"[1, 2, 3, 4, 5]",0.4,0.4
14,14833013001,0,43,3,37.0,28.0,21.0,21756.0,4.8,12,1813.0,0.4,PCS,"[1, 2, 3, 4]",0.4,0.4
