item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,item_class_old
10000001001,可口可樂Zero 600ml,45.0,30.0,24.0,32400.0,15.7,24.0,1350.0,PCS,25.0,0.8668288861852302,6.926,6.994,187,"[1, 2, 3, 4, 5, 6, 8, 12, 16, 22, 24]","[4, 5, 2, 3, 1, 4, 2, 2, 1, 1, 2]",3,15,3
10000002001,可口可樂2L,34.0,23.0,31.0,24242.0,13.31,6.0,4040.3,PCS,686.0,0.1409476508724854,12.741,13.943,9976,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 18, 21, 22, 23, 24, 30, 36, 37, 39, 42, 48, 50, 54, 60]","[120, 91, 38, 13, 7, 160, 6, 5, 18, 4, 80, 4, 9, 3, 50, 1, 5, 1, 50, 46, 15, 1, 1, 11, 19, 1, 14, 10]",3,107,3
10000003001,百事可樂330ml,40.0,27.0,12.0,12960.0,9.11,24.0,540.0,PCS,153.0,0.5732171130481158,18.271,15.34,2832,"[6, 12, 18, 24, 48, 96]","[61, 21, 3, 54, 14, 2]",3,35,3
10000004001,百事可樂2L,34.0,23.0,31.0,24242.0,14.0,6.0,4040.3,PCS,146.0,0.5846902551624139,14.027,11.556,2104,"[1, 2, 3, 4, 6, 12, 18, 24, 30, 35, 36, 42, 48]","[2, 3, 3, 3, 58, 37, 12, 11, 7, 1, 2, 7, 4]",3,27,3
10000005001,可口可樂330ml,40.0,28.0,12.0,13440.0,8.89,24.0,560.0,PCS,516.0,0.2122397960033999,21.691,17.341,11670,"[6, 12, 18, 24, 30, 36, 42, 48, 72, 96, 108]","[181, 55, 22, 179, 3, 1, 3, 81, 7, 5, 1]",3,68,3
10000006001,Dr. Pepper 可樂,40.0,13.0,13.0,6760.0,4.69,12.0,563.3,PCS,3.0,0.9871002149964168,4.333,2.887,13,"[1, 6]","[1, 2]",4,8,4
10000007001,可口可樂 Zero 330ml,40.0,28.0,12.0,13440.0,8.58,24.0,560.0,PCS,301.0,0.379143680938651,18.667,15.457,5712,"[6, 12, 18, 24, 30, 42, 48, 54, 72, 84, 96]","[118, 47, 13, 86, 1, 1, 35, 1, 1, 2, 1]",3,59,3
10000008001,可口可樂纖維+ 1250ml,37.0,26.0,28.0,26936.0,16.14,12.0,2244.7,PCS,4.0,0.9810769820502993,15.0,6.0,60,"[12, 24]","[3, 1]",3,22,3
10000010001,可口可樂 Zero 2L,34.0,23.0,31.0,24242.0,12.52,6.0,4040.3,PCS,181.0,0.532021132981117,8.974,9.266,1696,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 14, 18, 19, 24, 28, 30, 36, 60, 72]","[33, 14, 9, 4, 4, 52, 1, 2, 1, 34, 1, 23, 1, 1, 1, 5, 1, 1, 1]",3,19,3
10000011001,可口可樂 Can 250 ml,40.0,27.0,10.0,10800.0,6.76,24.0,450.0,PCS,1119.0,0.0634689421842969,49.179,68.295,58080,"[24, 48, 72, 96, 120, 144, 192, 240, 288, 480]","[683, 359, 62, 16, 5, 6, 8, 10, 12, 20]",3,502,3
10000012001,可口可樂Pet 600ml,45.0,30.0,25.0,33750.0,15.88,24.0,1406.3,PCS,118.0,0.6286295228412859,12.459,12.095,1520,"[4, 8, 12, 16, 20, 24, 32, 40, 48, 52]","[55, 24, 7, 3, 3, 21, 1, 1, 6, 1]",3,26,3
10000013001,百事可樂 Can250ml,41.0,28.0,10.0,11480.0,7.03,24.0,478.3,PCS,53.0,0.7769703838269362,26.264,7.082,1392,"[24, 48]","[48, 5]",2,34,2
10000021001,可口可樂纖維+ Can 330ml,40.0,28.0,12.0,13440.0,8.59,24.0,560.0,PCS,81.0,0.7080015333077782,13.69,13.549,1191,"[3, 4, 8, 12, 16, 20, 21, 24, 48, 83]","[1, 35, 15, 6, 1, 2, 1, 21, 4, 1]",3,29,3
10000022001,可口可樂1250ml,37.0,27.0,29.0,28971.0,15.12,12.0,2414.3,PCS,65.0,0.7485475242079299,4.618,6.36,314,"[1, 2, 3, 4, 5, 6, 10, 12, 24]","[26, 17, 5, 5, 1, 2, 1, 6, 5]",3,12,3
10000023001,百事可樂 - 600ml,43.0,28.0,25.0,30100.0,16.27,24.0,1254.2,PCS,24.0,0.8705754904084932,4.923,3.261,128,"[4, 8, 20]","[23, 2, 1]",3,9,3
10000026001,可口可樂Can 235ml,34.0,22.0,14.0,10472.0,6.62,24.0,436.3,PCS,506.0,0.2156430726154564,14.236,10.831,7232,"[8, 16, 24, 32, 40, 48, 64, 72, 96]","[312, 100, 49, 20, 8, 16, 1, 1, 1]",3,43,3
10000027001,可口可樂纖維+ Pet 600ml,45.0,30.0,25.0,33750.0,15.41,24.0,1406.3,PCS,65.0,0.7487641872635457,15.256,10.276,1312,"[4, 8, 12, 16, 20, 24, 28, 32, 36, 48]","[19, 17, 8, 11, 5, 17, 2, 3, 2, 2]",3,31,3
10000998001,可樂雪碧350ml*12入組,28.0,20.0,19.0,10640.0,4.8,1.0,10640.0,PCS,645.0,0.1695238412693121,1.308,0.509,850,"[1, 2, 3, 4]","[464, 173, 12, 1]",3,5,3
10001001001,七喜汽水2L,34.0,24.0,31.0,25296.0,13.34,6.0,4216.0,PCS,158.0,0.5680238662688956,5.734,8.473,906,"[1, 2, 3, 6, 12, 18, 21, 30, 48, 51]","[58, 34, 10, 29, 8, 10, 1, 6, 1, 1]",2,15,2
