item_code,box_volume,item_volume,number_of_item_in_a_box,slot_type,slot_volume,max_box_in_slot,max_item_in_slot
10000001001,32400.0,1350.0,24.0,0,120000,3,72.0
10000002001,24242.0,4040.3,6.0,0,120000,4,24.0
10000003001,12960.0,540.0,24.0,0,120000,9,216.0
10000004001,24242.0,4040.3,6.0,0,120000,4,24.0
10000005001,13440.0,560.0,24.0,0,120000,8,192.0
10000006001,6760.0,563.3,12.0,0,120000,17,204.0
10000007001,13440.0,560.0,24.0,0,120000,8,192.0
10000008001,26936.0,2244.7,12.0,0,120000,4,48.0
10000010001,24242.0,4040.3,6.0,0,120000,4,24.0
10000011001,10800.0,450.0,24.0,0,120000,11,264.0
10000012001,33750.0,1406.3,24.0,0,120000,3,72.0
10000013001,11480.0,478.3,24.0,0,120000,10,240.0
10000021001,13440.0,560.0,24.0,0,120000,8,192.0
10000022001,28971.0,2414.3,12.0,0,120000,4,48.0
10000023001,30100.0,1254.2,24.0,0,120000,3,72.0
10000026001,10472.0,436.3,24.0,0,120000,11,264.0
10000027001,33750.0,1406.3,24.0,0,120000,3,72.0
10000998001,10640.0,10640.0,1.0,0,120000,11,11.0
10001001001,25296.0,4216.0,6.0,0,120000,4,24.0
10001004001,24242.0,4040.3,6.0,0,120000,4,24.0
10001005001,12960.0,540.0,24.0,0,120000,9,216.0
10001006001,13440.0,560.0,24.0,0,120000,8,192.0
10001007001,28224.0,1176.0,24.0,0,120000,4,96.0
10001008001,23188.0,3864.7,6.0,0,120000,5,30.0
10001009001,10800.0,450.0,24.0,0,120000,11,264.0
10001010001,30044.0,2503.7,12.0,0,120000,3,36.0
10001012001,10800.0,450.0,24.0,0,120000,11,264.0
10001014001,10472.0,436.3,24.0,0,120000,11,264.0
10001015001,32400.0,1350.0,24.0,0,120000,3,72.0
10001020001,13284.0,553.5,24.0,0,120000,9,216.0
10001022001,27048.0,1127.0,24.0,0,120000,4,96.0
10001025001,10800.0,450.0,24.0,0,120000,11,264.0
10001035001,27048.0,1127.0,24.0,0,120000,4,96.0
10001041001,30576.0,1274.0,24.0,0,120000,3,72.0
10001043001,32400.0,1350.0,24.0,0,120000,3,72.0
10001044001,27000.0,1125.0,24.0,0,120000,4,96.0
10002001001,11480.0,478.3,24.0,0,120000,10,240.0
10002003001,28896.0,1204.0,24.0,0,120000,4,96.0
10002005001,14040.0,585.0,24.0,0,120000,8,192.0
10002006001,24242.0,4040.3,6.0,0,120000,4,24.0
10002007001,13440.0,560.0,24.0,0,120000,8,192.0
10002008001,10800.0,450.0,24.0,0,120000,11,264.0
10002009001,28896.0,1204.0,24.0,0,120000,4,96.0
10002010001,10800.0,450.0,24.0,0,120000,11,264.0
10002011001,28224.0,1176.0,24.0,0,120000,4,96.0
10002012001,14391.0,599.6,24.0,0,120000,8,192.0
10002013001,6760.0,563.3,12.0,0,120000,17,204.0
10002014001,14391.0,599.6,24.0,0,120000,8,192.0
10002017001,23188.0,3864.7,6.0,0,120000,5,30.0
10002018001,13284.0,553.5,24.0,0,120000,9,216.0
