order_id,order_arrival,process_start_time,order_complete_time,station_id
-40,0,1,87,picker-1
-50,0,1,89,picker-2
-34,0,1,89,picker-2
-5,0,1,89,picker-2
-47,0,1,112,picker-3
-31,0,1,193,picker-3
-45,0,1,212,picker-1
-26,0,1,218,picker-3
-19,0,1,257,picker-1
-14,0,1,306,picker-3
-4,0,1,320,picker-1
-44,0,88,419,picker-1
-46,0,1,441,picker-2
-39,0,90,515,picker-2
-49,0,1,564,picker-2
-37,0,194,580,picker-3
-36,0,213,594,picker-1
-30,0,321,715,picker-1
-18,0,1,724,picker-1
-32,0,307,754,picker-3
-29,0,420,830,picker-1
-28,0,442,850,picker-2
-24,0,581,872,picker-3
-41,0,1,907,picker-1
-11,0,1,961,picker-3
-16,0,851,972,picker-2
-17,0,831,973,picker-1
-20,0,755,974,picker-3
-2,0,1,1006,picker-3
-23,0,595,1011,picker-1
-13,0,908,1078,picker-1
-35,0,219,1126,picker-3
-12,0,962,1270,picker-3
-6,0,1012,1277,picker-1
-48,0,1,1301,picker-2
-25,0,565,1301,picker-2
-42,0,90,1301,picker-2
-3,0,1079,1334,picker-1
-43,0,90,1341,picker-2
-27,0,516,1341,picker-2
-8,0,975,1355,picker-3
-7,0,1007,1366,picker-3
0,660,1271,1377,picker-3
-1,0,1127,1383,picker-3
2,720,1302,1431,picker-2
3,780,1302,1448,picker-2
5,900,1335,1561,picker-1
6,1020,1342,1608,picker-2
-22,0,716,1609,picker-1
7,1080,1342,1614,picker-2
8,1140,1356,1636,picker-3
1,720,1278,1704,picker-1
-15,0,873,1773,picker-3
13,1380,1449,1777,picker-2
-10,0,973,1793,picker-2
12,1380,1432,1814,picker-2
17,1740,1740,1835,picker-1
10,1140,1378,1837,picker-3
-33,0,258,1849,picker-1
14,1440,1562,1862,picker-1
-9,0,974,1883,picker-1
11,1200,1384,1891,picker-3
18,1800,1800,1893,picker-2
19,1860,1860,1928,picker-1
15,1500,1609,1949,picker-2
20,1920,1920,2018,picker-3
23,1980,1980,2073,picker-1
21,1980,1980,2074,picker-3
22,1980,1980,2087,picker-3
25,2040,2040,2164,picker-3
26,2100,2100,2181,picker-2
24,1980,1980,2212,picker-1
27,2160,2160,2236,picker-3
28,2460,2460,2532,picker-1
32,2520,2520,2574,picker-1
30,2520,2520,2589,picker-1
29,2520,2520,2598,picker-2
31,2520,2520,2600,picker-1
33,2580,2580,2665,picker-1
34,2640,2640,2711,picker-1
35,2640,2640,2717,picker-1
36,2760,2760,2830,picker-1
37,2820,2820,2873,picker-1
38,2820,2820,2880,picker-1
40,2820,2820,2920,picker-3
39,2820,2820,2937,picker-3
41,2880,2880,3035,picker-3
42,2880,2880,3040,picker-1
43,2880,2880,3065,picker-1
44,2880,2880,3223,picker-2
46,3180,3180,3277,picker-1
45,3000,3000,3292,picker-2
47,3240,3240,3347,picker-3
48,3240,3240,3374,picker-1
49,3240,3240,3418,picker-1
50,3480,3480,3555,picker-1
51,3600,3600,3703,picker-3
52,3600,3600,3719,picker-3
56,3660,3660,3731,picker-1
55,3600,3600,3797,picker-3
53,3720,3720,3810,picker-2
57,3720,3720,3817,picker-1
58,3720,3720,3829,picker-1
59,3780,3780,3866,picker-2
60,3840,3840,3962,picker-2
61,3900,3900,3962,picker-1
54,3840,3840,3974,picker-1
62,3900,3900,4138,picker-2
63,4080,4080,4189,picker-3
64,4140,4140,4224,picker-3
65,4140,4140,4262,picker-3
66,4200,4200,4285,picker-3
67,4200,4200,4332,picker-1
68,4260,4260,4346,picker-1
69,4440,4440,4506,picker-1
70,4560,4560,4693,picker-1
71,4680,4680,4761,picker-1
72,4740,4740,4818,picker-1
74,4860,4860,4954,picker-3
75,4980,4980,5033,picker-1
76,5340,5340,5401,picker-1
78,5400,5400,5489,picker-1
79,5460,5460,5551,picker-3
77,5340,5340,5625,picker-1
80,5460,5460,5643,picker-1
81,5700,5700,5763,picker-1
82,5700,5700,5770,picker-1
83,5760,5760,5837,picker-1
84,5820,5820,5959,picker-3
85,5880,5880,5998,picker-3
86,5940,5940,6049,picker-1
88,6060,6060,6130,picker-1
87,6060,6060,6135,picker-3
90,6120,6120,6208,picker-1
89,6120,6120,6228,picker-3
91,6180,6180,6281,picker-3
92,6180,6180,6363,picker-1
93,6240,6240,6370,picker-1
94,6240,6240,6397,picker-1
95,6240,6240,6435,picker-3
97,6360,6360,6573,picker-2
96,6300,6300,6583,picker-3
99,6660,6660,6733,picker-3
100,6720,6720,6835,picker-1
101,6720,6720,6864,picker-1
103,6840,6840,6890,picker-1
102,6840,6840,6911,picker-1
105,6900,6900,7043,picker-1
106,7020,7020,7140,picker-1
107,7020,7020,7162,picker-1
104,6900,6900,7175,picker-3
108,7140,7140,7205,picker-1
109,7140,7140,7326,picker-2
110,7140,7140,7361,picker-1
111,7140,7140,7409,picker-3
113,7320,7320,7485,picker-2
114,7320,7320,7491,picker-2
112,7200,7200,7544,picker-3
116,7440,7440,7574,picker-3
118,7440,7440,7624,picker-1
117,7440,7440,7635,picker-2
119,7500,7500,7687,picker-1
121,7500,7500,7704,picker-1
120,7500,7500,7724,picker-2
115,7380,7380,7724,picker-2
124,7680,7680,7975,picker-1
122,7620,7620,8163,picker-3
