pod_id,item_id,qty,order_id,processed_time,task_type
88,0,6,-40,38,1
88,319,4,-43,38,1
88,319,2,-19,38,1
248,216,7,-39,59,1
248,36,8,-10,59,1
5,318,6,-31,60,1
5,259,8,-14,60,1
5,439,4,-14,60,1
5,318,11,-16,60,1
383,246,4,-39,76,1
383,262,2,-32,76,1
396,319,6,-43,77,1
58,213,6,-31,79,1
58,213,9,-30,79,1
58,388,5,-30,79,1
391,209,6,-50,92,1
197,296,2,-43,93,1
173,399,5,-31,99,1
173,399,6,-25,99,1
173,399,8,-14,99,1
173,315,8,-16,99,1
41,319,6,-40,108,1
50,157,12,-39,110,1
50,176,3,-20,110,1
300,326,10,-30,114,1
16,237,3,-40,125,1
16,457,2,-6,125,1
274,185,8,-32,127,1
21,136,4,-31,131,1
21,250,11,-16,131,1
277,111,5,-32,147,1
277,128,4,-20,147,1
339,221,8,-30,147,1
342,170,5,-39,166,1
342,170,4,-20,166,1
42,320,10,-25,185,1
42,243,2,-16,185,1
411,373,1,-39,187,1
411,397,6,-32,187,1
411,397,10,-20,187,1
419,258,9,-25,201,1
415,256,11,-32,204,1
291,31,4,-20,222,1
388,288,10,-14,228,1
215,222,7,-20,240,1
45,265,7,-19,242,1
373,346,9,-20,258,1
378,231,8,-10,275,1
198,319,5,-19,292,1
198,319,1,-40,292,1
65,20,8,-10,293,1
35,319,6,-6,308,1
255,16,7,-10,311,1
216,237,3,-40,329,1
392,233,8,-20,329,1
374,319,2,-40,346,1
374,319,2,-6,346,1
84,158,10,-10,348,1
84,51,7,-5,348,1
213,149,5,-10,366,1
236,214,6,-10,385,1
236,214,5,-5,385,1
227,414,7,-10,404,1
227,74,6,-5,404,1
337,65,6,-10,422,1
279,233,2,-20,440,1
