pod_id,pod_type,slot_id,slot_type,item,unusedColumn1,unusedColumn2,unusedColumn3,qty,max_qty,due_date,facing,pick_ind,slot_sequence,item_weight,total_item_weight,item_pod_inventory_level,item_warehouse_inventory_level
0,0,0,0,132,0,0,0,84,84,99999,0,0,0,0.398,33.432,0.4,0.4
0,0,1,0,28,0,0,0,72,72,99999,0,0,1,0.333,23.976,0.4,0.4
0,0,2,0,195,0,0,0,780,780,99999,0,0,2,0.018,14.04,0.5,0.5
0,0,3,0,57,0,0,0,432,432,99999,0,0,3,0.152,65.664,0.4,0.4
0,0,4,0,158,0,0,0,98,98,99999,0,0,4,0.177,17.346,0.5,0.5
0,0,5,0,368,0,0,0,11,11,99999,0,0,5,4.8,52.8,0.5,0.5
0,0,6,0,401,0,0,0,12,12,99999,0,0,6,0.328,3.936,0.5,0.5
0,0,7,0,47,0,0,0,36,36,99999,0,0,7,0.142,5.112,0.4,0.4
0,0,8,0,104,0,0,0,18,18,99999,0,0,8,2.092,37.656,0.4,0.4
0,0,9,0,456,0,0,0,20,20,99999,0,0,9,0.28,5.6,0.5,0.5
1,0,0,0,382,0,0,0,21,21,99999,0,0,10,0.7,14.7,0.5,0.5
1,0,1,0,333,0,0,0,30,30,99999,0,0,11,0.333,9.99,0.5,0.5
1,0,2,0,368,0,0,0,11,11,99999,0,0,12,4.8,52.8,0.5,0.5
1,0,3,0,75,0,0,0,504,504,99999,0,0,13,0.123,61.992,0.4,0.4
1,0,4,0,288,0,0,0,60,60,99999,0,0,14,0.408,24.48,0.5,0.5
1,0,5,0,268,0,0,0,31,31,99999,0,0,15,1.0,31.0,0.5,0.5
1,0,6,0,248,0,0,0,192,192,99999,0,0,16,0.132,25.344,0.5,0.5
1,0,7,0,422,0,0,0,12,12,99999,0,0,17,5.165,61.98,0.5,0.5
1,0,8,0,65,0,0,0,24,24,99999,0,0,18,0.27,6.48,0.4,0.4
1,0,9,0,207,0,0,0,168,168,99999,0,0,19,0.4,67.2,0.5,0.5
2,0,0,0,228,0,0,0,150,150,99999,0,0,20,0.104,15.6,0.5,0.5
2,0,1,0,119,0,0,0,98,98,99999,0,0,21,0.2,19.6,0.4,0.4
2,0,2,0,98,0,0,0,72,72,99999,0,0,22,0.124,8.928,0.4,0.4
2,0,3,0,16,0,0,0,40,40,99999,0,0,23,0.307,12.28,0.4,0.4
2,0,4,0,482,0,0,0,132,132,99999,0,0,24,1.157,152.724,0.6,0.6
2,0,5,0,27,0,0,0,120,120,99999,0,0,25,0.833,99.96,0.4,0.4
2,0,6,0,58,0,0,0,112,112,99999,0,0,26,0.231,25.872,0.4,0.4
2,0,7,0,384,0,0,0,168,168,99999,0,0,27,0.423,71.064,0.5,0.5
2,0,8,0,355,0,0,0,24,24,99999,0,0,28,2.218,53.232,0.5,0.5
2,0,9,0,126,0,0,0,68,68,99999,0,0,29,0.4,27.2,0.4,0.4
