order_id,order_arrival,process_start_time,order_complete_time,station_id
-50,0,1,61,picker-1
-32,0,1,77,picker-3
-7,0,1,77,picker-3
-17,0,1,94,picker-1
-19,0,1,222,picker-1
-15,0,1,252,picker-2
-49,0,1,284,picker-1
-26,0,1,296,picker-2
-16,0,1,296,picker-2
-48,0,1,300,picker-1
-47,0,1,331,picker-1
-24,0,1,332,picker-2
-44,0,1,353,picker-3
-46,0,1,368,picker-3
-42,0,62,394,picker-1
-10,0,1,404,picker-2
-43,0,1,416,picker-3
-41,0,78,432,picker-3
-45,0,1,449,picker-3
-40,0,78,464,picker-3
-39,0,95,509,picker-1
-37,0,253,523,picker-2
-38,0,223,526,picker-1
-11,0,1,539,picker-2
-36,0,285,580,picker-1
-34,0,297,601,picker-2
-35,0,297,617,picker-2
-33,0,301,633,picker-1
-28,0,369,661,picker-3
-31,0,332,669,picker-1
-29,0,354,682,picker-3
-30,0,333,689,picker-2
-27,0,395,740,picker-1
-25,0,405,749,picker-2
-22,0,433,757,picker-3
-23,0,417,852,picker-3
-21,0,450,923,picker-3
-14,0,524,966,picker-2
-20,0,465,977,picker-3
-12,0,540,981,picker-2
-13,0,527,983,picker-1
-8,0,602,1057,picker-2
-9,0,581,1066,picker-1
-6,0,618,1076,picker-2
-4,0,662,1130,picker-3
-5,0,634,1172,picker-1
