item_id,current_global_qty,max_global_qty,global_inv_level
132,924,924,1.0
28,1008,1008,1.0
195,5460,5460,1.0
57,6480,6480,1.0
158,784,784,1.0
368,66,66,1.0
401,96,96,1.0
47,540,540,1.0
104,198,198,1.0
456,160,160,1.0
382,147,147,1.0
333,420,420,1.0
75,7560,7560,1.0
288,540,540,1.0
268,341,341,1.0
248,1536,1536,1.0
422,36,36,1.0
65,192,192,1.0
207,1512,1512,1.0
228,1200,1200,1.0
119,1372,1372,1.0
98,720,720,1.0
16,400,400,1.0
482,264,264,1.0
27,1200,1200,1.0
58,1568,1568,1.0
384,1344,1344,1.0
355,360,360,1.0
126,884,884,1.0
81,840,840,1.0
467,216,216,1.0
31,8736,8736,1.0
77,540,540,1.0
205,44,44,1.0
247,300,300,1.0
80,936,936,1.0
22,480,480,1.0
365,768,768,1.0
59,3740,3740,1.0
289,616,616,1.0
30,1080,1080,1.0
11,603,603,1.0
117,384,384,1.0
258,192,192,1.0
191,1008,1008,1.0
225,480,480,1.0
385,3360,3360,1.0
259,240,240,1.0
284,1152,1152,1.0
439,120,120,1.0
303,270,270,1.0
321,80,80,1.0
458,2160,2160,1.0
318,3120,3120,1.0
450,1800,1800,1.0
431,130,130,1.0
82,468,468,1.0
377,648,648,1.0
86,2880,2880,1.0
437,2520,2520,1.0
41,1152,1152,1.0
42,3744,3744,1.0
113,720,720,1.0
474,288,288,1.0
235,210,210,1.0
208,2100,2100,1.0
70,240,240,1.0
418,312,312,1.0
312,240,240,1.0
32,64,64,1.0
157,480,480,1.0
354,4680,4680,1.0
305,400,400,1.0
4,420,420,1.0
387,72,72,1.0
362,3960,3960,1.0
127,1050,1050,1.0
95,1248,1248,1.0
176,2352,2352,1.0
144,560,560,1.0
48,1440,1440,1.0
330,72,72,1.0
328,960,960,1.0
338,1680,1680,1.0
93,990,990,1.0
325,2520,2520,1.0
344,2520,2520,1.0
443,3080,3080,1.0
341,4320,4320,1.0
238,864,864,1.0
469,270,270,1.0
88,8640,8640,1.0
114,1728,1728,1.0
105,768,768,1.0
73,3744,3744,1.0
21,2700,2700,1.0
388,4032,4032,1.0
371,4224,4224,1.0
200,1000,1000,1.0
326,2640,2640,1.0
184,1440,1440,1.0
471,324,324,1.0
216,6864,6864,1.0
52,234,234,1.0
245,780,780,1.0
38,1152,1152,1.0
234,3456,3456,1.0
100,576,576,1.0
417,2016,2016,1.0
137,252,252,1.0
44,2040,2040,1.0
224,768,768,1.0
473,270,270,1.0
7,2400,2400,1.0
374,576,576,1.0
281,2520,2520,1.0
10,2352,2352,1.0
360,864,864,1.0
204,960,960,1.0
478,2304,2304,1.0
45,864,864,1.0
61,1440,1440,1.0
147,420,420,1.0
215,900,900,1.0
19,1728,1728,1.0
270,78,78,1.0
279,360,360,1.0
25,576,576,1.0
181,2760,2760,1.0
373,1728,1728,1.0
220,216,216,1.0
206,1728,1728,1.0
12,360,360,1.0
424,168,168,1.0
457,108,108,1.0
15,105,105,1.0
202,720,720,1.0
92,1680,1680,1.0
237,15,15,1.0
420,880,880,1.0
223,90,90,1.0
408,2592,2592,1.0
299,1260,1260,1.0
0,288,288,1.0
272,216,216,1.0
444,270,270,1.0
336,5184,5184,1.0
251,3120,3120,1.0
423,480,480,1.0
151,300,300,1.0
294,320,320,1.0
141,1728,1728,1.0
266,960,960,1.0
130,1800,1800,1.0
367,1200,1200,1.0
3,2520,2520,1.0
267,1080,1080,1.0
300,2016,2016,1.0
479,3600,3600,1.0
454,24,24,1.0
356,560,560,1.0
72,1728,1728,1.0
186,2880,2880,1.0
329,84,84,1.0
307,112,112,1.0
36,1872,1872,1.0
250,1872,1872,1.0
193,3456,3456,1.0
287,480,480,1.0
24,3120,3120,1.0
136,576,576,1.0
304,1680,1680,1.0
164,300,300,1.0
240,1584,1584,1.0
438,264,264,1.0
43,2280,2280,1.0
433,288,288,1.0
46,1400,1400,1.0
323,400,400,1.0
178,2520,2520,1.0
50,640,640,1.0
188,2400,2400,1.0
33,1536,1536,1.0
34,3672,3672,1.0
128,1680,1680,1.0
166,648,648,1.0
13,243,243,1.0
18,360,360,1.0
129,1100,1100,1.0
53,660,660,1.0
466,2904,2904,1.0
91,1536,1536,1.0
402,3200,3200,1.0
255,2592,2592,1.0
76,96,96,1.0
331,120,120,1.0
37,1170,1170,1.0
112,540,540,1.0
369,3960,3960,1.0
348,1440,1440,1.0
17,315,315,1.0
116,600,600,1.0
310,624,624,1.0
302,480,480,1.0
271,1728,1728,1.0
99,972,972,1.0
404,216,216,1.0
29,648,648,1.0
102,1560,1560,1.0
334,72,72,1.0
262,75,75,1.0
476,240,240,1.0
464,594,594,1.0
342,3024,3024,1.0
434,3456,3456,1.0
121,624,624,1.0
90,324,324,1.0
436,840,840,1.0
51,420,420,1.0
175,3648,3648,1.0
343,132,132,1.0
97,432,432,1.0
152,110,110,1.0
465,84,84,1.0
297,539,539,1.0
196,2904,2904,1.0
280,960,960,1.0
393,180,180,1.0
154,1140,1140,1.0
219,63180,63180,1.0
415,96,96,1.0
494,816,816,1.0
314,756,756,1.0
69,672,672,1.0
399,192,192,1.0
