order_id,item_code,item_name,item_quantity,order_date
DO_0000213097,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 02.15
DO_0000264769,10000011001,可口可樂 Can 250 ml,48,08/01/21 02.16
DO_0000223147,10021025001,黑松FIN補給飲料TP300ml,6,08/01/21 02.27
DO_0000218472,10000011001,可口可樂 Can 250 ml,24,08/01/21 02.27
DO_0000252404,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 02.30
DO_0000259382,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 02.36
DO_0000258003,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 02.38
DO_0000213069,10000011001,可口可樂 Can 250 ml,24,08/01/21 02.58
DO_0000227497,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 02.58
DO_0000232866,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 02.58
DO_0000219306,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 02.58
DO_0000232012,10000011001,可口可樂 Can 250 ml,24,08/01/21 02.58
DO_0000257880,10000011001,可口可樂 Can 250 ml,24,08/01/21 03.00
DO_0000265075,10000011001,可口可樂 Can 250 ml,24,08/01/21 03.05
DO_0000262796,10000011001,可口可樂 Can 250 ml,48,08/01/21 03.07
DO_0000243202,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 03.10
DO_0000246848,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 03.10
DO_0000246254,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 03.10
DO_0000259099,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 08.19
DO_0000254003,10021025001,黑松FIN補給飲料TP300ml,12,08/01/21 08.19
DO_0000254003,10021025001,黑松FIN補給飲料TP300ml,12,08/01/21 08.19
DO_0000264736,10000011001,可口可樂 Can 250 ml,24,08/01/21 08.19
DO_0000264010,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 08.19
DO_0000263383,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 08.19
DO_0000258006,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 08.19
DO_0000260602,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 08.19
DO_0000262931,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 08.19
DO_0000263114,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 08.19
DO_0000262878,10000011001,可口可樂 Can 250 ml,24,08/01/21 08.19
DO_0000262878,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 08.19
DO_0000250721,10000011001,可口可樂 Can 250 ml,48,08/01/21 08.19
DO_0000250721,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 08.19
DO_0000259324,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 08.19
DO_0000261437,10021025001,黑松FIN補給飲料TP300ml,96,08/01/21 08.19
DO_0000262829,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 08.19
DO_0000263169,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 08.19
DO_0000250642,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 08.19
DO_0000263537,10021025001,黑松FIN補給飲料TP300ml,6,08/01/21 08.20
DO_0000213005,10000011001,可口可樂 Can 250 ml,48,08/01/21 09.33
DO_0000230832,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 09.35
DO_0000242819,10000011001,可口可樂 Can 250 ml,24,08/01/21 09.35
DO_0000266154,10000011001,可口可樂 Can 250 ml,24,08/01/21 09.40
DO_0000264477,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 09.41
DO_0000242834,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 09.48
DO_0000259051,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 09.53
DO_0000267831,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 12.13
DO_0000267448,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 12.13
DO_0000267824,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 12.14
DO_0000267904,10021025001,黑松FIN補給飲料TP300ml,6,08/01/21 13.42
DO_0000268032,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 13.42
DO_0000267983,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 13.42
DO_0000267982,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 13.42
DO_0000268069,10021025001,黑松FIN補給飲料TP300ml,12,08/01/21 13.42
DO_0000250648,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 14.18
DO_0000259689,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 14.22
DO_0000262840,10021025001,黑松FIN補給飲料TP300ml,6,08/01/21 14.36
DO_0000262648,10021025001,黑松FIN補給飲料TP300ml,6,08/01/21 14.36
DO_0000262835,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 14.36
DO_0000263093,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 14.36
DO_0000267930,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 14.40
DO_0000267887,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 14.42
DO_0000267829,10021025001,黑松FIN補給飲料TP300ml,24,08/01/21 14.42
DO_0000267428,10021025001,黑松FIN補給飲料TP300ml,6,08/01/21 14.46
DO_0000267394,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 14.51
DO_0000258009,10021025001,黑松FIN補給飲料TP300ml,48,08/01/21 14.55
