order_id,order_arrival,process_start_time,order_complete_time,station_id
-98,0,1,58,picker-2
-100,0,1,65,picker-2
-93,0,1,77,picker-2
-97,0,1,82,picker-2
-95,0,1,82,picker-1
-58,0,1,82,picker-1
-23,0,1,82,picker-1
-96,0,1,88,picker-2
-19,0,1,88,picker-1
-94,0,1,94,picker-2
-56,0,1,94,picker-1
-40,0,1,95,picker-3
-53,0,1,95,picker-3
-32,0,1,95,picker-3
-5,0,1,100,picker-1
-28,0,1,101,picker-3
-39,0,59,126,picker-2
-77,0,89,130,picker-1
-92,0,1,140,picker-3
-33,0,1,140,picker-3
-52,0,78,142,picker-2
-63,0,83,144,picker-1
-24,0,89,151,picker-2
-16,0,83,160,picker-1
-80,0,83,161,picker-2
-13,0,102,171,picker-3
-8,0,101,171,picker-1
-67,0,66,174,picker-2
-26,0,95,180,picker-2
-82,0,95,181,picker-1
-36,0,96,185,picker-3
-6,0,127,186,picker-2
-99,0,96,194,picker-3
-73,0,96,194,picker-3
-43,0,83,206,picker-1
-49,0,145,223,picker-1
-1,0,161,229,picker-1
-89,0,131,242,picker-1
-4,0,141,246,picker-3
-30,0,152,251,picker-2
-2,0,141,252,picker-3
-21,0,187,257,picker-2
-71,0,162,263,picker-2
-85,0,172,264,picker-3
-75,0,143,269,picker-2
-65,0,172,283,picker-1
-72,0,182,288,picker-1
-20,0,181,297,picker-2
-18,0,175,303,picker-2
-22,0,186,307,picker-3
-59,0,224,320,picker-1
-17,0,230,332,picker-1
-84,0,195,336,picker-3
-74,0,243,338,picker-1
-70,0,195,342,picker-3
-27,0,207,344,picker-1
-87,0,253,360,picker-3
-15,0,247,373,picker-3
-66,0,264,396,picker-2
-25,0,265,397,picker-3
-47,0,258,402,picker-2
-60,0,252,408,picker-2
-61,0,270,444,picker-2
-12,0,289,453,picker-1
-50,0,308,455,picker-3
-3,0,298,457,picker-2
-64,0,333,465,picker-1
-90,0,284,471,picker-1
-86,0,304,480,picker-2
-68,0,321,491,picker-1
-62,0,337,531,picker-3
-46,0,343,554,picker-3
6,360,374,560,picker-3
-76,0,361,572,picker-3
-55,0,339,592,picker-1
4,360,398,608,picker-3
-9,0,456,614,picker-3
27,480,481,641,picker-2
20,420,454,642,picker-1
14,420,458,647,picker-2
-48,0,397,656,picker-2
-78,0,409,656,picker-2
24,480,492,671,picker-1
3,360,555,678,picker-3
30,540,561,687,picker-3
-79,0,403,691,picker-2
17,420,472,694,picker-1
22,480,573,706,picker-3
-91,0,445,707,picker-2
26,480,532,712,picker-3
-11,0,345,726,picker-1
-45,0,466,733,picker-1
28,540,609,744,picker-3
9,360,642,760,picker-2
42,600,615,764,picker-3
15,420,643,772,picker-1
8,360,648,786,picker-2
12,420,657,803,picker-2
37,540,657,828,picker-2
54,660,695,844,picker-1
7,360,593,850,picker-1
43,600,679,851,picker-3
49,660,688,862,picker-3
45,600,692,864,picker-2
60,660,727,871,picker-1
47,660,713,873,picker-3
-88,0,672,878,picker-1
58,660,707,879,picker-3
2,360,708,903,picker-2
57,660,773,910,picker-1
69,720,734,916,picker-1
66,720,745,919,picker-3
59,660,761,932,picker-2
72,720,765,942,picker-3
78,780,787,944,picker-2
55,660,804,964,picker-2
74,720,829,970,picker-2
94,840,865,980,picker-2
56,660,845,982,picker-1
84,840,851,990,picker-1
95,840,852,1000,picker-3
76,780,863,1010,picker-3
80,780,872,1016,picker-1
88,840,874,1021,picker-3
-38,0,879,1022,picker-1
21,480,880,1033,picker-3
101,900,904,1039,picker-2
98,900,917,1050,picker-1
13,420,911,1060,picker-1
16,420,920,1077,picker-3
64,720,943,1086,picker-3
-31,0,933,1104,picker-2
5,360,945,1110,picker-2
108,960,991,1124,picker-1
71,720,971,1127,picker-2
97,900,965,1148,picker-2
1,360,1001,1157,picker-3
67,720,983,1162,picker-1
18,420,1023,1168,picker-1
106,960,1017,1175,picker-1
93,840,1040,1223,picker-2
91,840,1051,1243,picker-1
123,1080,1125,1257,picker-1
82,780,1128,1257,picker-2
51,660,1105,1263,picker-2
114,1020,1061,1266,picker-1
90,840,981,1269,picker-2
112,1020,1078,1275,picker-3
75,720,1034,1281,picker-3
120,1080,1149,1281,picker-2
61,660,1087,1287,picker-3
44,600,1111,1306,picker-2
40,540,1011,1327,picker-3
19,420,1169,1332,picker-1
131,1140,1163,1338,picker-1
73,720,1022,1341,picker-3
46,600,1158,1347,picker-3
136,1140,1267,1359,picker-1
133,1140,1224,1378,picker-2
124,1080,1270,1384,picker-2
142,1200,1258,1386,picker-1
141,1200,1258,1389,picker-2
52,660,1276,1392,picker-3
143,1260,1264,1395,picker-2
70,720,1176,1408,picker-1
87,840,1282,1425,picker-3
65,720,1282,1428,picker-2
-69,0,1244,1443,picker-1
-37,0,1288,1459,picker-3
29,540,1307,1489,picker-2
53,660,1333,1493,picker-1
149,1320,1342,1496,picker-3
35,540,1339,1509,picker-1
23,480,1387,1544,picker-1
109,960,1360,1550,picker-1
152,1320,1390,1558,picker-2
126,1080,1379,1564,picker-2
157,1380,1385,1587,picker-2
83,840,1409,1590,picker-1
121,1080,1396,1593,picker-2
150,1320,1429,1603,picker-2
144,1260,1426,1609,picker-3
155,1380,1393,1629,picker-3
102,960,1494,1649,picker-1
160,1440,1460,1651,picker-3
161,1440,1444,1654,picker-1
-51,0,1497,1662,picker-3
140,1200,1510,1674,picker-1
-57,0,1545,1680,picker-1
-54,0,1348,1688,picker-3
148,1320,1328,1700,picker-3
168,1500,1559,1705,picker-2
50,660,1551,1713,picker-1
-29,0,1490,1717,picker-2
130,1140,1588,1723,picker-2
129,1140,1565,1735,picker-2
174,1560,1594,1749,picker-2
39,540,1591,1761,picker-1
85,840,1630,1786,picker-3
113,1020,1604,1790,picker-2
167,1500,1652,1792,picker-3
163,1500,1610,1798,picker-3
25,480,1663,1819,picker-3
172,1560,1650,1820,picker-1
193,1680,1689,1825,picker-3
180,1620,1655,1826,picker-1
186,1680,1706,1847,picker-2
188,1680,1714,1862,picker-1
177,1620,1718,1874,picker-2
200,1740,1750,1882,picker-2
-35,0,1724,1900,picker-2
135,1140,1681,1911,picker-1
183,1620,1787,1912,picker-3
195,1740,1762,1917,picker-1
38,540,1701,1922,picker-3
164,1500,1791,1944,picker-2
118,1080,1675,1958,picker-1
110,960,1736,1968,picker-2
173,1560,1820,1978,picker-3
207,1800,1821,1991,picker-1
209,1800,1848,2004,picker-2
147,1260,1826,2006,picker-3
-14,0,1793,2016,picker-3
191,1680,1799,2016,picker-3
210,1860,1913,2038,picker-3
169,1560,1875,2045,picker-2
192,1680,1827,2046,picker-1
219,1920,1923,2050,picker-3
213,1860,1863,2052,picker-1
208,1800,1979,2090,picker-3
187,1680,1992,2100,picker-1
215,1920,1945,2103,picker-2
197,1740,1918,2106,picker-1
223,1980,2005,2109,picker-2
176,1620,2007,2145,picker-3
202,1740,1901,2156,picker-2
232,2040,2047,2168,picker-1
10,360,1912,2187,picker-1
119,1080,2017,2190,picker-3
201,1740,1969,2198,picker-2
146,1260,1883,2223,picker-2
36,540,1959,2226,picker-1
41,600,2046,2229,picker-2
0,360,2104,2235,picker-2
235,2100,2101,2244,picker-1
234,2100,2110,2257,picker-2
224,1980,2039,2296,picker-3
116,1020,2017,2296,picker-3
233,2100,2157,2302,picker-2
175,1620,2169,2304,picker-1
194,1680,2146,2307,picker-3
48,660,2051,2323,picker-3
107,960,2191,2348,picker-3
134,1140,2188,2364,picker-1
220,1920,2199,2365,picker-2
127,1080,2107,2370,picker-1
111,1020,2230,2371,picker-2
-10,0,2091,2375,picker-3
257,2220,2227,2376,picker-1
239,2100,2224,2377,picker-2
243,2100,2236,2383,picker-2
254,2220,2297,2397,picker-3
260,2280,2297,2411,picker-3
258,2280,2303,2425,picker-2
229,2040,2245,2437,picker-1
261,2280,2308,2445,picker-3
259,2280,2324,2451,picker-3
262,2280,2349,2481,picker-3
248,2160,2258,2505,picker-2
247,2160,2377,2507,picker-1
68,720,2376,2512,picker-3
272,2340,2378,2517,picker-2
96,900,2053,2528,picker-1
132,1140,2398,2533,picker-3
256,2220,2412,2545,picker-3
275,2340,2372,2563,picker-2
199,1740,2305,2572,picker-1
283,2400,2426,2591,picker-2
222,1980,2446,2596,picker-3
242,2100,2365,2618,picker-1
253,2220,2438,2624,picker-1
212,1860,2371,2630,picker-1
287,2460,2482,2634,picker-3
246,2160,2384,2637,picker-2
286,2460,2518,2651,picker-2
281,2400,2508,2656,picker-1
280,2400,2506,2657,picker-2
205,1740,2513,2660,picker-3
226,1980,2366,2663,picker-2
285,2460,2534,2666,picker-3
294,2520,2529,2667,picker-1
265,2340,2573,2673,picker-1
198,1740,2452,2674,picker-3
296,2520,2564,2674,picker-2
307,2580,2592,2686,picker-2
297,2520,2597,2710,picker-3
299,2520,2619,2741,picker-1
33,540,2625,2747,picker-1
204,1740,2546,2758,picker-3
268,2340,2657,2767,picker-1
311,2640,2658,2774,picker-2
290,2460,2631,2775,picker-1
196,1740,2638,2780,picker-2
145,1260,2652,2791,picker-2
292,2520,2668,2795,picker-1
-81,0,2674,2817,picker-1
326,2700,2711,2864,picker-3
322,2700,2742,2868,picker-1
278,2400,2748,2874,picker-1
99,900,2768,2905,picker-1
216,1920,2781,2929,picker-2
336,2760,2775,2929,picker-2
240,2100,2664,2956,picker-2
328,2760,2792,2974,picker-2
154,1380,2675,2979,picker-2
325,2700,2869,3020,picker-1
305,2580,2759,3022,picker-3
291,2520,2661,3028,picker-3
166,1500,2796,3033,picker-1
203,1740,2818,3033,picker-1
339,2820,2865,3034,picker-3
241,2100,2776,3039,picker-1
341,2820,2875,3044,picker-1
345,2820,2930,3048,picker-2
314,2640,2687,3054,picker-2
255,2220,2906,3060,picker-1
342,2820,2930,3060,picker-2
356,2880,2957,3077,picker-2
361,2940,2975,3083,picker-2
364,2940,2980,3089,picker-2
373,3000,3021,3097,picker-1
375,3000,3023,3120,picker-3
282,2400,2667,3126,picker-3
323,2700,3040,3133,picker-1
269,2340,2675,3139,picker-3
301,2520,3034,3142,picker-1
371,3000,3034,3151,picker-1
225,1980,3045,3162,picker-1
363,2940,3061,3172,picker-1
368,3000,3049,3175,picker-2
354,2880,3061,3193,picker-2
329,2760,3029,3200,picker-3
317,2700,3078,3204,picker-2
378,3060,3084,3204,picker-2
103,960,2635,3220,picker-3
358,2880,3035,3220,picker-3
333,2760,3127,3252,picker-3
372,3000,3140,3264,picker-3
62,660,3090,3268,picker-2
388,3120,3134,3269,picker-1
382,3060,3121,3270,picker-3
391,3180,3221,3305,picker-3
369,3000,3176,3314,picker-2
401,3240,3253,3324,picker-3
396,3180,3205,3352,picker-2
390,3180,3194,3358,picker-2
346,2820,3152,3359,picker-1
381,3060,3205,3371,picker-2
289,2460,3143,3376,picker-1
244,2100,3163,3382,picker-1
274,2340,3098,3392,picker-1
406,3240,3315,3403,picker-2
357,2880,3173,3403,picker-1
402,3240,3269,3409,picker-2
411,3300,3306,3412,picker-3
138,1200,3055,3415,picker-2
298,2520,3221,3418,picker-3
389,3180,3372,3468,picker-2
384,3120,3270,3468,picker-1
353,2880,3353,3473,picker-2
366,2940,3359,3479,picker-2
