order_id,order_arrival,process_start_time,order_complete_time,station_id
-93,0,1,49,picker-2
-100,0,1,65,picker-2
-94,0,1,78,picker-2
-95,0,1,83,picker-1
-23,0,1,83,picker-1
-19,0,1,83,picker-1
-97,0,1,89,picker-2
-96,0,1,89,picker-2
-98,0,1,95,picker-2
-56,0,1,96,picker-1
-43,0,84,96,picker-1
-58,0,1,106,picker-1
-5,0,1,115,picker-1
-75,0,97,115,picker-1
-13,0,66,120,picker-2
-46,0,90,155,picker-2
-1,0,50,160,picker-2
-82,0,96,166,picker-2
-6,0,84,183,picker-1
-90,0,84,183,picker-1
-26,0,184,193,picker-1
-24,0,79,195,picker-2
-52,0,90,195,picker-2
-72,0,121,206,picker-2
-20,0,196,206,picker-2
-66,0,97,210,picker-1
-60,0,116,210,picker-1
-30,0,156,211,picker-2
-67,0,107,216,picker-1
-34,0,116,230,picker-1
-9,0,184,249,picker-1
-40,0,1,253,picker-3
-53,0,1,267,picker-3
-36,0,194,272,picker-1
-49,0,167,273,picker-2
-15,0,161,297,picker-2
-63,0,196,303,picker-2
-87,0,212,315,picker-2
-70,0,211,321,picker-1
-16,0,207,324,picker-2
-84,0,207,324,picker-2
-4,0,231,329,picker-1
-81,0,250,336,picker-1
-21,0,217,344,picker-1
-22,0,211,354,picker-1
-39,0,273,367,picker-1
-64,0,274,371,picker-2
-41,0,1,374,picker-3
-8,0,298,401,picker-2
-32,0,1,412,picker-3
-33,0,1,412,picker-3
-33,0,1,412,picker-3
-33,0,1,412,picker-3
-33,0,1,412,picker-3
-33,0,1,412,picker-3
-69,0,304,421,picker-2
-92,0,1,428,picker-3
-86,0,254,439,picker-3
-28,0,268,448,picker-3
-91,0,325,458,picker-2
-61,0,322,459,picker-1
-17,0,316,464,picker-2
-65,0,325,477,picker-2
-48,0,337,496,picker-1
-11,0,345,506,picker-1
-89,0,372,519,picker-2
15,420,422,556,picker-2
18,420,440,561,picker-3
-12,0,429,566,picker-3
-35,0,413,580,picker-3
5,360,368,583,picker-1
4,360,375,588,picker-3
-79,0,355,591,picker-1
-80,0,449,600,picker-3
-29,0,413,611,picker-3
-27,0,465,611,picker-2
-59,0,460,623,picker-1
-88,0,459,624,picker-2
20,420,557,660,picker-2
-68,0,497,665,picker-1
-31,0,478,666,picker-2
28,540,562,671,picker-3
6,360,507,678,picker-1
37,540,581,704,picker-3
-71,0,589,711,picker-3
46,600,601,717,picker-3
24,480,584,719,picker-1
-55,0,567,723,picker-3
22,480,592,726,picker-1
27,480,520,735,picker-2
-14,0,612,755,picker-3
14,420,612,756,picker-2
42,600,624,761,picker-1
-18,0,667,793,picker-2
-78,0,625,807,picker-2
-50,0,679,815,picker-1
47,660,718,823,picker-3
9,360,661,832,picker-2
33,540,666,832,picker-1
61,660,672,833,picker-3
64,720,756,839,picker-3
57,660,720,845,picker-1
-2,0,705,852,picker-3
-47,0,736,853,picker-2
19,420,762,854,picker-1
58,660,724,858,picker-3
26,480,712,864,picker-3
62,660,816,865,picker-1
-44,0,757,876,picker-2
60,660,794,890,picker-2
59,660,824,890,picker-3
82,780,808,901,picker-2
91,840,840,912,picker-3
10,360,846,920,picker-1
75,720,853,931,picker-3
54,660,833,937,picker-2
41,600,854,947,picker-2
-76,0,833,957,picker-1
52,660,859,959,picker-3
55,660,865,967,picker-3
69,720,855,968,picker-1
78,780,891,994,picker-3
