order_id,order_arrival,process_start_time,order_complete_time,station_id
-93,0,1,63,picker-2
-100,0,1,74,picker-2
-94,0,1,81,picker-2
-98,0,1,92,picker-2
-95,0,1,92,picker-1
-23,0,1,92,picker-1
-19,0,1,92,picker-1
-24,0,1,100,picker-3
-52,0,1,100,picker-3
-97,0,1,102,picker-2
-96,0,1,102,picker-2
-56,0,1,105,picker-1
-43,0,93,105,picker-1
-67,0,1,110,picker-3
-14,0,1,110,picker-3
-5,0,1,111,picker-1
-69,0,1,115,picker-3
-58,0,1,120,picker-1
-68,0,1,125,picker-3
-21,0,101,125,picker-3
-1,0,64,139,picker-2
-4,0,111,152,picker-3
-36,0,93,153,picker-2
-20,0,103,153,picker-2
-86,0,75,159,picker-2
-49,0,101,161,picker-3
-30,0,111,161,picker-3
-28,0,106,168,picker-1
-80,0,82,175,picker-2
-39,0,116,184,picker-3
-40,0,121,188,picker-1
-32,0,126,194,picker-3
-22,0,103,194,picker-2
-75,0,93,202,picker-1
-90,0,93,202,picker-1
-13,0,106,202,picker-1
-70,0,112,211,picker-1
-10,0,126,226,picker-3
-65,0,162,243,picker-3
-59,0,160,244,picker-2
-16,0,154,254,picker-2
-89,0,162,255,picker-3
-63,0,140,260,picker-2
-15,0,189,269,picker-1
-79,0,154,269,picker-2
-88,0,185,276,picker-3
-33,0,169,276,picker-1
-26,0,176,279,picker-2
-17,0,153,284,picker-3
-9,0,195,285,picker-2
-72,0,195,296,picker-3
-3,0,203,314,picker-1
-71,0,212,323,picker-1
-38,0,203,333,picker-1
-44,0,203,339,picker-1
-27,0,227,342,picker-3
-76,0,255,362,picker-2
-46,0,270,374,picker-2
-6,0,270,375,picker-1
-12,0,245,380,picker-2
-64,0,277,385,picker-3
-54,0,261,390,picker-2
-55,0,256,402,picker-3
-18,0,277,409,picker-1
-91,0,286,429,picker-2
-82,0,280,435,picker-2
-60,0,297,445,picker-3
-8,0,285,451,picker-3
-47,0,315,452,picker-1
-35,0,340,470,picker-1
-53,0,343,481,picker-3
0,360,363,488,picker-2
-25,0,334,495,picker-1
5,360,376,523,picker-1
-37,0,375,527,picker-2
10,360,386,529,picker-3
-85,0,381,546,picker-2
-42,0,391,565,picker-2
20,420,430,571,picker-2
14,420,436,577,picker-2
15,420,453,592,picker-1
18,420,452,606,picker-3
8,360,489,607,picker-2
4,360,471,614,picker-1
-11,0,403,616,picker-3
-29,0,410,619,picker-1
24,480,482,621,picker-3
27,480,496,641,picker-1
22,480,524,647,picker-1
-81,0,530,672,picker-3
26,480,578,685,picker-2
42,600,608,691,picker-2
25,480,528,700,picker-2
28,540,593,700,picker-1
-2,0,566,706,picker-2
-31,0,572,712,picker-2
