order_id,order_arrival,process_start_time,order_complete_time,station_id
-94,0,1,60,picker-1
-93,0,1,76,picker-1
-95,0,1,77,picker-3
-23,0,1,77,picker-3
-19,0,1,77,picker-3
-100,0,1,88,picker-1
-5,0,1,93,picker-3
-97,0,1,97,picker-1
-96,0,1,97,picker-1
-98,0,1,103,picker-1
-58,0,1,106,picker-3
-56,0,1,106,picker-3
-43,0,78,106,picker-3
-1,0,61,136,picker-1
-13,0,89,147,picker-1
-46,0,104,173,picker-1
-6,0,78,184,picker-3
-90,0,78,184,picker-3
-18,0,107,184,picker-3
-82,0,98,184,picker-1
-66,0,94,189,picker-3
-28,0,185,199,picker-3
-24,0,77,202,picker-1
-72,0,98,202,picker-1
-54,0,107,209,picker-3
-52,0,137,216,picker-1
-99,0,107,222,picker-3
-30,0,174,242,picker-1
-2,0,148,248,picker-1
-16,0,185,271,picker-3
-12,0,185,271,picker-3
-49,0,185,277,picker-1
-60,0,200,277,picker-3
-73,0,210,283,picker-3
-26,0,190,289,picker-3
-20,0,217,289,picker-1
-89,0,243,295,picker-1
-51,0,203,309,picker-1
-61,0,203,309,picker-1
-8,0,223,322,picker-3
-64,0,272,322,picker-3
-70,0,278,346,picker-1
-57,0,272,349,picker-3
-15,0,249,360,picker-1
-36,0,290,376,picker-1
-40,0,1,387,picker-2
-63,0,1,387,picker-2
-25,0,278,402,picker-3
-53,0,1,410,picker-2
-32,0,1,410,picker-2
-38,0,284,415,picker-3
-48,0,290,438,picker-3
-21,0,296,441,picker-1
-4,0,347,447,picker-1
-86,0,323,449,picker-3
-81,0,310,452,picker-1
-22,0,310,458,picker-1
-80,0,350,470,picker-3
-39,0,361,493,picker-1
-11,0,323,499,picker-3
3,360,377,502,picker-1
5,360,403,518,picker-3
-92,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
-33,0,1,524,picker-2
20,420,442,546,picker-1
19,420,450,551,picker-3
14,420,448,552,picker-1
-75,0,416,571,picker-3
-85,0,411,572,picker-2
-42,0,411,580,picker-2
-67,0,439,581,picker-3
-37,0,388,592,picker-2
-65,0,494,613,picker-1
27,480,500,628,picker-3
-84,0,453,629,picker-1
24,480,503,635,picker-1
13,420,459,650,picker-1
-50,0,471,653,picker-3
-88,0,519,659,picker-3
-27,0,552,672,picker-3
22,480,547,673,picker-1
0,360,525,673,picker-2
8,360,525,673,picker-2
12,420,573,679,picker-2
-31,0,553,683,picker-1
33,540,572,705,picker-3
26,480,629,713,picker-3
4,360,614,716,picker-1
34,540,582,736,picker-3
-17,0,636,747,picker-1
47,660,660,763,picker-3
39,540,651,769,picker-1
-9,0,654,785,picker-3
45,600,680,786,picker-2
15,420,630,787,picker-1
60,660,706,794,picker-3
43,600,674,797,picker-2
59,660,714,803,picker-3
9,360,593,807,picker-2
44,600,674,807,picker-2
54,660,673,809,picker-3
21,480,674,809,picker-1
57,660,684,815,picker-1
18,420,717,821,picker-1
74,720,748,832,picker-1
48,660,737,843,picker-3
53,660,764,873,picker-3
75,720,804,879,picker-3
78,780,798,884,picker-2
28,540,770,885,picker-1
-87,0,795,885,picker-3
82,780,786,901,picker-3
76,780,787,914,picker-2
-3,0,808,923,picker-2
64,720,810,930,picker-1
51,660,808,934,picker-2
-55,0,810,945,picker-3
17,420,816,968,picker-1
46,600,886,976,picker-3
35,540,833,986,picker-1
23,480,886,992,picker-1
61,660,844,993,picker-3
52,660,880,999,picker-3
87,840,885,1000,picker-2
98,900,902,1005,picker-3
