pod_id,item_id,qty,order_id,processed_time,task_type
193,517,3,-54,97,1
193,517,4,-67,97,1
193,517,5,-50,97,1
193,517,7,-17,97,1
150,445,8,-58,104,1
150,472,6,-52,104,1
149,437,4,-95,105,1
149,437,4,-92,105,1
149,437,6,-24,105,1
149,509,10,-13,105,1
213,481,10,-22,118,1
213,481,10,-7,118,1
213,481,11,-47,118,1
322,774,10,-52,127,1
154,475,10,-22,140,1
323,727,8,-95,143,1
323,727,10,-89,143,1
202,470,4,-50,144,1
202,462,12,-50,144,1
202,512,6,-50,144,1
334,742,12,-52,145,1
83,405,3,-1,147,1
83,420,2,-35,147,1
83,417,8,-45,147,1
83,423,10,-26,147,1
83,413,8,-34,147,1
83,515,8,-80,147,1
321,801,8,-52,152,1
211,485,11,-50,168,1
57,408,6,-68,176,1
57,416,5,-18,176,1
157,519,6,-26,182,1
157,469,10,-80,182,1
114,502,8,-95,202,1
114,428,10,-13,202,1
114,495,10,-13,202,1
208,488,8,-88,203,1
208,477,2,-39,203,1
208,477,6,-44,203,1
74,424,10,-99,204,1
91,452,2,-99,219,1
91,452,4,-87,219,1
198,457,8,-82,246,1
339,656,6,-45,246,1
187,482,7,-44,249,1
