pod_id,used_slots,total_slots,empty_slots,total_boxes,total_items,total_weight,num_classes,classes
0,17,17,0,26,247,88.44000000000004,1,4
1,17,17,0,30,290,82.58000000000004,1,4
2,17,17,0,28,226,76.78000000000004,1,4
3,17,17,0,31,334,109.87000000000003,1,4
4,17,17,0,31,394,118.48000000000002,1,4
5,17,17,0,29,334,121.48000000000003,1,4
6,17,17,0,25,84,98.89000000000004,1,4
7,17,17,0,28,178,109.69000000000005,1,4
8,17,17,0,27,154,69.67000000000003,1,4
9,17,17,0,25,86,81.81000000000004,1,4
10,17,17,0,26,136,120.09000000000006,1,4
11,17,17,0,45,712,259.11,1,4
12,17,17,0,41,616,206.35000000000002,1,4
13,17,17,0,35,496,143.86000000000004,1,4
14,17,17,0,30,334,99.67000000000006,1,4
15,17,17,0,25,225,89.86000000000003,2,1|4
16,17,17,0,32,147,77.74000000000005,2,1|4
17,17,17,0,29,147,134.83200000000005,2,1|4
18,17,17,0,25,77,53.66199999999999,2,1|4
19,17,17,0,25,259,43.695999999999984,2,1|4
20,17,17,0,20,219,93.98000000000002,2,1|4
21,17,17,0,17,149,41.70600000000001,1,1
22,17,17,0,17,210,63.56099999999999,1,1
23,17,17,0,18,255,96.848,1,1
24,17,17,0,17,244,72.886,1,1
25,17,17,0,17,221,69.30000000000001,1,1
26,17,17,0,17,174,80.53099999999999,1,1
27,17,17,0,17,260,59.864999999999995,1,1
28,17,17,0,17,251,80.11,1,1
29,17,17,0,17,303,56.891999999999996,1,1
30,17,17,0,17,198,54.78599999999999,1,1
31,17,17,0,17,188,69.92,1,1
32,17,17,0,20,210,77.85200000000002,1,1
33,17,17,0,43,216,64.85799999999998,1,1
34,17,17,0,28,93,93.61600000000004,2,3|4
35,17,17,0,27,96,69.72000000000003,2,3|4
36,17,17,0,25,114,64.068,2,3|4
37,17,17,0,28,159,64.33,2,3|4
38,17,17,0,29,151,76.37800000000006,2,3|4
39,17,17,0,29,186,44.90399999999999,2,3|4
40,17,17,0,29,154,57.04999999999998,2,3|4
41,17,17,0,29,191,64.53399999999999,2,3|4
42,17,17,0,29,122,51.93999999999999,2,3|4
43,17,17,0,27,192,95.88000000000005,2,3|4
44,17,17,0,25,120,57.603999999999985,2,3|4
