pod_id,pod_type,slot_id,slot_type,item,unusedColumn1,unusedColumn2,unusedColumn3,qty,max_qty,due_date,facing,pick_ind,slot_sequence,item_weight,total_item_weight,item_pod_inventory_level,item_warehouse_inventory_level
0,0,0,0,242,0,0,0,75,75,99999,0,0,0,0.2,15.0,0.6,0.5
0,0,1,0,3,0,0,0,432,432,99999,0,0,1,0.181,78.192,0.6,0.5
0,0,2,0,224,0,0,0,60,60,99999,0,0,2,0.2,12.0,0.6,0.5
0,0,3,0,332,0,0,0,48,48,99999,0,0,3,0.748,35.904,0.6,0.5
0,0,4,0,244,0,0,0,4,4,99999,0,0,4,1.0,4.0,0.6,0.5
0,0,5,0,343,0,0,0,96,96,99999,0,0,5,1.157,111.072,0.6,0.5
0,0,6,0,346,0,0,0,5,5,99999,0,0,6,7.01,35.05,0.6,0.5
0,0,7,0,299,0,0,0,60,60,99999,0,0,7,0.1,6.0,0.6,0.5
0,0,8,0,300,0,0,0,60,60,99999,0,0,8,0.1,6.0,0.6,0.5
0,0,9,0,237,0,0,0,100,100,99999,0,0,9,0.13,13.0,0.6,0.5
1,0,0,0,332,0,0,0,48,48,99999,0,0,0,0.748,35.904,0.6,0.5
1,0,1,0,351,0,0,0,72,72,99999,0,0,1,1.093,78.696,0.6,0.5
1,0,2,0,318,0,0,0,24,24,99999,0,0,2,2.5,60.0,0.6,0.5
1,0,3,0,306,0,0,0,12,12,99999,0,0,3,2.0,24.0,0.6,0.5
1,0,4,0,327,0,0,0,24,24,99999,0,0,4,1.014,24.336,0.6,0.5
1,0,5,0,30,0,0,0,8,8,99999,0,0,5,4.12,32.96,0.6,0.5
1,0,6,0,18,0,0,0,192,192,99999,0,0,6,0.316,60.672,0.6,0.5
1,0,7,0,235,0,0,0,48,48,99999,0,0,7,0.072,3.456,0.6,0.5
1,0,8,0,55,0,0,0,48,48,99999,0,0,8,0.07,3.36,0.6,0.5
1,0,9,0,105,0,0,0,48,48,99999,0,0,9,0.822,39.456,0.6,0.5
2,0,0,0,263,0,0,0,24,24,99999,0,0,0,0.399,9.576,0.6,0.5
2,0,1,0,100,0,0,0,48,48,99999,0,0,1,0.699,33.552,0.6,0.5
2,0,2,0,272,0,0,0,48,48,99999,0,0,2,0.078,3.744,0.6,0.5
2,0,3,0,324,0,0,0,24,24,99999,0,0,3,2.005,48.12,0.6,0.5
2,0,4,0,198,0,0,0,144,144,99999,0,0,4,0.182,26.208,0.6,0.5
2,0,5,0,232,0,0,0,48,48,99999,0,0,5,0.167,8.016,0.6,0.5
2,0,6,0,276,0,0,0,576,576,99999,0,0,6,0.056,32.256,0.6,0.5
2,0,7,0,392,0,0,0,4,4,99999,0,0,7,2.28,9.12,0.6,0.5
2,0,8,0,256,0,0,0,192,192,99999,0,0,8,0.321,61.632,0.6,0.5
2,0,9,0,345,0,0,0,192,192,99999,0,0,9,0.358,68.736,0.6,0.5
3,0,0,0,86,0,0,0,24,24,99999,0,0,0,0.765,18.36,0.6,0.5
3,0,1,0,241,0,0,0,48,48,99999,0,0,1,0.626,30.048,0.6,0.5
