tick,total_energy,job_queue_len,stop_and_go,total_turning,orders_finished,phase
0.15,0.0,34,0,0,0,baseline
0.3,0.7784999999999997,33,0,0,0,baseline
0.44999999999999996,18.875289658360114,32,0,1,0,baseline
0.6,21.989289658360114,31,0,1,0,baseline
0.75,43.20007931672022,30,0,2,0,baseline
0.9,97.11467314705268,29,0,3,0,baseline
1.05,121.43946280541283,28,0,4,0,baseline
1.2,147.32125246377294,27,0,5,0,baseline
1.3499999999999999,174.76004212213306,26,0,6,0,baseline
1.4999999999999998,202.19883178049318,25,0,7,0,baseline
1.6499999999999997,260.7844256108257,24,0,8,0,baseline
1.7999999999999996,288.22321526918574,23,0,9,0,baseline
1.9499999999999995,1427.350164927546,22,1,10,0,baseline
2.0999999999999996,1450.8964545859062,21,1,11,0,baseline
2.2499999999999996,1474.4427442442664,20,1,12,0,baseline
2.3999999999999995,1497.9890339026265,19,1,13,0,baseline
2.5499999999999994,1522.3138235609865,18,1,14,0,baseline
2.6999999999999993,1533.2128235609866,17,1,14,0,baseline
2.849999999999999,1547.2258235609866,16,1,14,0,baseline
2.999999999999999,1612.817917391319,15,1,15,0,baseline
3.149999999999999,1647.263207049679,15,2,16,0,baseline
3.299999999999999,1686.379496708039,15,2,17,0,baseline
3.449999999999999,1715.183996708039,15,2,17,0,baseline
3.5999999999999988,1744.7669967080392,15,3,17,0,baseline
3.7499999999999987,1798.4378966013992,15,3,18,0,baseline
3.8999999999999986,1843.895617071399,15,3,18,0,baseline
4.049999999999999,1896.122947776399,15,4,18,0,baseline
4.199999999999999,1969.3241783747594,15,6,19,0,baseline
4.35,2065.8348088664798,15,7,21,0,baseline
4.5,2158.0247599348395,15,7,22,0,baseline
4.65,2233.9118111098396,15,7,22,0,baseline
4.800000000000001,2309.25725204984,15,7,22,0,baseline
4.950000000000001,2394.4863032248395,15,7,22,0,baseline
5.100000000000001,2458.32330322484,15,8,22,0,baseline
5.250000000000002,2639.1339382382184,15,8,23,0,baseline
5.400000000000002,2704.527938238218,15,10,23,0,baseline
5.5500000000000025,2808.4510175549385,15,10,25,0,baseline
5.700000000000003,2880.8515175549387,15,10,25,0,baseline
5.850000000000003,2947.8025175549387,15,11,25,0,baseline
6.0000000000000036,3017.0890175549384,15,11,25,0,baseline
6.150000000000004,3090.268017554939,15,11,25,0,baseline
6.300000000000004,3166.5610175549386,15,11,25,0,baseline
6.450000000000005,3247.525017554938,15,11,25,0,baseline
6.600000000000005,3326.9320175549383,15,12,25,0,baseline
6.750000000000005,3423.6573072132987,15,12,26,0,baseline
6.900000000000006,3503.8428072132983,15,13,26,0,baseline
7.050000000000006,3601.1097071066583,15,14,27,0,baseline
7.200000000000006,3708.260217235019,15,14,28,0,baseline
7.350000000000007,3802.526547940018,15,15,28,0,baseline
7.500000000000007,4541.889468880019,15,16,28,0,baseline
7.6500000000000075,4656.11430971338,15,17,29,0,baseline
7.800000000000008,4770.88076078174,15,18,30,0,baseline
7.950000000000008,4893.1953220851,15,18,31,0,baseline
8.100000000000009,5003.4042039651,15,18,31,0,baseline
8.250000000000009,5114.154696080099,15,18,31,0,baseline
8.40000000000001,5220.7757984301,15,20,31,0,baseline
8.55000000000001,5333.81619043846,15,23,32,0,baseline
8.70000000000001,5476.822161763539,15,24,35,0,baseline
8.85000000000001,5587.527053771899,15,24,36,0,baseline
9.00000000000001,5681.6921561219,15,24,36,0,baseline
9.150000000000011,5769.087648236899,15,26,36,0,baseline
9.300000000000011,5948.970100891893,15,26,38,0,baseline
9.450000000000012,6037.922593006892,15,26,38,0,baseline
9.600000000000012,6120.883974886891,15,27,38,0,baseline
9.750000000000012,7000.414626531892,15,28,38,0,baseline
9.900000000000013,7094.161577600253,15,28,39,0,baseline
10.050000000000013,7178.916849245254,15,28,39,0,baseline
10.200000000000014,7260.795010655253,15,28,39,0,baseline
10.350000000000014,7341.353061830253,15,28,39,0,baseline
10.500000000000014,7418.255502770255,15,29,39,0,baseline
10.650000000000015,7496.296792428613,15,30,40,0,baseline
10.800000000000015,7672.436427441991,15,30,41,0,baseline
10.950000000000015,7732.380927441991,15,33,41,0,baseline
11.100000000000016,8698.306423896993,15,33,41,0,baseline
11.250000000000016,8775.030136806992,15,33,41,0,baseline
11.400000000000016,8858.975706171992,15,33,41,0,baseline
11.550000000000017,9033.432744071712,15,33,42,0,baseline
11.700000000000017,9134.157526346711,15,33,42,0,baseline
11.850000000000017,9241.32566507671,15,33,42,0,baseline
12.000000000000018,9344.385947351711,15,33,42,0,baseline
12.150000000000018,9442.559873171711,15,33,42,0,baseline
12.300000000000018,9541.727655446713,15,34,42,0,baseline
12.450000000000019,9621.134655446713,15,36,42,0,baseline
12.60000000000002,10679.891266328344,15,36,43,0,baseline
12.75000000000002,10768.166486798344,15,36,43,0,baseline
12.90000000000002,10867.550357318343,15,36,43,0,baseline
13.05000000000002,10968.700877888343,15,38,43,0,baseline
13.20000000000002,12819.070848508345,15,39,43,0,baseline
13.350000000000021,12955.150403066706,15,40,44,0,baseline
13.500000000000021,14322.118782246705,15,41,44,0,baseline
13.650000000000022,14482.101525365066,15,41,45,0,baseline
13.800000000000022,14632.71049347506,15,41,45,0,baseline
13.950000000000022,14789.706976235067,15,41,45,0,baseline
14.100000000000023,14945.894332805068,15,41,45,0,baseline
14.250000000000023,15064.988935835067,15,43,45,0,baseline
14.400000000000023,15566.035130893479,15,43,48,0,baseline
14.550000000000024,15689.452946833477,15,43,48,0,baseline
14.700000000000024,15784.97478784348,15,45,48,0,baseline
14.850000000000025,15972.21477681156,15,46,50,0,baseline
15.000000000000025,16800.977757956513,15,46,51,0,baseline
15.150000000000025,16903.841523476513,15,46,51,0,baseline
15.300000000000026,17123.98594897959,15,47,52,0,baseline
15.450000000000026,17216.66802103795,15,49,53,0,baseline
15.600000000000026,17426.26531725469,15,50,55,0,baseline
15.750000000000027,18436.486917944687,15,50,55,0,baseline
15.900000000000027,18520.571145944687,15,51,55,0,baseline
16.050000000000026,18616.79793091305,15,51,56,0,baseline
16.200000000000024,18707.556698728047,15,51,56,0,baseline
16.350000000000023,18778.33284290805,15,53,56,0,baseline
16.50000000000002,18945.09802596695,15,53,57,0,baseline
16.65000000000002,19029.287694006947,15,53,57,0,baseline
16.80000000000002,19279.307018645683,15,54,58,0,baseline
16.950000000000017,19386.07723152404,15,54,59,0,baseline
17.100000000000016,19486.19079787904,15,54,59,0,baseline
17.250000000000014,19600.080007369044,15,54,59,0,baseline
17.400000000000013,19731.05268313904,15,56,59,0,baseline
17.55000000000001,21109.699558516786,15,56,61,0,baseline
17.70000000000001,21277.125644701788,15,56,61,0,baseline
17.85000000000001,21463.57388793178,15,56,61,0,baseline
18.000000000000007,21647.666187751787,15,57,61,0,baseline
18.150000000000006,21907.162086398414,15,57,62,0,baseline
18.300000000000004,22117.93672635842,15,57,62,0,baseline
18.450000000000003,22316.554575008417,15,58,62,0,baseline
18.6,22642.182504166496,15,58,63,0,baseline
18.75,22852.0526516865,15,58,63,0,baseline
18.9,23071.471475386497,15,58,63,0,baseline
19.049999999999997,23275.7583143265,15,59,63,0,baseline
19.199999999999996,23576.57020003806,15,59,64,0,baseline
19.349999999999994,23903.476378692685,15,59,65,0,baseline
19.499999999999993,24123.587553582678,15,60,65,0,baseline
19.64999999999999,24354.86178010268,15,60,65,0,baseline
19.79999999999999,24585.116825562684,15,61,65,0,baseline
