sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,assigned_station,assigned_pod,status,order_processed,order_finished
1,-100,1,0,4,0,picker-3,,1,0.0,134.0
2,-99,1,38,9,0,picker-3,,1,,211.0
3,-98,1,95,10,0,picker-2,,1,,3118.0
4,-98,1,36,8,0,picker-2,,1,,3163.0
5,-97,1,143,7,0,picker-1,,1,0.0,191.0
6,-97,1,266,9,0,picker-1,,1,0.0,307.0
7,-96,1,272,8,0,picker-1,,1,0.0,148.0
8,-95,1,2,10,0,picker-1,,1,,778.0
9,-94,1,57,8,0,picker-2,,1,,2545.0
10,-94,1,8,7,0,picker-2,,1,,2510.0
11,-93,1,4,8,0,picker-2,,1,0.0,523.0
12,-93,1,1,11,0,picker-2,,1,0.0,187.0
13,-93,1,16,6,0,picker-2,,1,0.0,490.0
14,-93,1,48,8,0,picker-2,,1,0.0,297.0
15,-93,1,47,8,0,picker-2,,1,0.0,187.0
16,-93,1,91,8,0,picker-2,,1,0.0,490.0
17,-93,1,313,8,0,picker-2,,1,0.0,349.0
18,-93,1,105,4,0,picker-2,,1,0.0,503.0
19,-92,1,140,11,0,picker-1,,1,,6242.0
20,-91,1,96,10,0,picker-1,,1,,2271.0
21,-91,1,22,10,0,picker-1,,1,,2224.0
22,-90,1,5,12,0,picker-3,,1,,711.0
23,-89,1,36,8,0,picker-2,,1,,1020.0
24,-88,1,332,6,0,picker-2,,1,0.0,378.0
25,-88,1,1,7,0,picker-2,,1,0.0,187.0
26,-88,1,426,1,0,picker-2,,1,0.0,349.0
27,-88,1,21,6,0,picker-2,,1,0.0,297.0
28,-88,1,96,8,0,picker-2,,1,0.0,250.0
29,-88,1,470,4,0,picker-2,,1,0.0,215.0
30,-88,1,5,4,0,picker-2,,1,0.0,454.0
31,-87,1,281,4,0,picker-1,,1,0.0,171.0
32,-86,1,1,2,0,picker-2,,1,0.0,187.0
33,-86,1,128,5,0,picker-2,,1,0.0,523.0
34,-85,1,22,8,0,picker-1,,1,,1299.0
35,-85,1,150,10,0,picker-1,,1,,1267.0
36,-85,1,170,2,0,picker-1,,1,,1276.0
37,-84,1,28,10,0,picker-2,,1,,1621.0
38,-83,1,139,5,0,,,-3,,
39,-83,1,28,10,0,,,-3,,
40,-83,1,310,8,0,,,-3,,
41,-83,1,6,4,0,,,-3,,
42,-83,1,40,6,0,,,-3,,
43,-83,1,43,6,0,,,-3,,
44,-83,1,34,10,0,,,-3,,
45,-83,1,54,9,0,,,-3,,
46,-83,1,15,4,0,,,-3,,
47,-82,1,397,10,0,picker-1,,1,0.0,103.0
48,-82,1,31,6,0,picker-1,,1,0.0,103.0
49,-81,1,110,5,0,picker-1,,1,0.0,117.0
50,-80,1,18,4,0,picker-1,,1,0.0,148.0
51,-79,1,7,7,0,,,-3,,
52,-79,1,346,4,0,,,-3,,
53,-79,1,13,10,0,,,-3,,
54,-79,1,36,10,0,,,-3,,
55,-78,1,63,6,0,picker-1,,1,0.0,65.0
56,-77,1,326,9,0,picker-1,,1,0.0,49.0
57,-77,1,303,4,0,picker-1,,1,0.0,171.0
58,-77,1,496,6,0,picker-1,,1,0.0,208.0
59,-76,1,12,2,0,picker-1,,1,,609.0
60,-75,1,144,3,0,picker-2,,1,,588.0
61,-74,1,6,8,0,picker-2,,1,,610.0
62,-73,1,206,6,0,picker-2,,1,,1773.0
63,-72,1,477,8,0,picker-2,,1,,4496.0
64,-72,1,61,1,0,picker-2,,1,,4474.0
65,-71,1,30,8,0,picker-1,,1,,400.0
66,-70,1,321,3,0,picker-3,,1,,740.0
67,-70,1,13,3,0,picker-3,,1,,757.0
68,-70,1,47,2,0,picker-3,,1,,719.0
69,-69,1,19,4,0,picker-1,,1,,731.0
70,-68,1,0,12,0,picker-3,,1,0.0,309.0
71,-67,1,140,6,0,picker-1,,1,,5894.0
72,-66,1,76,10,0,picker-2,,1,,1123.0
73,-66,1,6,10,0,picker-2,,1,,1096.0
74,-65,1,21,7,0,picker-3,,1,,2488.0
75,-65,1,254,6,0,picker-3,,1,,2488.0
76,-65,1,12,6,0,picker-3,,1,,2454.0
77,-65,1,11,3,0,picker-3,,1,,2454.0
78,-64,1,84,9,0,,,-3,,
79,-64,1,44,11,0,,,-3,,
80,-64,1,187,6,0,,,-3,,
81,-64,1,0,3,0,,,-3,,
82,-64,1,454,5,0,,,-3,,
83,-63,1,36,10,0,picker-3,,1,,309.0
84,-63,1,350,12,0,picker-3,,1,,186.0
85,-63,1,267,6,0,picker-3,,1,,229.0
86,-63,1,3,10,0,picker-3,,1,,309.0
87,-63,1,45,10,0,picker-3,,1,,186.0
88,-62,1,15,4,0,picker-1,,1,,807.0
89,-61,1,144,2,0,picker-2,,1,,670.0
90,-60,1,432,3,0,picker-1,,1,,411.0
91,-59,1,25,8,0,picker-3,,1,,559.0
92,-58,1,13,2,0,picker-1,,1,,217.0
93,-57,1,102,12,0,picker-1,,1,,12054.0
94,-57,1,353,7,0,picker-1,,1,,12041.0
95,-56,1,416,10,0,,,-3,,
96,-56,1,199,4,0,,,-3,,
97,-56,1,12,6,0,,,-3,,
98,-56,1,36,4,0,,,-3,,
99,-55,1,158,8,0,picker-2,,1,,3541.0
100,-54,1,6,10,0,picker-3,,1,,381.0
101,-54,1,9,8,0,picker-3,,1,,331.0
102,-53,1,38,5,0,,,-3,,
103,-53,1,20,4,0,,,-3,,
104,-53,1,88,9,0,,,-3,,
105,-52,1,22,4,0,picker-2,,1,0.0,311.0
106,-52,1,1,11,0,picker-2,,1,0.0,187.0
107,-52,1,44,7,0,picker-2,,1,0.0,454.0
108,-52,1,144,1,0,picker-2,,1,0.0,577.0
109,-52,1,466,6,0,picker-2,,1,0.0,250.0
