sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-100,1,0,4,0
1,-99,1,38,9,0
2,-98,1,95,10,0
3,-98,1,36,8,0
4,-97,1,143,7,0
5,-97,1,266,9,0
6,-96,1,272,8,0
7,-95,1,2,10,0
8,-94,1,57,8,0
9,-94,1,8,7,0
10,-93,1,4,8,0
11,-93,1,1,11,0
12,-93,1,16,6,0
13,-93,1,48,8,0
14,-93,1,47,8,0
15,-93,1,91,8,0
16,-93,1,313,8,0
17,-93,1,105,4,0
18,-92,1,140,11,0
19,-91,1,96,10,0
20,-91,1,22,10,0
21,-90,1,5,12,0
22,-89,1,36,8,0
23,-88,1,332,6,0
24,-88,1,1,7,0
25,-88,1,426,1,0
26,-88,1,21,6,0
27,-88,1,96,8,0
28,-88,1,470,4,0
29,-88,1,5,4,0
30,-87,1,281,4,0
31,-86,1,1,2,0
32,-86,1,128,5,0
33,-85,1,22,8,0
34,-85,1,150,10,0
35,-85,1,170,2,0
36,-84,1,28,10,0
37,-83,1,139,5,0
38,-83,1,28,10,0
39,-83,1,310,8,0
40,-83,1,6,4,0
41,-83,1,40,6,0
42,-83,1,43,6,0
43,-83,1,34,10,0
44,-83,1,54,9,0
45,-83,1,15,4,0
46,-82,1,397,10,0
47,-82,1,31,6,0
48,-81,1,110,5,0
49,-80,1,18,4,0
50,-79,1,7,7,0
51,-79,1,346,4,0
52,-79,1,13,10,0
53,-79,1,36,10,0
54,-78,1,63,6,0
55,-77,1,326,9,0
56,-77,1,303,4,0
57,-77,1,496,6,0
58,-76,1,12,2,0
59,-75,1,144,3,0
60,-74,1,6,8,0
61,-73,1,206,6,0
62,-72,1,477,8,0
63,-72,1,61,1,0
64,-71,1,30,8,0
65,-70,1,321,3,0
66,-70,1,13,3,0
67,-70,1,47,2,0
68,-69,1,19,4,0
69,-68,1,0,12,0
70,-67,1,140,6,0
71,-66,1,76,10,0
72,-66,1,6,10,0
73,-65,1,21,7,0
74,-65,1,254,6,0
75,-65,1,12,6,0
76,-65,1,11,3,0
77,-64,1,84,9,0
78,-64,1,44,11,0
79,-64,1,187,6,0
80,-64,1,0,3,0
81,-64,1,454,5,0
82,-63,1,36,10,0
83,-63,1,350,12,0
84,-63,1,267,6,0
85,-63,1,3,10,0
86,-63,1,45,10,0
87,-62,1,15,4,0
88,-61,1,144,2,0
89,-60,1,432,3,0
90,-59,1,25,8,0
91,-58,1,13,2,0
92,-57,1,102,12,0
93,-57,1,353,7,0
94,-56,1,416,10,0
95,-56,1,199,4,0
96,-56,1,12,6,0
97,-56,1,36,4,0
98,-55,1,158,8,0
99,-54,1,6,10,0
100,-54,1,9,8,0
101,-53,1,38,5,0
102,-53,1,20,4,0
103,-53,1,88,9,0
104,-52,1,22,4,0
105,-52,1,1,11,0
106,-52,1,44,7,0
107,-52,1,144,1,0
108,-52,1,466,6,0
109,-51,1,438,8,0
110,-50,1,186,8,0
111,-49,1,0,7,0
112,-48,1,17,8,0
113,-47,1,223,5,0
114,-46,1,10,5,0
115,-46,1,47,8,0
116,-46,1,5,9,0
117,-46,1,46,8,0
118,-46,1,44,4,0
119,-45,1,5,6,0
120,-45,1,413,9,0
121,-44,1,155,2,0
122,-43,1,317,9,0
123,-42,1,55,7,0
124,-41,1,89,9,0
125,-40,1,101,4,0
126,-39,1,12,4,0
127,-39,1,10,4,0
128,-38,1,40,8,0
129,-38,1,52,5,0
130,-37,1,6,7,0
131,-37,1,247,6,0
132,-36,1,41,6,0
133,-36,1,2,6,0
134,-36,1,173,4,0
135,-36,1,73,8,0
136,-36,1,37,11,0
137,-36,1,112,6,0
138,-36,1,40,4,0
139,-36,1,436,4,0
140,-35,1,9,4,0
141,-35,1,87,1,0
142,-35,1,113,6,0
143,-34,1,201,4,0
144,-33,1,8,8,0
145,-32,1,0,10,0
146,-31,1,57,7,0
147,-31,1,186,8,0
148,-31,1,177,11,0
149,-31,1,20,4,0
150,-31,1,30,6,0
151,-30,1,340,6,0
152,-30,1,81,10,0
153,-30,1,15,6,0
154,-30,1,112,9,0
155,-29,1,221,3,0
156,-29,1,207,1,0
157,-28,1,49,4,0
158,-27,1,1,5,0
159,-26,1,0,4,0
160,-26,1,3,4,0
161,-26,1,2,5,0
162,-25,1,147,1,0
163,-24,1,44,9,0
164,-23,1,427,3,0
165,-22,1,7,7,0
166,-21,1,7,8,0
167,-20,1,405,8,0
168,-19,1,5,9,0
169,-18,1,299,5,0
170,-17,1,2,5,0
171,-17,1,1,5,0
172,-16,1,456,6,0
173,-15,1,8,4,0
174,-15,1,428,8,0
175,-15,1,11,6,0
176,-14,1,0,7,0
177,-14,1,9,10,0
178,-14,1,1,4,0
179,-13,1,101,6,0
180,-12,1,61,5,0
181,-11,1,305,11,0
182,-10,1,3,6,0
183,-10,1,14,10,0
184,-9,1,16,3,0
185,-9,1,349,6,0
186,-9,1,47,9,0
187,-8,1,102,6,0
188,-8,1,50,7,0
189,-8,1,6,6,0
190,-7,1,35,8,0
191,-6,1,211,6,0
192,-5,1,332,3,0
193,-4,1,26,9,0
194,-3,1,290,6,0
195,-3,1,323,7,0
196,-3,1,389,2,0
197,-3,1,120,8,0
198,-3,1,322,6,0
199,-2,1,1,8,0
200,-2,1,79,7,0
201,-1,1,14,9,0
202,-1,1,103,8,0
