order_id,order_dum,order_type,item,qty,facing,due_date,station,pod_id,status,finish_time,date,time_gen
0,0,1,57,12,-1,99999,-1,-1,-3,-1,1,60
1,1,1,267,1,-1,99999,-1,-1,-3,-1,1,60
2,2,1,37,8,-1,99999,-1,-1,-3,-1,1,60
3,2,1,456,8,-1,99999,-1,-1,-3,-1,1,60
4,2,1,121,7,-1,99999,-1,-1,-3,-1,1,60
5,2,1,11,8,-1,99999,-1,-1,-3,-1,1,60
6,3,1,91,3,-1,99999,-1,-1,-3,-1,1,60
7,3,1,64,1,-1,99999,-1,-1,-3,-1,1,60
8,3,1,35,7,-1,99999,-1,-1,-3,-1,1,60
9,3,1,44,8,-1,99999,-1,-1,-3,-1,1,60
10,3,1,33,4,-1,99999,-1,-1,-3,-1,1,60
11,4,1,18,6,-1,99999,-1,-1,-3,-1,1,60
12,5,1,53,4,-1,99999,-1,-1,-3,-1,1,60
13,6,1,0,1,-1,99999,-1,-1,-3,-1,1,60
14,7,1,77,6,-1,99999,-1,-1,-3,-1,1,60
15,8,1,23,6,-1,99999,-1,-1,-3,-1,1,60
16,9,1,164,6,-1,99999,-1,-1,-3,-1,1,60
17,9,1,46,8,-1,99999,-1,-1,-3,-1,1,60
18,9,1,107,10,-1,99999,-1,-1,-3,-1,1,60
19,9,1,43,12,-1,99999,-1,-1,-3,-1,1,60
20,10,1,89,2,-1,99999,-1,-1,-3,-1,1,120
21,10,1,1,10,-1,99999,-1,-1,-3,-1,1,120
22,11,1,13,6,-1,99999,-1,-1,-3,-1,1,120
23,12,1,209,8,-1,99999,-1,-1,-3,-1,1,120
24,12,1,22,10,-1,99999,-1,-1,-3,-1,1,120
25,12,1,267,5,-1,99999,-1,-1,-3,-1,1,120
26,13,1,1,3,-1,99999,-1,-1,-3,-1,1,120
27,14,1,27,2,-1,99999,-1,-1,-3,-1,1,120
28,15,1,14,6,-1,99999,-1,-1,-3,-1,1,120
29,15,1,31,8,-1,99999,-1,-1,-3,-1,1,120
30,16,1,478,12,-1,99999,-1,-1,-3,-1,1,120
31,17,1,29,7,-1,99999,-1,-1,-3,-1,1,120
32,17,1,235,5,-1,99999,-1,-1,-3,-1,1,120
33,17,1,33,7,-1,99999,-1,-1,-3,-1,1,120
34,18,1,42,8,-1,99999,-1,-1,-3,-1,1,120
35,18,1,2,10,-1,99999,-1,-1,-3,-1,1,120
36,19,1,45,6,-1,99999,-1,-1,-3,-1,1,180
