sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,-100,1,0,4,0
2,-99,1,38,9,0
3,-98,1,95,10,0
4,-98,1,36,8,0
5,-97,1,143,7,0
6,-97,1,266,9,0
7,-96,1,272,8,0
8,-95,1,2,10,0
9,-94,1,57,8,0
10,-94,1,8,7,0
11,-93,1,4,8,0
12,-93,1,1,11,0
13,-93,1,16,6,0
14,-93,1,48,8,0
15,-93,1,47,8,0
16,-93,1,91,8,0
17,-93,1,313,8,0
18,-93,1,105,4,0
19,-92,1,140,11,0
20,-91,1,96,10,0
21,-91,1,22,10,0
22,-90,1,5,12,0
23,-89,1,36,8,0
24,-88,1,332,6,0
25,-88,1,1,7,0
26,-88,1,426,1,0
27,-88,1,21,6,0
28,-88,1,96,8,0
29,-88,1,470,4,0
30,-88,1,5,4,0
31,-87,1,281,4,0
32,-86,1,1,2,0
33,-86,1,128,5,0
34,-85,1,22,8,0
35,-85,1,150,10,0
36,-85,1,170,2,0
37,-84,1,28,10,0
38,-83,1,139,5,0
39,-83,1,28,10,0
40,-83,1,310,8,0
41,-83,1,6,4,0
42,-83,1,40,6,0
43,-83,1,43,6,0
44,-83,1,34,10,0
45,-83,1,54,9,0
46,-83,1,15,4,0
47,-82,1,397,10,0
48,-82,1,31,6,0
49,-81,1,110,5,0
50,-80,1,18,4,0
51,-79,1,7,7,0
52,-79,1,346,4,0
53,-79,1,13,10,0
54,-79,1,36,10,0
55,-78,1,63,6,0
56,-77,1,326,9,0
57,-77,1,303,4,0
58,-77,1,496,6,0
59,-76,1,12,2,0
60,-75,1,144,3,0
61,-74,1,6,8,0
62,-73,1,206,6,0
63,-72,1,477,8,0
64,-72,1,61,1,0
65,-71,1,30,8,0
66,-70,1,321,3,0
67,-70,1,13,3,0
68,-70,1,47,2,0
69,-69,1,19,4,0
70,-68,1,0,12,0
71,-67,1,140,6,0
72,-66,1,76,10,0
73,-66,1,6,10,0
74,-65,1,21,7,0
75,-65,1,254,6,0
76,-65,1,12,6,0
77,-65,1,11,3,0
78,-64,1,84,9,0
79,-64,1,44,11,0
80,-64,1,187,6,0
81,-64,1,0,3,0
82,-64,1,454,5,0
83,-63,1,36,10,0
84,-63,1,350,12,0
85,-63,1,267,6,0
86,-63,1,3,10,0
87,-63,1,45,10,0
88,-62,1,15,4,0
89,-61,1,144,2,0
90,-60,1,432,3,0
91,-59,1,25,8,0
92,-58,1,13,2,0
93,-57,1,102,12,0
94,-57,1,353,7,0
95,-56,1,416,10,0
96,-56,1,199,4,0
97,-56,1,12,6,0
98,-56,1,36,4,0
99,-55,1,158,8,0
100,-54,1,6,10,0
101,-54,1,9,8,0
102,-53,1,38,5,0
103,-53,1,20,4,0
104,-53,1,88,9,0
105,-52,1,22,4,0
106,-52,1,1,11,0
107,-52,1,44,7,0
108,-52,1,144,1,0
109,-52,1,466,6,0
110,-51,1,438,8,0
111,-50,1,186,8,0
112,-49,1,0,7,0
113,-48,1,17,8,0
114,-47,1,223,5,0
115,-46,1,10,5,0
116,-46,1,47,8,0
117,-46,1,5,9,0
118,-46,1,46,8,0
119,-46,1,44,4,0
120,-45,1,5,6,0
121,-45,1,413,9,0
122,-44,1,155,2,0
123,-43,1,317,9,0
124,-42,1,55,7,0
125,-41,1,89,9,0
126,-40,1,101,4,0
127,-39,1,12,4,0
128,-39,1,10,4,0
129,-38,1,40,8,0
130,-38,1,52,5,0
131,-37,1,6,7,0
132,-37,1,247,6,0
133,-36,1,41,6,0
134,-36,1,2,6,0
135,-36,1,173,4,0
136,-36,1,73,8,0
137,-36,1,37,11,0
138,-36,1,112,6,0
139,-36,1,40,4,0
140,-36,1,436,4,0
141,-35,1,9,4,0
142,-35,1,87,1,0
143,-35,1,113,6,0
144,-34,1,201,4,0
145,-33,1,8,8,0
146,-32,1,0,10,0
147,-31,1,57,7,0
148,-31,1,186,8,0
149,-31,1,177,11,0
150,-31,1,20,4,0
151,-31,1,30,6,0
152,-30,1,340,6,0
153,-30,1,81,10,0
154,-30,1,15,6,0
155,-30,1,112,9,0
156,-29,1,221,3,0
157,-29,1,207,1,0
158,-28,1,49,4,0
159,-27,1,1,5,0
160,-26,1,0,4,0
161,-26,1,3,4,0
162,-26,1,2,5,0
163,-25,1,147,1,0
164,-24,1,44,9,0
165,-23,1,427,3,0
166,-22,1,7,7,0
167,-21,1,7,8,0
168,-20,1,405,8,0
169,-19,1,5,9,0
170,-18,1,299,5,0
171,-17,1,2,5,0
172,-17,1,1,5,0
173,-16,1,456,6,0
174,-15,1,8,4,0
175,-15,1,428,8,0
176,-15,1,11,6,0
177,-14,1,0,7,0
178,-14,1,9,10,0
179,-14,1,1,4,0
180,-13,1,101,6,0
181,-12,1,61,5,0
182,-11,1,305,11,0
183,-10,1,3,6,0
184,-10,1,14,10,0
185,-9,1,16,3,0
186,-9,1,349,6,0
187,-9,1,47,9,0
188,-8,1,102,6,0
189,-8,1,50,7,0
190,-8,1,6,6,0
191,-7,1,35,8,0
192,-6,1,211,6,0
193,-5,1,332,3,0
194,-4,1,26,9,0
195,-3,1,290,6,0
196,-3,1,323,7,0
197,-3,1,389,2,0
198,-3,1,120,8,0
199,-3,1,322,6,0
200,-2,1,1,8,0
201,-2,1,79,7,0
202,-1,1,14,9,0
203,-1,1,103,8,0
204,0,1,57,12,60
205,1,1,267,1,60
206,2,1,37,8,60
207,2,1,456,8,60
208,2,1,121,7,60
209,2,1,11,8,60
210,3,1,91,3,60
211,3,1,64,1,60
212,3,1,35,7,60
213,3,1,44,8,60
214,3,1,33,4,60
215,4,1,18,6,60
216,5,1,53,4,60
217,6,1,0,1,60
218,7,1,77,6,60
219,8,1,23,6,60
220,9,1,164,6,60
221,9,1,46,8,60
222,9,1,107,10,60
223,9,1,43,12,60
224,10,1,89,2,120
225,10,1,1,10,120
226,11,1,13,6,120
227,12,1,209,8,120
228,12,1,22,10,120
229,12,1,267,5,120
230,13,1,1,3,120
231,14,1,27,2,120
232,15,1,14,6,120
233,15,1,31,8,120
234,16,1,478,12,120
235,17,1,29,7,120
236,17,1,235,5,120
237,17,1,33,7,120
238,18,1,42,8,120
239,18,1,2,10,120
240,19,1,45,6,180
241,20,1,7,3,180
242,20,1,207,10,180
243,21,1,36,6,180
244,21,1,18,6,180
245,21,1,15,2,180
246,22,1,191,8,180
247,23,1,265,6,180
248,24,1,155,5,180
249,24,1,26,5,180
250,24,1,166,11,180
251,24,1,30,9,180
252,24,1,281,5,180
253,25,1,499,4,180
254,25,1,22,7,180
255,25,1,201,9,180
256,26,1,38,8,180
257,26,1,126,2,180
258,27,1,1,11,180
259,28,1,27,10,240
260,29,1,156,10,240
261,30,1,41,10,240
262,30,1,5,5,240
263,31,1,100,4,240
264,31,1,59,8,240
265,31,1,41,2,240
266,32,1,105,7,240
267,33,1,20,6,240
268,34,1,197,6,240
269,34,1,117,3,240
270,34,1,257,7,240
271,34,1,6,10,240
272,35,1,4,4,240
273,36,1,265,1,240
274,36,1,282,9,240
275,36,1,152,6,240
276,37,1,427,6,300
277,38,1,4,10,300
278,38,1,42,3,300
279,38,1,27,6,300
280,38,1,1,9,300
281,38,1,12,6,300
282,38,1,136,10,300
283,39,1,51,6,300
284,39,1,220,7,300
285,40,1,47,5,300
286,41,1,90,5,300
287,42,1,366,2,300
288,43,1,132,6,300
289,43,1,29,2,300
290,43,1,332,8,300
291,43,1,39,6,300
292,43,1,1,2,300
293,44,1,17,3,300
294,45,1,20,8,360
295,46,1,30,3,360
296,47,1,41,2,360
297,48,1,476,11,360
298,49,1,192,6,360
299,49,1,111,6,360
300,49,1,0,10,360
301,49,1,292,1,360
302,50,1,298,9,360
303,50,1,143,1,360
304,51,1,262,2,360
305,52,1,187,12,360
306,52,1,88,10,360
307,53,1,16,12,420
308,53,1,10,11,420
309,54,1,210,5,420
310,54,1,277,6,420
311,54,1,79,10,420
312,54,1,26,8,420
313,54,1,11,4,420
314,54,1,48,4,420
315,55,1,77,3,420
316,55,1,41,4,420
317,56,1,44,4,420
318,56,1,43,6,420
319,57,1,82,5,420
320,57,1,20,9,420
321,58,1,42,8,420
322,58,1,55,8,420
323,59,1,15,7,420
324,60,1,13,12,420
325,61,1,0,4,420
326,62,1,3,7,420
327,62,1,160,6,420
328,63,1,172,6,420
329,64,1,31,2,420
330,65,1,335,2,480
331,65,1,47,11,480
332,66,1,7,2,480
333,67,1,44,7,480
334,67,1,449,7,480
335,67,1,2,12,480
336,68,1,28,6,480
337,68,1,39,8,480
338,68,1,34,3,480
339,69,1,1,7,480
340,70,1,4,8,480
341,71,1,20,4,540
342,72,1,431,6,540
343,73,1,373,4,540
344,73,1,22,12,540
345,73,1,135,5,540
346,74,1,45,10,540
347,74,1,205,5,540
348,74,1,346,6,540
349,75,1,1,10,540
350,76,1,102,10,540
351,77,1,42,2,600
352,77,1,34,7,600
353,78,1,176,6,600
354,78,1,216,10,600
355,78,1,0,9,600
356,78,1,158,6,600
357,79,1,328,10,600
358,79,1,125,10,600
359,80,1,143,6,600
360,80,1,56,5,600
361,80,1,30,4,600
362,81,1,20,1,600
363,81,1,7,7,600
364,82,1,63,6,600
365,83,1,24,6,600
366,84,1,42,4,600
367,85,1,107,4,600
368,85,1,18,9,600
369,86,1,21,7,660
370,86,1,3,10,660
371,86,1,22,10,660
372,87,1,30,10,660
373,87,1,56,11,660
374,87,1,3,8,660
375,87,1,32,4,660
376,88,1,226,6,660
377,88,1,43,8,660
378,89,1,91,12,660
379,90,1,62,4,660
380,91,1,47,10,660
381,92,1,59,4,660
382,92,1,13,7,660
383,93,1,17,2,660
384,94,1,24,10,660
385,94,1,2,2,660
386,94,1,214,6,660
387,94,1,249,8,660
388,95,1,376,6,720
389,95,1,15,10,720
390,96,1,11,11,720
391,96,1,9,5,720
392,97,1,203,5,720
393,97,1,383,12,720
394,98,1,26,9,720
395,98,1,29,6,720
396,98,1,473,5,720
397,98,1,405,5,720
