pod_id,order_id,sku,qty,assigned_station,pod_assigned_time,status,finish_time
327,-100,0,4,picker-1,0.0,finish,179.100000000004
327,-26,0,4,picker-1,0.0,finish,179.100000000004
327,-49,0,7,picker-1,0.0,finish,179.100000000004
327,-14,0,7,picker-1,0.0,finish,179.100000000004
327,-32,0,10,picker-1,0.0,finish,179.100000000004
327,-68,0,4,picker-1,0.0,finish,179.100000000004
327,-14,9,10,picker-1,0.0,finish,179.100000000004
26,-54,9,8,picker-2,0.0,finish,105.300000000001
26,-37,247,6,picker-2,0.0,finish,105.300000000001
80,-82,397,10,picker-3,0.0,finish,133.800000000002
80,-82,31,6,picker-3,0.0,finish,133.800000000002
7,-68,0,8,picker-1,1.05,finish,230.400000000006
7,-59,25,8,picker-1,1.05,finish,230.400000000006
131,-8,6,6,picker-2,1.05,finish,71.6999999999999
131,-37,6,4,picker-2,1.05,finish,71.6999999999999
157,-96,272,8,picker-3,1.05,finish,95.5500000000008
157,-80,18,4,picker-3,1.05,finish,95.5500000000008
133,-14,1,4,picker-1,2.1,finish,73.3499999999999
133,-69,19,4,picker-1,2.1,finish,73.3499999999999
71,-66,76,10,picker-2,2.1,finish,163.650000000003
71,-94,8,7,picker-2,2.1,finish,163.650000000003
71,-33,8,8,picker-2,2.1,finish,163.650000000003
5,-97,266,9,picker-3,2.1,finish,156.150000000003
137,-26,2,5,picker-1,3.15,finish,192.450000000004
403,-37,6,3,picker-2,3.15,finish,208.500000000005
403,-74,6,7,picker-2,3.15,finish,208.500000000005
403,-4,26,9,picker-2,3.15,finish,208.500000000005
273,-77,326,9,picker-3,3.15,finish,196.650000000005
384,-26,3,4,picker-1,4.05,finish,241.500000000006
250,-8,50,7,picker-2,4.05,finish,244.500000000006
250,-94,57,8,picker-2,4.05,finish,244.500000000006
376,-87,281,4,picker-3,4.05,finish,263.700000000006
376,-77,303,4,picker-3,4.05,finish,263.700000000006
280,-74,6,1,picker-2,5.1,finish,269.250000000005
280,-66,6,9,picker-2,5.1,finish,269.250000000005
409,-97,143,7,picker-3,5.1,finish,299.85
388,-66,6,1,picker-2,6.0,finish,304.35
388,-54,6,9,picker-2,6.0,finish,304.35
136,-78,63,6,picker-3,6.0,finish,279.300000000003
84,-8,102,6,picker-2,7.05000000000001,finish,358.499999999991
356,-77,496,6,picker-3,7.05000000000001,finish,373.349999999989
293,-54,6,1,picker-2,8.10000000000001,finish,330.599999999996
193,-81,110,5,picker-3,8.10000000000001,finish,313.499999999998
13,-62,15,4,picker-1,74.1,finish,345.449999999993
392,-84,28,10,picker-3,96.0000000000008,finish,398.099999999985
256,-7,35,8,picker-3,97.0500000000008,finish,357.749999999991
128,-28,49,4,picker-3,134.100000000002,finish,409.349999999984
260,-99,38,9,picker-2,164.100000000003,finish,392.249999999986
237,-20,405,8,picker-1,180.000000000004,finish,422.249999999982
237,-71,30,8,picker-1,180.000000000004,finish,422.249999999982
268,-95,2,10,picker-1,181.050000000004,finish,446.999999999978
224,-25,147,1,picker-1,182.100000000004,finish,451.199999999977
82,-98,95,10,picker-2,209.100000000005,finish,453.149999999977
385,-98,36,8,picker-2,210.000000000005,finish,473.399999999974
131,8,23,6,picker-2,211.050000000005,finish,488.849999999972
315,-51,438,8,picker-1,231.000000000006,finish,489.749999999971
