pod_id,item_id,qty,order_id,processed_time,task_type
131,326,9,-77,49,1
136,63,6,-78,65,1
80,397,10,-82,103,1
80,31,6,-82,103,1
193,110,5,-81,117,1
401,0,4,-100,134,1
401,0,4,-26,134,1
401,0,7,-49,134,1
401,0,10,-32,134,1
401,0,11,-68,134,1
401,3,4,-26,134,1
157,272,8,-96,148,1
157,18,4,-80,148,1
376,281,4,-87,171,1
376,303,4,-77,171,1
262,350,12,-63,186,1
262,45,10,-63,186,1
115,47,8,-93,187,1
115,47,8,-46,187,1
115,1,2,-86,187,1
115,1,5,-27,187,1
115,1,5,-17,187,1
115,1,7,-88,187,1
115,1,8,-2,187,1
115,1,11,-93,187,1
115,1,11,-52,187,1
409,143,7,-97,191,1
356,496,6,-77,208,1
388,38,9,-99,211,1
270,470,4,-88,215,1
270,79,7,-2,215,1
256,13,2,-58,217,1
149,267,6,-63,229,1
128,49,4,-28,231,1
224,147,1,-25,237,1
64,2,5,-26,244,1
284,96,8,-88,250,1
284,466,6,-52,250,1
44,35,8,-7,264,1
44,27,2,14,264,1
384,23,6,8,282,1
22,48,8,-93,297,1
22,21,6,-88,297,1
22,10,5,-46,297,1
5,266,9,-97,307,1
43,0,1,-68,309,1
43,3,6,-10,309,1
43,3,10,-63,309,1
43,36,10,-63,309,1
134,22,4,-52,311,1
385,9,8,-54,331,1
133,1,11,27,336,1
366,313,8,-93,349,1
366,4,6,-93,349,1
366,426,1,-88,349,1
394,13,6,11,353,1
32,44,9,-24,378,1
373,332,6,-88,378,1
373,2,5,-17,378,1
403,2,10,18,381,1
403,6,10,-54,381,1
258,30,8,-71,400,1
295,432,3,-60,411,1
58,42,8,18,421,1
58,405,8,-20,421,1
290,305,11,-11,440,1
66,7,7,-22,441,1
187,5,4,-88,454,1
187,5,9,-46,454,1
187,44,4,-46,454,1
187,44,7,-52,454,1
187,46,8,-46,454,1
129,27,10,28,467,1
1,14,10,-10,468,1
2,17,3,44,478,1
355,91,8,-93,490,1
355,16,6,-93,490,1
3,26,9,-4,492,1
197,90,5,41,494,1
148,105,4,-93,503,1
8,1,3,13,505,1
292,299,5,-18,510,1
292,0,1,6,510,1
140,4,4,35,518,1
36,4,2,-93,523,1
36,128,5,-86,523,1
259,18,6,4,528,1
131,8,8,-33,546,1
264,478,12,16,549,1
7,25,8,-59,559,1
7,0,4,61,559,1
6,5,9,-19,570,1
393,17,8,-48,571,1
226,144,1,-52,577,1
258,12,4,-39,581,1
258,10,4,-39,581,1
390,144,3,-75,588,1
0,476,11,48,600,1
257,12,2,-76,609,1
388,6,8,-74,610,1
256,13,12,60,613,1
395,41,2,47,618,1
385,31,2,64,619,1
21,5,6,-45,637,1
133,1,7,69,638,1
278,4,6,70,656,1
212,41,10,30,657,1
212,5,5,30,657,1
212,30,3,46,657,1
139,413,9,-45,661,1
31,4,2,70,665,1
191,144,2,-61,670,1
129,191,8,22,679,1
142,20,6,33,682,1
403,47,5,40,686,1
195,211,6,-6,700,1
277,5,12,-90,711,1
165,427,6,37,718,1
386,47,2,-70,719,1
394,19,4,-69,731,1
329,41,4,55,740,1
329,321,3,-70,740,1
352,16,12,53,742,1
352,10,11,53,742,1
384,15,7,59,751,1
414,77,3,55,757,1
414,13,3,-70,757,1
66,7,8,-21,764,1
72,77,6,7,775,1
64,2,10,-95,778,1
161,192,6,49,784,1
161,292,1,49,784,1
193,20,4,71,788,1
346,61,5,-12,793,1
265,24,6,83,806,1
13,15,4,-62,807,1
83,111,6,49,824,1
83,0,10,49,824,1
148,105,7,32,826,1
160,22,10,86,833,1
136,63,6,82,842,1
2,17,2,93,842,1
323,47,10,91,853,1
8,1,4,-14,855,1
65,62,4,90,866,1
345,21,7,86,885,1
345,3,10,86,885,1
327,0,7,-14,898,1
327,9,10,-14,898,1
27,431,6,72,902,1
27,20,8,45,902,1
0,12,8,101,907,1
35,201,4,-34,916,1
385,31,8,15,920,1
417,45,6,19,925,1
193,62,6,100,933,1
289,317,9,-43,945,1
259,14,6,15,962,1
235,91,12,89,964,1
299,11,11,96,965,1
299,9,5,96,965,1
5,221,3,-29,976,1
165,427,3,-23,976,1
106,366,2,42,985,1
129,498,10,103,989,1
163,7,2,66,998,1
161,205,5,74,1000,1
371,207,10,20,1002,1
144,207,1,-29,1009,1
66,7,3,20,1020,1
280,36,8,-89,1020,1
188,188,8,113,1023,1
194,45,10,111,1047,1
201,27,6,119,1053,1
201,7,7,81,1053,1
321,20,1,81,1060,1
322,45,10,74,1063,1
322,346,6,74,1063,1
197,341,8,117,1069,1
199,107,4,85,1076,1
35,186,8,-50,1082,1
131,6,10,-66,1096,1
3,18,9,85,1101,1
133,1,10,75,1109,1
11,53,4,5,1122,1
252,76,10,-66,1123,1
160,298,9,50,1125,1
352,36,6,124,1140,1
196,223,5,-47,1141,1
56,143,1,50,1147,1
417,319,10,126,1150,1
266,456,6,-16,1158,1
293,155,2,-44,1158,1
50,92,9,131,1172,1
386,47,8,122,1180,1
281,30,9,24,1194,1
281,281,5,24,1194,1
336,191,6,135,1198,1
256,35,10,134,1198,1
89,294,6,122,1215,1
290,292,6,130,1216,1
270,166,11,24,1223,1
263,155,5,24,1239,1
225,120,9,136,1241,1
328,57,12,0,1247,1
141,150,10,-85,1267,1
143,26,5,24,1272,1
143,327,8,129,1272,1
258,30,11,146,1276,1
0,170,2,-85,1276,1
388,42,4,84,1285,1
129,11,4,152,1289,1
134,22,8,-85,1299,1
397,70,8,115,1308,1
403,47,11,65,1318,1
304,151,10,153,1325,1
137,335,2,65,1327,1
179,9,2,115,1332,1
179,34,7,77,1332,1
6,42,2,77,1341,1
66,7,8,144,1349,1
257,12,4,163,1362,1
96,33,12,154,1372,1
356,13,9,157,1377,1
356,49,12,157,1377,1
291,22,2,151,1386,1
384,46,12,168,1394,1
43,97,8,128,1395,1
43,-1,-1,-999,1395,2
64,2,2,94,1403,1
133,1,7,160,1406,1
317,73,4,123,1408,1
332,249,8,94,1425,1
139,34,7,178,1428,1
8,1,10,10,1432,1
288,89,2,10,1441,1
255,97,10,133,1455,1
255,-1,-1,-999,1455,2
330,24,10,94,1465,1
330,214,6,94,1465,1
177,89,9,-41,1466,1
418,265,6,23,1472,1
117,89,6,159,1483,1
388,38,4,166,1485,1
132,0,8,108,1487,1
322,78,2,107,1494,1
32,373,4,73,1497,1
392,32,10,107,1521,1
208,2,6,108,1523,1
208,12,8,167,1523,1
13,22,12,73,1528,1
224,312,5,158,1539,1
120,349,9,189,1546,1
96,97,2,133,1554,1
96,-1,-1,-999,1555,2
325,44,4,56,1555,1
325,43,6,56,1555,1
165,2,6,182,1556,1
4,135,5,73,1570,1
261,490,8,143,1576,1
229,100,5,190,1586,1
46,4,6,125,1592,1
46,251,8,125,1592,1
280,6,6,162,1594,1
269,1,10,192,1612,1
144,15,10,95,1619,1
394,28,10,-84,1621,1
245,160,2,149,1621,1
264,4,4,125,1632,1
284,6,9,179,1646,1
129,16,6,179,1664,1
309,376,6,95,1664,1
309,10,6,177,1664,1
9,26,8,143,1666,1
9,28,10,143,1666,1
263,39,4,185,1677,1
260,38,8,26,1688,1
47,3,7,62,1697,1
47,160,6,62,1697,1
49,126,2,26,1697,1
136,262,2,51,1706,1
43,5,5,199,1706,1
43,4,6,206,1706,1
140,4,1,206,1713,1
7,0,8,181,1719,1
64,2,4,191,1726,1
386,35,7,145,1726,1
293,6,6,181,1737,1
241,88,5,145,1741,1
131,8,6,193,1744,1
256,87,6,211,1755,1
34,33,8,231,1766,1
5,27,11,213,1770,1
154,206,6,-73,1773,1
247,114,4,121,1783,1
258,374,4,176,1786,1
81,98,8,142,1808,1
65,221,12,204,1815,1
279,8,4,225,1822,1
279,8,10,212,1822,1
279,372,9,212,1822,1
187,102,10,76,1835,1
2,11,9,228,1839,1
