pod_id,pod_type,slot_id,slot_type,item,unusedColumn1,unusedColumn2,unusedColumn3,qty,max_qty,due_date,facing,pick_ind,slot_sequence,item_weight,total_item_weight,item_pod_inventory_level,item_warehouse_inventory_level
0,0,0,0,170,0,0,0,60,60,99999,0,0,0,0.59,35.4,0.5,0.4
0,0,1,0,450,0,0,0,36,36,99999,0,0,1,0.316,11.376,0.6,0.5
0,0,2,0,406,0,0,0,96,96,99999,0,0,2,0.603,57.888,0.6,0.5
0,0,3,0,409,0,0,0,48,48,99999,0,0,3,0.218,10.464,0.6,0.5
0,0,4,0,466,0,0,0,16,16,99999,0,0,4,0.381,6.096,0.6,0.5
0,0,5,0,275,0,0,0,36,36,99999,0,0,5,0.368,13.248,0.6,0.5
0,0,6,0,12,0,0,0,8,8,99999,0,0,6,0.306,2.448,0.4,0.3
0,0,7,0,476,0,0,0,24,24,99999,0,0,7,0.405,9.72,0.6,0.5
0,0,8,0,377,0,0,0,40,40,99999,0,0,8,0.369,14.76,0.6,0.5
0,0,9,0,151,0,0,0,96,96,99999,0,0,9,0.667,64.032,0.5,0.4
1,0,0,0,353,0,0,0,720,720,99999,0,0,10,0.142,102.24,0.6,0.5
1,0,1,0,405,0,0,0,77,77,99999,0,0,11,0.2,15.4,0.6,0.5
1,0,2,0,308,0,0,0,180,180,99999,0,0,12,0.109,19.62,0.6,0.5
1,0,3,0,484,0,0,0,432,432,99999,0,0,13,0.218,94.176,0.6,0.5
1,0,4,0,193,0,0,0,320,320,99999,0,0,14,0.05,16.0,0.5,0.4
1,0,5,0,307,0,0,0,312,312,99999,0,0,15,0.275,85.8,0.6,0.5
1,0,6,0,333,0,0,0,48,48,99999,0,0,16,0.9,43.2,0.6,0.5
1,0,7,0,208,0,0,0,48,48,99999,0,0,17,0.208,9.984,0.6,0.5
1,0,8,0,14,0,0,0,12,12,99999,0,0,18,0.41,4.92,0.4,0.3
1,0,9,0,289,0,0,0,240,240,99999,0,0,19,0.047,11.28,0.6,0.5
2,0,0,0,11,0,0,0,264,264,99999,0,0,20,0.282,74.448,0.4,0.3
2,0,1,0,87,0,0,0,12,12,99999,0,0,21,5.165,61.98,0.5,0.4
2,0,2,0,17,0,0,0,108,108,99999,0,0,22,0.176,19.008,0.4,0.3
2,0,3,0,381,0,0,0,8,8,99999,0,0,23,1.0,8.0,0.6,0.5
2,0,4,0,390,0,0,0,24,24,99999,0,0,24,0.221,5.304,0.6,0.5
2,0,5,0,224,0,0,0,432,432,99999,0,0,25,0.219,94.608,0.6,0.5
2,0,6,0,473,0,0,0,100,100,99999,0,0,26,0.1,10.0,0.6,0.5
2,0,7,0,198,0,0,0,288,288,99999,0,0,27,0.07,20.16,0.5,0.4
2,0,8,0,289,0,0,0,240,240,99999,0,0,28,0.047,11.28,0.6,0.5
2,0,9,0,382,0,0,0,24,24,99999,0,0,29,0.368,8.832,0.6,0.5
3,0,0,0,482,0,0,0,48,48,99999,0,0,30,1.435,68.88,0.6,0.5
3,0,1,0,10,0,0,0,210,210,99999,0,0,31,0.118,24.78,0.4,0.3
3,0,2,0,26,0,0,0,360,360,99999,0,0,32,0.274,98.64,0.4,0.3
3,0,3,0,377,0,0,0,40,40,99999,0,0,33,0.369,14.76,0.6,0.5
3,0,4,0,130,0,0,0,24,24,99999,0,0,34,0.615,14.76,0.5,0.4
3,0,5,0,18,0,0,0,30,30,99999,0,0,35,0.333,9.99,0.4,0.3
3,0,6,0,12,0,0,0,8,8,99999,0,0,36,0.306,2.448,0.4,0.3
3,0,7,0,330,0,0,0,36,36,99999,0,0,37,0.383,13.788,0.6,0.5
3,0,8,0,463,0,0,0,204,204,99999,0,0,38,0.092,18.768,0.6,0.5
3,0,9,0,430,0,0,0,12,12,99999,0,0,39,1.043,12.516,0.6,0.5
4,0,0,0,454,0,0,0,27,27,99999,0,0,40,2.0,54.0,0.6,0.5
4,0,1,0,228,0,0,0,228,228,99999,0,0,41,0.397,90.516,0.6,0.5
4,0,2,0,135,0,0,0,96,96,99999,0,0,42,0.716,68.736,0.5,0.4
4,0,3,0,383,0,0,0,9,9,99999,0,0,43,0.517,4.653,0.6,0.5
4,0,4,0,408,0,0,0,96,96,99999,0,0,44,0.088,8.448,0.6,0.5
4,0,5,0,9,0,0,0,180,180,99999,0,0,45,0.1,18.0,0.4,0.3
4,0,6,0,12,0,0,0,8,8,99999,0,0,46,0.306,2.448,0.4,0.3
4,0,7,0,467,0,0,0,336,336,99999,0,0,47,0.246,82.656,0.6,0.5
4,0,8,0,350,0,0,0,108,108,99999,0,0,48,0.238,25.704,0.6,0.5
4,0,9,0,253,0,0,0,96,96,99999,0,0,49,0.635,60.96,0.6,0.5
5,0,0,0,204,0,0,0,50,50,99999,0,0,50,0.238,11.9,0.6,0.5
5,0,1,0,250,0,0,0,24,24,99999,0,0,51,2.087,50.088,0.6,0.5
5,0,2,0,396,0,0,0,12,12,99999,0,0,52,0.33,3.96,0.6,0.5
5,0,3,0,266,0,0,0,40,40,99999,0,0,53,0.16,6.4,0.6,0.5
5,0,4,0,483,0,0,0,30,30,99999,0,0,54,0.303,9.09,0.6,0.5
5,0,5,0,213,0,0,0,8,8,99999,0,0,55,0.351,2.808,0.6,0.5
5,0,6,0,27,0,0,0,336,336,99999,0,0,56,0.267,89.712,0.4,0.3
5,0,7,0,323,0,0,0,24,24,99999,0,0,57,2.188,52.512,0.6,0.5
5,0,8,0,153,0,0,0,42,42,99999,0,0,58,0.43,18.06,0.5,0.4
5,0,9,0,221,0,0,0,20,20,99999,0,0,59,1.0,20.0,0.6,0.5
6,0,0,0,33,0,0,0,240,240,99999,0,0,60,0.409,98.16,0.4,0.3
6,0,1,0,413,0,0,0,288,288,99999,0,0,61,0.362,104.256,0.6,0.5
6,0,2,0,335,0,0,0,264,264,99999,0,0,62,0.272,71.808,0.6,0.5
6,0,3,0,79,0,0,0,24,24,99999,0,0,63,0.429,10.296,0.5,0.4
6,0,4,0,42,0,0,0,30,30,99999,0,0,64,0.454,13.62,0.4,0.3
6,0,5,0,31,0,0,0,72,72,99999,0,0,65,0.125,9.0,0.4,0.3
6,0,6,0,355,0,0,0,36,36,99999,0,0,66,0.383,13.788,0.6,0.5
6,0,7,0,414,0,0,0,77,77,99999,0,0,67,0.2,15.4,0.6,0.5
6,0,8,0,364,0,0,0,60,60,99999,0,0,68,0.16,9.6,0.6,0.5
6,0,9,0,5,0,0,0,192,192,99999,0,0,69,0.417,80.064,0.4,0.3
7,0,0,0,25,0,0,0,30,30,99999,0,0,70,0.454,13.62,0.4,0.3
7,0,1,0,102,0,0,0,24,24,99999,0,0,71,0.479,11.496,0.5,0.4
7,0,2,0,30,0,0,0,24,24,99999,0,0,72,0.387,9.288,0.4,0.3
7,0,3,0,128,0,0,0,8,8,99999,0,0,73,1.0,8.0,0.5,0.4
7,0,4,0,450,0,0,0,36,36,99999,0,0,74,0.316,11.376,0.6,0.5
7,0,5,0,220,0,0,0,20,20,99999,0,0,75,1.0,20.0,0.6,0.5
7,0,6,0,410,0,0,0,84,84,99999,0,0,76,0.542,45.528,0.6,0.5
7,0,7,0,475,0,0,0,60,60,99999,0,0,77,0.871,52.26,0.6,0.5
7,0,8,0,0,0,0,0,36,36,99999,0,0,78,1.602,57.672,0.4,0.3
7,0,9,0,405,0,0,0,77,77,99999,0,0,79,0.2,15.4,0.6,0.5
8,0,0,0,402,0,0,0,77,77,99999,0,0,80,0.2,15.4,0.6,0.5
8,0,1,0,424,0,0,0,96,96,99999,0,0,81,0.619,59.424,0.6,0.5
8,0,2,0,41,0,0,0,80,80,99999,0,0,82,0.152,12.16,0.4,0.3
8,0,3,0,1,0,0,0,72,72,99999,0,0,83,0.125,9.0,0.4,0.3
8,0,4,0,286,0,0,0,264,264,99999,0,0,84,0.273,72.072,0.6,0.5
