item_id,current_global_qty,max_global_qty,global_inv_level
0,1080,1080,1.0
1,1800,1800,1.0
2,288,288,1.0
3,6864,6864,1.0
4,162,162,1.0
5,4992,4992,1.0
6,140,140,1.0
7,2304,2304,1.0
8,880,880,1.0
9,3960,3960,1.0
10,4830,4830,1.0
11,7656,7656,1.0
12,224,224,1.0
13,2784,2784,1.0
14,264,264,1.0
15,384,384,1.0
16,384,384,1.0
17,2700,2700,1.0
18,780,780,1.0
19,264,264,1.0
20,4752,4752,1.0
21,8640,8640,1.0
22,1296,1296,1.0
23,5670,5670,1.0
24,680,680,1.0
25,870,870,1.0
26,10440,10440,1.0
27,7392,7392,1.0
28,348,348,1.0
29,9000,9000,1.0
30,744,744,1.0
31,2016,2016,1.0
32,2016,2016,1.0
33,4560,4560,1.0
34,8064,8064,1.0
35,4608,4608,1.0
36,252,252,1.0
37,9984,9984,1.0
38,6144,6144,1.0
39,7200,7200,1.0
40,552,552,1.0
41,2400,2400,1.0
42,630,630,1.0
43,5040,5040,1.0
44,2280,2280,1.0
45,1440,1440,1.0
46,690,690,1.0
47,630,630,1.0
48,9000,9000,1.0
49,6000,6000,1.0
50,135,135,1.0
51,1680,1680,1.0
52,144,144,1.0
53,60,60,1.0
54,3360,3360,1.0
55,216,216,1.0
56,1152,1152,1.0
57,150,150,1.0
58,1320,1320,1.0
59,144,144,1.0
60,216,216,1.0
61,432,432,1.0
62,360,360,1.0
63,210,210,1.0
64,72,72,1.0
65,96,96,1.0
66,216,216,1.0
67,60,60,1.0
68,1280,1280,1.0
69,432,432,1.0
70,192,192,1.0
71,96,96,1.0
72,720,720,1.0
73,360,360,1.0
74,1440,1440,1.0
75,60,60,1.0
76,48,48,1.0
77,1056,1056,1.0
78,960,960,1.0
79,72,72,1.0
80,128,128,1.0
81,60,60,1.0
82,504,504,1.0
83,1536,1536,1.0
84,72,72,1.0
85,120,120,1.0
86,80,80,1.0
87,60,60,1.0
88,900,900,1.0
89,180,180,1.0
90,144,144,1.0
91,144,144,1.0
92,120,120,1.0
93,120,120,1.0
94,96,96,1.0
95,720,720,1.0
96,576,576,1.0
97,30,30,1.0
98,240,240,1.0
99,48,48,1.0
100,252,252,1.0
101,1920,1920,1.0
102,72,72,1.0
103,672,672,1.0
104,1440,1440,1.0
105,48,48,1.0
106,48,48,1.0
107,108,108,1.0
108,1050,1050,1.0
109,792,792,1.0
110,2520,2520,1.0
111,135,135,1.0
112,864,864,1.0
113,22,22,1.0
114,720,720,1.0
115,192,192,1.0
116,96,96,1.0
117,2688,2688,1.0
118,540,540,1.0
119,444,444,1.0
120,1920,1920,1.0
121,9,9,1.0
122,288,288,1.0
123,40,40,1.0
124,48,48,1.0
125,192,192,1.0
126,720,720,1.0
127,768,768,1.0
128,24,24,1.0
129,240,240,1.0
130,48,48,1.0
131,108,108,1.0
132,1584,1584,1.0
133,42,42,1.0
134,96,96,1.0
135,384,384,1.0
136,144,144,1.0
137,180,180,1.0
138,216,216,1.0
139,84,84,1.0
140,30,30,1.0
141,210,210,1.0
142,1536,1536,1.0
143,192,192,1.0
144,1080,1080,1.0
145,120,120,1.0
146,168,168,1.0
147,4224,4224,1.0
148,2520,2520,1.0
149,720,720,1.0
150,120,120,1.0
151,384,384,1.0
152,24,24,1.0
153,168,168,1.0
154,3240,3240,1.0
155,378,378,1.0
156,486,486,1.0
157,36,36,1.0
158,768,768,1.0
159,2016,2016,1.0
160,40,40,1.0
161,840,840,1.0
162,96,96,1.0
163,192,192,1.0
164,1920,1920,1.0
165,280,280,1.0
166,288,288,1.0
167,1200,1200,1.0
168,1680,1680,1.0
169,560,560,1.0
170,180,180,1.0
171,168,168,1.0
172,120,120,1.0
173,384,384,1.0
174,270,270,1.0
175,48,48,1.0
176,144,144,1.0
177,240,240,1.0
178,288,288,1.0
179,96,96,1.0
180,432,432,1.0
181,96,96,1.0
182,60,60,1.0
183,1152,1152,1.0
184,576,576,1.0
185,360,360,1.0
186,70,70,1.0
187,60,60,1.0
188,72,72,1.0
189,144,144,1.0
190,32,32,1.0
191,1584,1584,1.0
192,2160,2160,1.0
193,1280,1280,1.0
194,1152,1152,1.0
195,210,210,1.0
196,81,81,1.0
197,2160,2160,1.0
198,1440,1440,1.0
199,30,30,1.0
200,1680,1680,1.0
201,600,600,1.0
202,2808,2808,1.0
203,210,210,1.0
204,400,400,1.0
205,600,600,1.0
206,600,600,1.0
207,144,144,1.0
208,480,480,1.0
209,2730,2730,1.0
210,384,384,1.0
211,2688,2688,1.0
212,1152,1152,1.0
213,56,56,1.0
214,1008,1008,1.0
215,1320,1320,1.0
216,220,220,1.0
217,648,648,1.0
218,120,120,1.0
219,192,192,1.0
220,200,200,1.0
221,260,260,1.0
222,7296,7296,1.0
223,168,168,1.0
224,4752,4752,1.0
225,440,440,1.0
226,488,488,1.0
227,252,252,1.0
228,2508,2508,1.0
229,288,288,1.0
230,420,420,1.0
231,96,96,1.0
232,108,108,1.0
233,480,480,1.0
234,96,96,1.0
235,300,300,1.0
236,1680,1680,1.0
237,192,192,1.0
238,396,396,1.0
239,144,144,1.0
240,1248,1248,1.0
241,48,48,1.0
242,252,252,1.0
243,432,432,1.0
244,504,504,1.0
245,5016,5016,1.0
246,120,120,1.0
247,210,210,1.0
248,576,576,1.0
249,96,96,1.0
250,120,120,1.0
251,3672,3672,1.0
252,144,144,1.0
253,576,576,1.0
254,144,144,1.0
255,192,192,1.0
256,192,192,1.0
257,99,99,1.0
258,144,144,1.0
259,1728,1728,1.0
260,35,35,1.0
261,960,960,1.0
262,105,105,1.0
263,288,288,1.0
264,864,864,1.0
265,150,150,1.0
266,320,320,1.0
267,3696,3696,1.0
268,126,126,1.0
269,360,360,1.0
270,640,640,1.0
271,1728,1728,1.0
272,840,840,1.0
273,1260,1260,1.0
274,432,432,1.0
275,180,180,1.0
276,256,256,1.0
277,384,384,1.0
278,126,126,1.0
279,322,322,1.0
280,264,264,1.0
281,1440,1440,1.0
282,504,504,1.0
283,160,160,1.0
284,672,672,1.0
285,198,198,1.0
286,2112,2112,1.0
287,186,186,1.0
288,240,240,1.0
289,1920,1920,1.0
290,1560,1560,1.0
291,192,192,1.0
292,3840,3840,1.0
293,4224,4224,1.0
294,288,288,1.0
295,144,144,1.0
296,160,160,1.0
297,840,840,1.0
298,1512,1512,1.0
299,4320,4320,1.0
300,65,65,1.0
301,1920,1920,1.0
302,2688,2688,1.0
303,144,144,1.0
304,630,630,1.0
305,576,576,1.0
306,504,504,1.0
307,4368,4368,1.0
308,2160,2160,1.0
309,450,450,1.0
310,112,112,1.0
311,396,396,1.0
312,216,216,1.0
313,84,84,1.0
314,847,847,1.0
315,180,180,1.0
316,288,288,1.0
317,108,108,1.0
318,360,360,1.0
319,384,384,1.0
320,2688,2688,1.0
321,1080,1080,1.0
322,1067,1067,1.0
323,216,216,1.0
324,1512,1512,1.0
325,243,243,1.0
326,252,252,1.0
327,88,88,1.0
328,2184,2184,1.0
329,280,280,1.0
330,324,324,1.0
331,108,108,1.0
332,288,288,1.0
333,480,480,1.0
334,135,135,1.0
335,2112,2112,1.0
336,672,672,1.0
337,1680,1680,1.0
338,672,672,1.0
339,240,240,1.0
340,72,72,1.0
341,576,576,1.0
342,1152,1152,1.0
343,1344,1344,1.0
344,384,384,1.0
345,216,216,1.0
346,324,324,1.0
347,252,252,1.0
348,1536,1536,1.0
349,96,96,1.0
350,756,756,1.0
351,1728,1728,1.0
352,3960,3960,1.0
353,2160,2160,1.0
354,56,56,1.0
355,576,576,1.0
356,180,180,1.0
357,48,48,1.0
358,264,264,1.0
359,768,768,1.0
360,1120,1120,1.0
361,3432,3432,1.0
362,256,256,1.0
363,80,80,1.0
364,480,480,1.0
365,240,240,1.0
366,504,504,1.0
367,840,840,1.0
368,30,30,1.0
369,1728,1728,1.0
370,1200,1200,1.0
371,300,300,1.0
372,324,324,1.0
373,192,192,1.0
374,3432,3432,1.0
375,504,504,1.0
376,216,216,1.0
377,440,440,1.0
378,240,240,1.0
379,192,192,1.0
380,864,864,1.0
381,80,80,1.0
382,264,264,1.0
383,81,81,1.0
384,84,84,1.0
385,336,336,1.0
386,144,144,1.0
387,162,162,1.0
388,360,360,1.0
389,192,192,1.0
390,216,216,1.0
391,15,15,1.0
392,2160,2160,1.0
393,216,216,1.0
394,450,450,1.0
395,324,324,1.0
396,108,108,1.0
397,252,252,1.0
398,1224,1224,1.0
399,350,350,1.0
400,144,144,1.0
401,180,180,1.0
402,1078,1078,1.0
403,864,864,1.0
404,600,600,1.0
405,1078,1078,1.0
406,1056,1056,1.0
407,2016,2016,1.0
408,864,864,1.0
409,384,384,1.0
410,504,504,1.0
