item_code,cluster,mean_demand,std_demand,cv_demand,initial_inventory_boxes,qty_inv_items,num_compatible_slots,min_slot_type,total_boxes_assigned,total_items_assigned,total_weight_assigned,pods_used,slots_used
14104012001,4,31.238095238095237,17.029120050819284,0.5451395138219588,1,5,1,4,1,15,4.21,1,1
14502011001,4,298.0,198.96589801126365,0.6676707986955156,4,87,2,3,4,96,12.0,2,3
14110015001,4,47.0,31.48847105725855,0.6699674693033734,2,13,2,3,2,24,5.56,1,1
14102250001,4,50.19047619047619,24.954471013883797,0.4971953427813659,2,11,2,3,2,20,9.08,2,2
14502026001,4,47.333333333333336,26.210382045749103,0.5537404657552627,1,6,2,3,1,12,3.0,1,1
14131041001,4,35.333333333333336,19.47485150828733,0.5511750426873773,1,5,2,3,1,8,3.92,1,1
14102246001,4,24.857142857142858,15.624418356521046,0.6285685545726858,1,5,2,3,1,10,4.54,1,1
14120012001,4,20.952380952380953,10.812145685804726,0.5160342259134074,1,4,2,3,1,12,7.08,1,1
14131027001,4,25.761904761904763,18.657067502703995,0.7242114927112456,1,8,2,3,1,8,3.93,1,1
10021001001,4,666.2857142857143,409.7043234493154,0.6149078610945985,6,124,3,0,6,144,38.88,1,3
14501013001,4,169.0,249.9051248545564,1.4787285494352451,5,50,3,0,5,60,12.5,2,5
14804007001,4,819.4285714285714,360.2312182643877,0.4396127140604452,5,104,3,0,5,120,54.0,3,5
10002018001,4,633.4285714285714,273.90241074558816,0.4324124662199181,5,106,3,0,5,120,46.349999999999994,1,2
14500000001,4,658.0952380952381,361.4964802254919,0.5493072420213698,4,92,3,0,4,120,14.2,2,4
10033043001,4,469.5238095238095,242.3966876733495,0.5162606938276206,4,88,3,0,4,96,57.2,1,2
14505013001,4,486.42857142857144,209.64336415936097,0.4309848896080842,4,96,3,0,4,120,13.2,2,4
10040025001,4,48.42857142857143,23.741808469191117,0.4902438326971617,4,8,3,0,4,8,42.76,1,4
14503013001,4,123.42857142857144,119.62901838942058,0.9692165841735464,4,37,3,0,4,48,6.8,2,2
14502077001,4,223.71428571428572,223.57850285475908,0.999393052352052,3,28,3,0,3,36,5.4,1,2
10002009001,4,199.42857142857144,164.14296075258864,0.8230664221118342,3,67,3,0,3,72,48.06,1,3
14501063001,4,206.0,117.667813295371,0.5712029771619951,3,26,3,0,3,36,5.4,1,1
14503000001,4,225.71428571428572,98.23787595479072,0.4352310960022373,2,44,3,0,2,60,6.0,1,2
14011003001,4,53.285714285714285,37.1446885995355,0.6970853088384679,2,10,3,0,2,12,4.64,1,2
14502015001,4,77.57142857142857,40.69698880702581,0.5246388980647895,2,22,3,0,2,24,5.0,2,2
14505138001,4,84.14285714285714,67.18721938716911,0.7984898738712798,2,19,3,0,2,24,3.28,1,2
14804012001,4,14.857142857142858,6.250986316732167,0.4207394636262035,2,3,3,0,2,4,21.9,1,2
14500023001,4,76.95238095238095,60.223770176991295,0.7826108748247631,2,22,3,0,2,24,6.0,2,2
10002003001,4,97.9047619047619,63.12037235232133,0.6447119744157335,2,25,3,0,2,48,32.06,1,1
14023248001,4,23.19047619047619,10.768645171091007,0.4643563626137806,1,7,3,0,1,12,2.11,1,1
14003029001,4,32.476190476190474,19.882078667840418,0.6122047683645877,1,8,3,0,1,18,5.17,1,1
10000002001,4,475.04761904761904,709.8081213687243,1.4941830943006429,18,107,4,0,18,108,239.58,6,18
10021008001,4,1354.2857142857142,957.7941494147168,0.7072319668674071,12,272,4,0,12,288,78.96000000000001,3,6
10021025001,4,3225.4285714285716,1869.1045111147175,0.5794902815928348,10,240,4,0,10,240,77.69999999999999,2,5
10031005001,4,878.8571428571429,400.1112090304853,0.4552630791959358,9,199,4,0,9,216,59.22,2,5
10033018001,4,607.8095238095239,509.29265784798866,0.8379149024449829,6,140,4,0,6,144,89.34,2,2
10031001001,4,839.4285714285714,367.3950217964532,0.4376727625213022,6,143,4,0,6,144,39.599999999999994,1,1
10010002001,4,937.7142857142856,489.3942945215075,0.5219012890997187,6,142,4,0,6,144,39.78,1,1
10010004001,4,556.8571428571429,298.0601226844911,0.5352541967140682,6,126,4,0,6,144,40.38,1,3
10001006001,4,479.1428571428572,183.118563131282,0.3821794698625444,6,143,4,0,6,144,53.699999999999996,1,3
10032013001,4,581.4285714285714,262.9974780665924,0.4523298148565471,5,119,4,0,5,120,49.0,1,1
10033025001,4,664.8571428571429,264.3544312208941,0.3976108763528704,5,115,4,0,5,120,32.25,1,1
10001012001,4,769.1428571428571,518.1140052623357,0.673625192577331,4,92,4,0,4,96,27.16,1,1
14810006001,4,145.0,96.05950536739492,0.6624793473613443,4,96,4,0,4,96,40.56,1,4
10035034001,4,519.7142857142857,319.1460544666542,0.614079818929791,4,76,4,0,4,96,26.32,1,1
10032008001,4,414.8571428571428,191.7076856432571,0.4621053028590908,3,67,4,0,3,72,19.86,1,1
10000005001,4,555.7142857142857,484.937025156202,0.8726373203324973,3,68,4,0,3,72,26.67,1,1
10031910001,4,485.7142857142857,319.80606368133004,0.6584242487556795,3,71,4,0,3,72,19.799999999999997,1,1
