pod_id,slot_idx,slot_type,item_code,cluster,orientation,qty_boxes_assigned,qty_items_assigned,box_weight,weight_assigned,pod_weight_after,vol_util_slot,max_boxes_in_slot
0,16,4,14104012001,4,1,1,15,4.21,4.21,4.21,0.3826201550387597,1
0,14,3,14502011001,4,1,1,24,3.0,3.0,7.21,0.4604651162790698,1
0,15,3,14502011001,4,1,1,24,3.0,3.0,10.21,0.4604651162790698,1
1,16,4,14502011001,4,1,2,48,3.0,6.0,6.0,0.4604651162790698,2
1,14,3,14110015001,4,0,2,24,2.78,5.56,11.559999999999999,0.7488372093023256,2
1,15,3,14102250001,4,0,1,10,4.54,4.54,16.099999999999998,0.5645581395348838,1
2,16,4,14102250001,4,0,1,10,4.54,4.54,4.54,0.2822790697674419,2
2,14,3,14502026001,4,1,1,12,3.0,3.0,7.54,0.4186046511627907,1
2,15,3,14131041001,4,1,1,8,3.92,3.92,11.46,0.5417674418604651,1
3,16,4,14102246001,4,0,1,10,4.54,4.54,4.54,0.2822790697674419,2
3,14,3,14120012001,4,1,1,12,7.08,7.08,11.620000000000001,0.3601860465116279,1
3,15,3,14131027001,4,1,1,8,3.93,3.93,15.55,0.5191937984496124,1
3,0,0,10021001001,4,4,2,48,6.48,12.96,28.51,0.533953488372093,2
3,1,0,10021001001,4,4,2,48,6.48,12.96,41.47,0.533953488372093,2
3,2,0,10021001001,4,4,2,48,6.48,12.96,54.43,0.533953488372093,2
2,0,0,14501013001,4,4,1,12,2.5,2.5,13.96,0.6016744186046512,1
2,1,0,14501013001,4,4,1,12,2.5,2.5,16.46,0.6016744186046512,1
2,2,0,14501013001,4,4,1,12,2.5,2.5,18.96,0.6016744186046512,1
1,0,0,14501013001,4,4,1,12,2.5,2.5,18.599999999999998,0.6016744186046512,1
1,1,0,14501013001,4,4,1,12,2.5,2.5,21.099999999999998,0.6016744186046512,1
1,2,0,14804007001,4,4,1,24,10.8,10.8,31.9,0.34706976744186047,1
0,0,0,14804007001,4,4,1,24,10.8,10.8,21.01,0.34706976744186047,1
0,1,0,14804007001,4,4,1,24,10.8,10.8,31.810000000000002,0.34706976744186047,1
0,2,0,14804007001,4,4,1,24,10.8,10.8,42.61,0.34706976744186047,1
4,16,4,14804007001,4,4,1,24,10.8,10.8,10.8,0.11568992248062016,4
4,14,3,10002018001,4,4,4,96,9.27,37.08,47.879999999999995,0.823813953488372,4
4,15,3,10002018001,4,4,1,24,9.27,9.27,57.14999999999999,0.205953488372093,4
4,0,0,14500000001,4,4,1,30,3.55,3.55,60.69999999999999,0.3966511627906977,1
4,1,0,14500000001,4,4,1,30,3.55,3.55,64.24999999999999,0.3966511627906977,1
4,2,0,14500000001,4,4,1,30,3.55,3.55,67.79999999999998,0.3966511627906977,1
5,16,4,14500000001,4,4,1,30,3.55,3.55,3.55,0.1322170542635659,3
5,14,3,10033043001,4,4,2,48,14.3,28.6,32.15,0.823813953488372,2
5,15,3,10033043001,4,4,2,48,14.3,28.6,60.75,0.823813953488372,2
5,0,0,14505013001,4,1,1,30,3.3,3.3,64.05,0.36465116279069765,1
5,1,0,14505013001,4,1,1,30,3.3,3.3,67.35,0.36465116279069765,1
5,2,0,14505013001,4,1,1,30,3.3,3.3,70.64999999999999,0.36465116279069765,1
6,16,4,14505013001,4,1,1,30,3.3,3.3,3.3,0.12155038759689922,3
6,14,3,10040025001,4,0,1,2,10.69,10.69,13.989999999999998,0.3136434108527132,1
6,15,3,10040025001,4,0,1,2,10.69,10.69,24.68,0.3136434108527132,1
6,0,0,10040025001,4,0,1,2,10.69,10.69,35.37,0.4704651162790698,1
6,1,0,10040025001,4,0,1,2,10.69,10.69,46.059999999999995,0.4704651162790698,1
6,2,0,14503013001,4,4,1,12,1.7,1.7,47.76,0.4538604651162791,1
7,16,4,14503013001,4,4,3,36,1.7,5.1,5.1,0.4538604651162791,4
7,14,3,14502077001,4,4,2,24,1.8,3.6,8.7,0.6346666666666667,2
7,15,3,14502077001,4,4,1,12,1.8,1.8,10.5,0.31733333333333336,2
7,0,0,10002009001,4,4,1,24,16.02,16.02,26.52,0.672,1
7,1,0,10002009001,4,4,1,24,16.02,16.02,42.54,0.672,1
7,2,0,10002009001,4,4,1,24,16.02,16.02,58.56,0.672,1
8,16,4,14501063001,4,4,3,36,1.8,5.4,5.4,0.46493023255813953,4
8,14,3,14503000001,4,1,1,30,3.0,3.0,8.4,0.29714728682170544,1
8,15,3,14503000001,4,1,1,30,3.0,3.0,11.4,0.29714728682170544,1
8,0,0,14011003001,4,4,1,6,2.32,2.32,13.72,0.66,1
8,1,0,14011003001,4,4,1,6,2.32,2.32,16.04,0.66,1
8,2,0,14502015001,4,4,1,12,2.5,2.5,18.54,0.644,1
9,16,4,14502015001,4,4,1,12,2.5,2.5,2.5,0.21466666666666667,4
9,14,3,14505138001,4,1,1,12,1.64,1.64,4.14,0.2878139534883721,1
9,15,3,14505138001,4,1,1,12,1.64,1.64,5.779999999999999,0.2878139534883721,1
9,0,0,14804012001,4,4,1,2,10.95,10.95,16.729999999999997,0.35553488372093023,1
9,1,0,14804012001,4,4,1,2,10.95,10.95,27.679999999999996,0.35553488372093023,1
