item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,mean_demand,std_demand,cv_demand,nonzero_periods,T,demand_frequency,avg_affinity,max_affinity,cluster,item_initial_inventory,box_initial_inventory
10000001001,可口可樂Zero 600ml,45.0,30.0,24.0,32400.0,15.7,24.0,8.904761904761905,13.532693259217565,1.5197142162757693,15,21,0.7142857142857143,5.232204e-07,0.00010156409,2,27,2
10000002001,可口可樂2L,34.0,23.0,31.0,24242.0,13.31,6.0,475.04761904761904,709.8081213687243,1.4941830943006429,21,21,1.0,9.313407e-06,0.0020651366,4,1385,231
10000003001,百事可樂330ml,40.0,27.0,12.0,12960.0,9.11,24.0,134.85714285714286,49.46406652865311,0.3667886289200972,21,21,1.0,3.944661e-06,0.00037240167,2,199,9
10000004001,百事可樂2L,34.0,23.0,31.0,24242.0,14.0,6.0,100.1904761904762,91.97702562395888,0.9180216435851408,20,21,0.9523809523809524,1.0327905e-06,0.00027083757,2,219,37
10000005001,可口可樂330ml,40.0,28.0,12.0,13440.0,8.89,24.0,555.7142857142857,484.937025156202,0.8726373203324973,21,21,1.0,1.14017685e-05,0.0010833503,4,1178,50
10000006001,Dr. Pepper 可樂,40.0,13.0,13.0,6760.0,4.69,12.0,0.6190476190476191,1.7586843154875609,2.840951586556829,3,21,0.1428571428571428,2.0473879e-08,1.6927348e-05,3,3,1
10000007001,可口可樂 Zero 330ml,40.0,28.0,12.0,13440.0,8.58,24.0,272.0,101.17029490630424,0.3719496136261185,21,21,1.0,7.3297037e-06,0.00064323924,2,402,17
10000008001,可口可樂纖維+ 1250ml,37.0,26.0,28.0,26936.0,16.14,12.0,2.857142857142857,6.311634866964148,2.2090722034374517,4,21,0.1904761904761904,1.1374377e-08,3.3854696e-05,3,11,1
10000010001,可口可樂 Zero 2L,34.0,23.0,31.0,24242.0,12.52,6.0,80.76190476190476,63.51370662861061,0.7864315089627494,21,21,1.0,2.1088183e-06,0.00018620084,2,163,28
10000011001,可口可樂 Can 250 ml,40.0,27.0,10.0,10800.0,6.76,24.0,2765.714285714286,4043.398207105564,1.4619724922385822,21,21,1.0,1.887705e-05,0.0020143543,4,7948,332
10000012001,可口可樂Pet 600ml,45.0,30.0,25.0,33750.0,15.88,24.0,72.38095238095238,52.12300122053438,0.7201204115994881,19,21,0.9047619047619048,2.9437022e-06,0.00032161962,2,140,6
10000013001,百事可樂 Can250ml,41.0,28.0,10.0,11480.0,7.03,24.0,66.28571428571429,83.43639885002962,1.258738775754757,13,21,0.6190476190476191,3.890033e-07,5.0782044e-05,0,174,8
10000021001,可口可樂纖維+ Can 330ml,40.0,28.0,12.0,13440.0,8.59,24.0,56.714285714285715,42.85873012933678,0.7556954934643764,20,21,0.9523809523809524,2.3067332e-06,0.00022005552,2,112,5
10000022001,可口可樂1250ml,37.0,27.0,29.0,28971.0,15.12,12.0,14.952380952380953,14.39072515620884,0.9624370327400816,20,21,0.9523809523809524,1.851752e-06,0.00020312818,2,34,3
10000023001,百事可樂 - 600ml,43.0,28.0,25.0,30100.0,16.27,24.0,6.095238095238095,7.367268421262368,1.2086924753633574,14,21,0.6666666666666666,6.7563633e-07,6.770939e-05,2,16,1
10000026001,可口可樂Can 235ml,34.0,22.0,14.0,10472.0,6.62,24.0,344.3809523809524,158.9005307883119,0.461409174025795,21,21,1.0,1.661582e-05,0.0016758074,4,549,23
10000027001,可口可樂纖維+ Pet 600ml,45.0,30.0,25.0,33750.0,15.41,24.0,62.476190476190474,51.86761449215276,0.8301980978164695,19,21,0.9047619047619048,8.2805224e-07,0.000118491436,2,129,6
10000998001,可樂雪碧350ml*12入組,28.0,20.0,19.0,10640.0,4.8,1.0,40.476190476190474,22.708544747190373,0.5610346349305857,21,21,1.0,1.6704536e-05,0.0017096621,4,70,70
10001001001,七喜汽水2L,34.0,24.0,31.0,25296.0,13.34,6.0,43.142857142857146,51.60683390910984,1.1961848919330094,21,21,1.0,3.6398214e-06,0.000389329,2,110,19
10001004001,雪碧汽水2L,34.0,23.0,31.0,24242.0,12.52,6.0,137.42857142857142,123.0011890877759,0.8950190474162488,21,21,1.0,1.0305253e-05,0.0020651366,4,296,50
10001005001,七喜汽水330ml,40.0,27.0,12.0,12960.0,9.11,24.0,91.71428571428572,83.07950458225335,0.905851296068183,21,21,1.0,2.6820885e-06,0.0002877649,2,199,9
10001006001,雪碧汽水330ml,40.0,28.0,12.0,13440.0,8.95,24.0,479.1428571428572,183.118563131282,0.3821794698625444,21,21,1.0,1.6561224e-05,0.0014218972,4,714,30
10001007001,黑松汽水-600毫升,42.0,28.0,24.0,28224.0,15.97,24.0,9.142857142857142,16.841800928149024,1.8420719765162996,11,21,0.5238095238095238,3.3668135e-07,0.00015234613,0,31,2
10001008001,黑松汽水2L,34.0,22.0,31.0,23188.0,13.02,6.0,23.47619047619047,18.679296019209147,0.7956698101488684,20,21,0.9523809523809524,7.7118074e-07,0.0004570384,2,48,8
10001009001,黑松沙士245ml,40.0,27.0,10.0,10800.0,6.77,24.0,950.8571428571428,750.8614916160215,0.7896680350529072,21,21,1.0,1.0867154e-05,0.0012864785,4,1914,80
10001010001,雪碧汽水1250ml,37.0,28.0,29.0,30044.0,11.02,12.0,3.4285714285714284,7.537660547584524,2.1984843263788196,4,21,0.1904761904761904,3.6398e-08,3.3854696e-05,3,14,2
10001012001,雪碧汽水Can 250 ml,40.0,27.0,10.0,10800.0,6.79,24.0,769.1428571428571,518.1140052623357,0.673625192577331,21,21,1.0,9.929898e-06,0.0013880426,4,1434,60
10001014001,雪碧易開罐235ml,34.0,22.0,14.0,10472.0,6.55,24.0,100.57142857142856,49.35061289586259,0.49070211686227,21,21,1.0,5.4665625e-06,0.0013880426,4,164,7
10001015001,雪碧汽水600ml,45.0,30.0,24.0,32400.0,15.6,24.0,28.761904761904763,30.974497592919676,1.0769278964425717,19,21,0.9047619047619048,1.867679e-06,0.00027083757,2,69,3
10001020001,黑松CC檸檬氣泡飲can 330ml,41.0,27.0,12.0,13284.0,8.58,24.0,88.57142857142857,73.64559368616533,0.8314825093599312,21,21,1.0,3.6284453e-06,0.0006770939,2,183,8
10001022001,黑松CC檸檬氣泡飲PET 500ml,42.0,28.0,23.0,27048.0,13.81,24.0,55.23809523809524,35.790268379233986,0.6479272723826842,21,21,1.0,3.5420028e-06,0.0008294401,2,102,5
