item_code,avg_affinity,max_affinity,total_demand
10000001001,5.2941243e-07,0.00010363947,187
10000002001,9.441278e-06,0.002107336,9976
10000003001,3.9822444e-06,0.0003800114,2832
10000004001,1.0472149e-06,0.00027637192,2104
10000005001,1.1598357e-05,0.0011054877,11670
10000006001,2.0897863e-08,1.7273245e-05,13
10000007001,7.425807e-06,0.00065638334,5712
10000008001,1.1609925e-08,3.454649e-05,60
10000010001,2.1362273e-06,0.0001900057,1696
10000012001,3.0000258e-06,0.00032819167,1520
10000013001,3.8777137e-07,5.1819734e-05,1392
10000021001,2.3405669e-06,0.00022455219,1191
10000022001,1.8854512e-06,0.00020727894,314
10000023001,6.8034143e-07,6.909298e-05,128
10000026001,1.6855247e-05,0.0017100513,7232
10000027001,8.428803e-07,0.000120912715,1312
10000998001,1.6929553e-05,0.0017445978,850
10001001001,3.6919887e-06,0.00039728463,906
10001004001,1.0483801e-05,0.002107336,2886
10001005001,2.7097703e-06,0.00029364516,1926
10001006001,1.6785581e-05,0.0014509526,10062
10001007001,3.4133168e-07,0.0001554592,192
10001008001,7.801867e-07,0.00046637762,493
10001009001,1.0820487e-05,0.0008809355,19968
10001010001,3.7151754e-08,3.454649e-05,72
10001012001,9.847564e-06,0.0014164061,16152
10001014001,5.5333517e-06,0.0014164061,2112
10001015001,1.9017051e-06,0.00027637192,604
10001020001,3.6641313e-06,0.0006909298,1860
10001022001,3.585178e-06,0.00084638904,1160
10001025001,7.637095e-06,0.0019864233,9096
10001035001,2.7028066e-06,0.0007600228,708
10001041001,7.38391e-07,8.636623e-05,256
10001043001,6.942733e-07,0.000120912715,1092
10001044001,1.1145524e-07,5.1819734e-05,16
10002001001,7.811246e-06,0.0012609469,9744
10002003001,4.9969676e-06,0.0008636623,2056
10002005001,1.1791082e-05,0.0014509526,5094
10002006001,1.18003745e-05,0.0012609469,1848
10002007001,6.106902e-06,0.000915482,2664
10002008001,5.4172465e-06,0.0012091271,15288
10002009001,5.612301e-06,0.0016582315,4188
10002010001,4.4466465e-06,0.00048365086,7824
10002011001,1.48607e-07,3.454649e-05,68
10002012001,1.3722928e-06,0.0001554592,1518
10002013001,1.393191e-08,1.7273245e-05,120
10002014001,4.2817824e-06,0.00046637762,2742
10002017001,1.7159464e-06,0.0009500285,2599
10002018001,2.2518536e-05,0.002038243,13302
10002019001,7.595316e-06,0.0013127667,9096
10002021001,1.059757e-05,0.0015200456,15144
10002025001,3.2229368e-06,0.0003800114,310
10002026001,9.520136e-08,3.454649e-05,72
10002035001,5.403312e-06,0.00093275524,617
10002037001,2.2755445e-07,5.1819734e-05,13
10002038001,2.4845232e-07,5.1819734e-05,22
10002039001,0.0,0.0,24
10002040001,1.627711e-06,0.0003800114,493
10002045001,7.527967e-06,0.0011745807,845
10002046001,2.463637e-06,0.00025909868,2658
10002051001,1.184212e-07,3.454649e-05,45
10002069001,1.780962e-06,0.0001900057,176
10002071001,5.092175e-06,0.00048365086,920
10002072001,2.043346e-06,0.0003454649,193
10002073001,2.2430409e-06,0.00020727894,828
10002074001,3.250803e-06,0.0003800114,350
10002078001,1.13777226e-07,3.454649e-05,66
10002102001,6.8011946e-06,0.0013127667,10434
10002899001,5.108366e-08,1.7273245e-05,36
10002906001,3.2670628e-06,0.00032819167,754
10002907001,7.1332292e-06,0.00055274385,3450
10002911001,2.5541832e-08,1.7273245e-05,6
10002915001,3.8080543e-07,0.000120912715,176
10002916001,1.48607e-07,3.454649e-05,146
10002917001,9.496916e-07,0.0003109184,208
10002918001,1.0681128e-07,3.454649e-05,26
10002919001,2.5541826e-07,3.454649e-05,130
10002924001,1.3467509e-07,1.7273245e-05,4
10002942001,1.4465962e-06,0.0003109184,654
10002943001,2.493824e-06,0.00082911574,2598
10002944001,2.2453642e-06,0.00082911574,2826
10002990001,2.1130057e-07,5.1819734e-05,356
10002992001,7.504735e-06,0.00074274954,454
10010001001,9.287939e-09,1.7273245e-05,12
10010002001,1.6527836e-05,0.0012091271,19692
10010004001,9.2021e-06,0.0014854991,11694
10010007001,1.13777226e-07,1.7273245e-05,36
10010009001,4.713628e-07,6.909298e-05,184
10010012001,4.6904083e-07,5.1819734e-05,344
10010018001,0.0,0.0,528
10010019001,8.1733845e-07,8.636623e-05,492
10010023001,1.6253894e-08,1.7273245e-05,6
10010026001,2.124617e-06,0.00013818596,1464
10010027001,0.0,0.0,912
10010035001,1.0532569e-05,0.0012091271,10938
10010042001,9.961312e-07,0.00013818596,372
10010043001,8.103725e-07,0.00017273246,408
10010044001,1.2538715e-07,1.7273245e-05,12
10011001001,5.7887805e-06,0.00093275524,4866
10011003001,8.187426e-06,0.00063911005,2718
10011004001,2.3219843e-07,3.454649e-05,156
10011007001,2.2523247e-07,5.1819734e-05,101
10011008001,1.4326644e-06,0.00010363947,157
10011016001,5.9397044e-06,0.0008636623,4482
10011021001,8.1966044e-07,0.00020727894,654
10011023001,3.1532832e-06,0.0005872903,1584
10011028001,2.9024804e-07,5.1819734e-05,72
10012002001,3.2507785e-08,1.7273245e-05,34
10012004001,2.3730745e-06,0.0005009241,1766
10012006001,2.737638e-06,0.0005354706,1218
10012008001,1.0913326e-07,5.1819734e-05,36
10012009001,1.9736866e-07,3.454649e-05,10
10012011001,3.4690784e-06,0.00063911005,3456
10012899001,2.5565166e-06,0.00027637192,1872
10012907001,1.1958219e-06,0.00020727894,546
10013003001,7.38863e-06,0.0010191215,4158
10013004001,9.0557386e-08,5.1819734e-05,24
10013005001,4.1796156e-06,0.00093275524,4212
10013007001,1.7879279e-07,5.1819734e-05,210
