item_code,rop_global,rop_per_slot,n_slots,S_total
11061055001,1,1,1,48
12000480001,1,1,1,48
14130044001,1,1,1,24
14631023001,1,1,1,144
12000191001,1,1,1,48
14213008001,1,1,1,48
14611009001,1,1,1,24
12100054001,1,1,1,144
12122012001,5,5,1,48
14225933001,1,1,1,576
41530017001,1,1,1,4
14330899001,1,1,1,6
14313004001,1,1,1,60
12327056001,6,6,1,192
14621028001,7,7,1,288
14840021001,2,2,1,192
11110056001,1,1,1,24
12151073001,1,1,1,48
14352093001,1,1,1,24
31250003001,1,1,1,192
14303039001,1,1,1,24
11050049001,1,1,1,72
14506254001,1,1,1,24
12011032001,1,1,1,96
14342010001,1,1,1,48
12010254001,3,3,1,288
12000100001,1,1,1,48
12020225001,2,2,1,96
14620138001,1,1,1,36
14620920001,1,1,1,72
31455002001,1,1,1,96
14604041001,1,1,1,540
14210127001,1,1,1,48
14506131001,1,1,1,12
14311066001,1,1,1,24
14340002001,1,1,1,144
61062008002,2,2,1,144
14133930001,1,1,1,18
11110045001,1,1,1,32
12005082003,1,1,1,108
11022034001,1,1,1,36
12000028001,1,1,1,24
12002948001,1,1,1,72
14352098001,1,1,1,28
11103115001,1,1,1,8
31707076001,1,1,1,144
11050078001,1,1,1,40
14243106001,1,1,1,160
12000260001,1,1,1,48
11050069001,1,1,1,48
12001064001,1,1,1,180
14500028001,1,1,1,12
14313008001,1,1,1,60
12000135001,1,1,1,36
14504042001,1,1,1,24
14631100001,1,1,1,96
14311093001,1,1,1,24
14243111001,1,1,1,48
14243110001,1,1,1,48
42301034001,1,1,1,80
14634027001,2,2,1,144
14506140001,4,4,1,64
14353013001,2,2,1,24
14020961001,2,2,1,12
31421041001,1,1,1,48
14111120001,2,2,1,48
11103196001,2,2,1,6
12323109001,1,1,1,36
14508903001,1,1,1,18
12110016001,1,1,1,144
12112003001,1,1,1,96
11032003001,1,1,1,72
12121109001,2,2,1,24
12011212001,1,1,1,48
14501007001,4,4,1,144
12011192001,1,1,1,72
12000032001,1,1,1,144
14851018001,2,2,1,14
14730906001,1,1,1,36
14741003001,2,2,1,24
31533309001,2,2,1,48
12212003001,2,2,1,64
14210108001,3,3,1,80
14523030001,1,1,1,48
14020956001,2,2,1,8
32430039001,1,1,1,480
61062008001,1,1,1,144
14210058001,1,1,1,120
11103158001,3,3,1,40
12010135001,1,1,1,96
11010005001,1,1,1,6
11110091001,2,2,1,8
12005093007,2,2,1,48
14503999001,1,1,1,48
11074018001,1,1,1,48
11032227001,1,1,1,240
14304187001,1,1,1,48
12000350001,2,2,1,24
30052113002,3,3,1,120
14361899001,1,1,1,24
14505973001,1,1,1,96
12003082001,1,1,1,48
14211052001,1,1,1,120
31258006001,1,1,1,192
14616195001,1,1,1,96
14621013001,8,8,1,24
14103051001,1,1,1,20
10023892001,1,1,1,8
14740018001,1,1,1,24
11103179001,1,1,1,108
12103069001,1,1,1,192
11074060004,1,1,1,120
11050094001,3,3,1,50
11030062001,1,1,1,240
14000135001,9,2,5,30
10014103001,1,1,1,40
14601051001,1,1,1,192
12102047001,1,1,1,48
11070062001,1,1,1,48
12011252001,2,2,1,24
12020261001,1,1,1,144
12327007001,1,1,1,12
10053903001,2,2,1,144
12016023001,1,1,1,900
14330004001,1,1,1,12
32523001001,1,1,1,8
12003115001,1,1,1,48
14222107001,2,2,1,24
12023463001,1,1,1,252
14132149001,1,1,1,24
14303897001,2,2,1,48
12000204001,1,1,1,144
14616022001,1,1,1,12
11050064001,2,2,1,8
12011473001,1,1,1,48
12000246001,1,1,1,72
12102118001,1,1,1,192
12017015001,1,1,1,24
12123050001,3,3,1,48
14501938001,6,6,1,48
12011294001,1,1,1,24
12323010001,1,1,1,72
11040056001,1,1,1,48
11103111001,2,2,1,24
11021006001,1,1,1,12
12123070001,1,1,1,100
14243069001,5,5,1,90
32511021001,1,1,1,20
12011293001,1,1,1,24
10015005001,3,3,1,96
12000136001,1,1,1,144
12123034001,3,3,1,72
10041032001,19,10,2,96
12022005001,1,1,1,288
12000176001,1,1,1,48
10022008001,40,40,1,144
31567028001,1,1,1,16
14301013001,3,3,1,16
14500030001,1,1,1,12
11103135001,4,2,2,16
11032037001,5,5,1,48
31602030001,1,1,1,96
11062008001,1,1,1,40
14203005001,1,1,1,40
12010214001,1,1,1,48
30010002001,3,3,1,600
12010144001,3,3,1,288
11103094001,11,4,3,36
14502020001,30,30,1,180
41223049001,1,1,1,8
14222095001,4,4,1,60
32524007001,1,1,1,60
14633002001,1,1,1,10
14331022001,1,1,1,12
14002022001,4,4,1,48
12100013001,3,3,1,96
14242128001,1,1,1,40
31422008001,3,3,1,48
14603001001,1,1,1,180
11050065002,2,2,1,24
12003064001,1,1,1,96
14204118001,2,2,1,80
12010034001,2,2,1,384
10040022001,62,11,6,240
11103011004,1,1,1,18
14304084001,1,1,1,48
12000069001,1,1,1,48
12005084005,1,1,1,144
11061023001,2,2,1,60
10031022001,9,9,1,48
14632030001,4,4,1,96
14110010001,2,2,1,20
12120083001,8,8,1,60
12020283001,1,1,1,48
14243007001,2,2,1,48
14023257001,2,2,1,56
12125007001,3,3,1,240
11070013001,2,2,1,48
12102038001,1,1,1,192
14121004001,3,3,1,20
14011030001,33,5,8,96
11062026001,2,2,1,20
11032024001,5,5,1,48
14204062001,4,4,1,24
14600007001,3,3,1,96
14220132001,3,3,1,270
14020019001,2,2,1,12
14243043001,3,3,1,36
14243152001,1,1,1,72
12005015007,1,1,1,48
32501007001,1,1,1,280
31473013001,5,5,1,48
15020007001,12,12,1,72
14131121001,5,5,1,24
