item_code,mean_demand,std_demand,cv_demand,nonzero_periods,T,demand_frequency,max_affinity,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,initial_unit_inventory,initial_box_inventory,cluster
10021025001,3225.4285714285716,1915.2621901825496,0.5938008384833842,21,21,1.0,0.0019028860842809,黑松FIN健康補給飲料TP300ml,35.00.00,20.00,13.00,9100.00.00,"0,345138889",24.0,379.02.00,PCS,1668.00.00,0.0288861852302461,34.435,30.27.00,67734.0,"[6, 12, 18, 24, 30, 36, 42, 48, 54, 66, 72, 84, 96, 120, 144, 288, 510, 810]","[199, 69, 28, 930, 3, 9, 3, 569, 5, 1, 79, 3, 39, 20, 7, 1, 1, 1]",A,240.0,5676.96,236.54,3
10000011001,2765.714285714286,4143.250235538003,1.4980760149156005,21,21,1.0,0.0019863459747284,可口可樂 Can 250 ml,40.00.00,27.00.00,10.00,10800.0,"0,302777778",24.0,450.00.00,PCS,1119.00.00,0.0634689421842969,49.179,68.295,58080.0,"[24, 48, 72, 96, 120, 144, 192, 240, 288, 480]","[683, 359, 62, 16, 5, 6, 8, 10, 12, 20]",A,502.0,8069.07,336.21,3
10021008001,1354.2857142857142,981.4469492976756,0.724697114460309,21,21,1.0,0.0018194261938333,舒跑TP250ml,35.00.00,20.00,11.00,7700.00.00,06.58,24.0,320.08.00,PCS,756.00.00,0.1074948750854152,36.602,35.575,28440.0,"[6, 12, 18, 24, 30, 48, 72, 96, 144, 624, 720]","[3, 1, 3, 442, 2, 302, 13, 8, 1, 1, 1]",A,272.0,2610.54,108.77,3
15020047001,1164.2857142857142,814.1990630587303,0.69931207870075,21,21,1.0,0.0004673755320254,光泉全脂保久牛乳,32.00.00,15.00,13.00,6240.00.00,05.25,24.0,260.00.00,PCS,609.00.00,0.1736504391593473,37.673,28.799,24450.0,"[6, 12, 18, 24, 30, 48, 54, 60, 72, 84, 96, 120, 126, 144, 192]","[87, 32, 13, 261, 3, 130, 7, 5, 43, 14, 36, 13, 1, 3, 1]",A,230.0,2206.46,91.94,3
10035035001,1086.0,533.4772722431575,0.491231374072889,21,21,1.0,0.0020864978432655,愛之味麥仔茶 TP250ml,35.00.00,20.00,11.00,7700.00.00,06.57,24.0,320.08.00,PCS,743.00.00,0.1149647505874902,28.795,20.983,22806.0,"[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 30, 34, 36, 42, 48, 54, 72, 78, 96, 240]","[1, 3, 153, 1, 1, 25, 2, 1, 27, 3, 1, 344, 6, 1, 2, 2, 168, 1, 28, 4, 17, 1]",A,169.0,1768.85,73.7,3
10001009001,950.8571428571428,769.4040736644358,0.8091689476639199,21,21,1.0,0.0012685908004641,黑松沙士245ml,40.00.00,27.00.00,10.00,10800.0,"0,303472222",24.0,450.00.00,PCS,571.00.00,0.1833202779953667,34.309,18.887,19968.0,"[2, 22, 24, 46, 48, 72, 96, 120, 240]","[4, 3, 379, 1, 158, 27, 4, 5, 1]",A,160.0,1935.69,80.65,3
10032006001,940.8571428571428,719.904041224543,0.7651576508611905,21,21,1.0,0.0013353587128221,立頓奶茶TP250ml,34.00.00,20.00,11.00,7480.00.00,"0,292361111",24.0,311.07.00,PCS,694.00.00,0.136351060815653,27.177,19.371,19758.0,"[6, 12, 18, 24, 30, 36, 48, 54, 60, 66, 72, 84, 96]","[158, 46, 16, 322, 4, 1, 129, 1, 3, 4, 30, 1, 12]",A,156.0,1862.33,77.6,3
10010002001,937.7142857142856,501.4799241103418,0.5347896814095663,21,21,1.0,0.0014188186032697,波蜜果菜汁TP250ml,35.00.00,20.00,11.00,7700.00.00,"0,29375",24.0,320.08.00,PCS,693.00.00,0.1386610223162947,27.774,17.258,19692.0,"[6, 12, 18, 24, 30, 36, 48, 54, 72, 96]","[115, 32, 7, 371, 3, 3, 155, 1, 9, 13]",A,142.0,1579.61,65.82,3
10031005001,878.8571428571429,409.9919859843953,0.466505835807992,21,21,1.0,0.0020864978432655,御茶園特上紅茶250ml,35.00.00,20.00,11.00,7700.00.00,06.58,24.0,320.08.00,PCS,647.00.00,0.165217246379227,26.709,25.773,18456.0,"[6, 12, 18, 24, 30, 36, 42, 48, 66, 72, 120, 216, 534]","[132, 35, 24, 336, 4, 4, 2, 139, 1, 11, 1, 1, 1]",A,199.0,1403.65,58.49,3
14805012001,853.1428571428571,439.3934780711117,0.5150291939882421,21,21,1.0,0.0020698059815913,愛之味牛奶花生340g,41.00.00,27.00.00,13.00,14391.0,10.01,24.0,599.06.00,PCS,1446.00.00,0.0386893551774137,12.271,27.116,17916.0,"[2, 4, 6, 8, 10, 12, 14, 18, 24, 30, 36, 42, 48, 60, 72, 180, 240, 288, 324, 840]","[2, 3, 829, 2, 2, 430, 1, 28, 96, 2, 3, 2, 46, 6, 3, 1, 1, 1, 1, 1]",A,191.0,1415.57,58.98,3
10034042001,849.4285714285714,253.40729496772016,0.2983267851957688,21,21,1.0,0.0018361181719228,光泉茉莉蜜茶TP250ml,34.00.00,20.00,11.00,7480.00.00,"0,294444444",24.0,311.07.00,PCS,700.00.00,0.1340377660372327,25.302,15.017,17838.0,"[6, 12, 18, 24, 30, 48, 96]","[142, 30, 3, 378, 2, 145, 5]",A,125.0,1173.79,48.91,3
10032016001,847.7142857142857,354.21422089706437,0.4178462329422734,21,21,1.0,0.0020864978432655,御茶園特上奶茶250ml,35.00.00,20.00,11.00,7700.00.00,06.58,24.0,320.08.00,PCS,629.00.00,0.1716204729921168,27.304,20.562,17802.0,"[6, 12, 18, 24, 30, 36, 42, 48, 72, 240, 288]","[123, 33, 12, 312, 2, 3, 2, 148, 15, 1, 1]",A,164.0,1301.11,54.21,3
10031001001,839.4285714285714,376.46787000069094,0.4484811249157312,21,21,1.0,0.0019863459747284,泰山冰鎮檸檬紅茶250ml,35.00.00,20.00,11.00,7700.00.00,06.06,24.0,320.08.00,PCS,654.00.00,0.1565573907101548,26.389,17.583,17628.0,"[2, 4, 6, 12, 14, 18, 20, 22, 24, 30, 34, 48, 60, 72, 96]","[2, 2, 147, 14, 1, 10, 1, 1, 336, 2, 1, 116, 1, 30, 4]",A,143.0,1321.31,55.05,3
14804007001,819.4285714285714,369.1271557916826,0.4504689837067256,21,21,1.0,0.0016191224567592,泰山八寶粥 375g,41.00.00,28.00.00,13.00,14924.0,10.08,24.0,621.08.00,PCS,1283.00.00,0.0475658739021016,13.309,13.721,17208.0,"[2, 4, 6, 8, 12, 18, 22, 24, 30, 36, 42, 48, 54, 60, 72, 144, 192]","[4, 3, 734, 1, 234, 47, 2, 176, 6, 4, 1, 60, 4, 2, 13, 1, 1]",A,104.0,1291.91,53.83,3
12201031001,812.5714285714286,603.8414172138718,0.7431241069790967,21,21,1.0,0.000317147700116,得意優質抽取式衛生紙,19.00,09.00,08.00,1454.00.00,00.02,1.0,1453.05.00,PCS,276.00.00,0.4051132481125314,57.262,40.848,17064.0,"[2, 6, 12, 18, 22, 24, 30, 42, 48, 60, 66, 72, 90, 96, 102, 114, 120, 138, 144, 192]","[1, 8, 1, 3, 1, 111, 1, 3, 43, 1, 1, 79, 2, 2, 2, 1, 3, 1, 31, 3]",B,167.0,1585.49,1585.49,3
