item_id,current_global_qty,max_global_qty,global_inv_level
0,24,24,1.0
1,192,192,1.0
2,432,432,1.0
3,432,432,1.0
4,72,72,1.0
5,40,40,1.0
6,96,96,1.0
7,96,96,1.0
8,48,48,1.0
9,240,240,1.0
10,192,192,1.0
11,144,144,1.0
12,16,16,1.0
13,48,48,1.0
14,24,24,1.0
15,48,48,1.0
16,48,48,1.0
17,96,96,1.0
18,192,192,1.0
19,48,48,1.0
20,80,80,1.0
21,80,80,1.0
22,48,48,1.0
23,144,144,1.0
24,48,48,1.0
25,48,48,1.0
26,144,144,1.0
27,24,24,1.0
28,6,6,1.0
29,28,28,1.0
30,8,8,1.0
31,48,48,1.0
32,24,24,1.0
33,240,240,1.0
34,48,48,1.0
35,240,240,1.0
36,240,240,1.0
37,48,48,1.0
38,48,48,1.0
39,96,96,1.0
40,48,48,1.0
41,96,96,1.0
42,24,24,1.0
43,24,24,1.0
44,24,24,1.0
45,24,24,1.0
46,48,48,1.0
47,8,8,1.0
48,24,24,1.0
49,32,32,1.0
50,36,36,1.0
51,96,96,1.0
52,48,48,1.0
53,120,120,1.0
54,608,608,1.0
55,48,48,1.0
56,30,30,1.0
57,72,72,1.0
58,48,48,1.0
59,48,48,1.0
60,48,48,1.0
61,24,24,1.0
62,72,72,1.0
63,24,24,1.0
64,24,24,1.0
65,96,96,1.0
66,120,120,1.0
67,120,120,1.0
68,96,96,1.0
69,72,72,1.0
70,8,8,1.0
71,12,12,1.0
72,18,18,1.0
73,12,12,1.0
74,48,48,1.0
75,8,8,1.0
76,8,8,1.0
77,16,16,1.0
78,12,12,1.0
79,6,6,1.0
80,16,16,1.0
81,36,36,1.0
82,8,8,1.0
83,32,32,1.0
84,6,6,1.0
85,32,32,1.0
86,24,24,1.0
87,8,8,1.0
88,32,32,1.0
89,32,32,1.0
90,24,24,1.0
91,24,24,1.0
92,24,24,1.0
93,48,48,1.0
94,48,48,1.0
95,96,96,1.0
96,48,48,1.0
97,24,24,1.0
98,72,72,1.0
99,48,48,1.0
100,48,48,1.0
101,48,48,1.0
102,48,48,1.0
103,48,48,1.0
104,48,48,1.0
105,48,48,1.0
106,96,96,1.0
107,36,36,1.0
108,180,180,1.0
109,48,48,1.0
110,48,48,1.0
111,36,36,1.0
112,72,72,1.0
113,144,144,1.0
114,72,72,1.0
115,144,144,1.0
116,48,48,1.0
117,96,96,1.0
118,192,192,1.0
119,48,48,1.0
120,144,144,1.0
121,216,216,1.0
122,144,144,1.0
123,96,96,1.0
124,96,96,1.0
125,72,72,1.0
126,108,108,1.0
127,144,144,1.0
128,144,144,1.0
129,36,36,1.0
130,32,32,1.0
131,48,48,1.0
132,48,48,1.0
133,960,960,1.0
134,120,120,1.0
135,144,144,1.0
136,288,288,1.0
137,288,288,1.0
138,48,48,1.0
139,120,120,1.0
140,120,120,1.0
141,96,96,1.0
142,48,48,1.0
143,288,288,1.0
144,48,48,1.0
145,48,48,1.0
146,96,96,1.0
147,12,12,1.0
148,24,24,1.0
149,24,24,1.0
150,24,24,1.0
151,48,48,1.0
152,24,24,1.0
153,24,24,1.0
154,24,24,1.0
155,24,24,1.0
156,48,48,1.0
157,144,144,1.0
158,48,48,1.0
159,96,96,1.0
160,96,96,1.0
161,160,160,1.0
162,360,360,1.0
163,192,192,1.0
164,288,288,1.0
165,144,144,1.0
166,64,64,1.0
167,144,144,1.0
168,144,144,1.0
169,216,216,1.0
170,192,192,1.0
171,216,216,1.0
172,144,144,1.0
173,288,288,1.0
174,96,96,1.0
175,72,72,1.0
176,96,96,1.0
177,108,108,1.0
178,48,48,1.0
179,480,480,1.0
180,108,108,1.0
181,192,192,1.0
182,288,288,1.0
183,216,216,1.0
184,270,270,1.0
185,64,64,1.0
186,288,288,1.0
187,240,240,1.0
188,72,72,1.0
189,216,216,1.0
190,480,480,1.0
191,144,144,1.0
192,4000,4000,1.0
193,600,600,1.0
194,108,108,1.0
195,216,216,1.0
196,96,96,1.0
197,144,144,1.0
198,144,144,1.0
199,216,216,1.0
200,360,360,1.0
201,192,192,1.0
202,216,216,1.0
203,144,144,1.0
204,300,300,1.0
205,192,192,1.0
206,42,42,1.0
207,144,144,1.0
208,320,320,1.0
209,240,240,1.0
210,192,192,1.0
211,96,96,1.0
212,576,576,1.0
213,96,96,1.0
214,192,192,1.0
215,192,192,1.0
216,720,720,1.0
217,40,40,1.0
218,48,48,1.0
219,72,72,1.0
220,144,144,1.0
221,96,96,1.0
222,480,480,1.0
223,48,48,1.0
224,60,60,1.0
225,18,18,1.0
226,60,60,1.0
227,216,216,1.0
228,144,144,1.0
229,48,48,1.0
230,144,144,1.0
231,72,72,1.0
232,48,48,1.0
233,72,72,1.0
234,48,48,1.0
235,48,48,1.0
236,54,54,1.0
237,100,100,1.0
238,24,24,1.0
239,48,48,1.0
240,72,72,1.0
241,48,48,1.0
242,150,150,1.0
243,60,60,1.0
244,4,4,1.0
245,64,64,1.0
246,5,5,1.0
247,12,12,1.0
248,384,384,1.0
249,72,72,1.0
250,36,36,1.0
251,24,24,1.0
252,24,24,1.0
253,12,12,1.0
254,144,144,1.0
255,8,8,1.0
256,192,192,1.0
257,8,8,1.0
258,400,400,1.0
259,24,24,1.0
260,48,48,1.0
261,60,60,1.0
262,48,48,1.0
263,24,24,1.0
264,18,18,1.0
265,40,40,1.0
266,20,20,1.0
267,40,40,1.0
268,120,120,1.0
269,48,48,1.0
270,48,48,1.0
271,120,120,1.0
272,48,48,1.0
273,160,160,1.0
274,120,120,1.0
275,288,288,1.0
276,576,576,1.0
277,72,72,1.0
278,360,360,1.0
279,120,120,1.0
280,40,40,1.0
281,120,120,1.0
282,96,96,1.0
283,90,90,1.0
284,160,160,1.0
285,48,48,1.0
286,48,48,1.0
287,40,40,1.0
288,72,72,1.0
289,16,16,1.0
290,96,96,1.0
291,48,48,1.0
292,24,24,1.0
293,48,48,1.0
294,24,24,1.0
295,40,40,1.0
296,24,24,1.0
297,24,24,1.0
298,48,48,1.0
299,60,60,1.0
300,60,60,1.0
301,144,144,1.0
302,20,20,1.0
303,24,24,1.0
304,28,28,1.0
305,24,24,1.0
306,12,12,1.0
307,30,30,1.0
308,24,24,1.0
309,10,10,1.0
310,80,80,1.0
311,96,96,1.0
312,24,24,1.0
313,200,200,1.0
314,12,12,1.0
315,24,24,1.0
316,72,72,1.0
317,24,24,1.0
318,24,24,1.0
319,324,324,1.0
320,96,96,1.0
321,450,450,1.0
322,180,180,1.0
323,180,180,1.0
324,24,24,1.0
325,24,24,1.0
326,24,24,1.0
327,24,24,1.0
328,48,48,1.0
329,96,96,1.0
330,36,36,1.0
331,4,4,1.0
332,96,96,1.0
333,144,144,1.0
334,96,96,1.0
335,10,10,1.0
336,192,192,1.0
337,36,36,1.0
338,80,80,1.0
339,36,36,1.0
340,48,48,1.0
341,24,24,1.0
342,192,192,1.0
343,96,96,1.0
344,240,240,1.0
345,192,192,1.0
346,5,5,1.0
347,14,14,1.0
348,6,6,1.0
349,96,96,1.0
350,60,60,1.0
351,72,72,1.0
352,192,192,1.0
353,144,144,1.0
354,240,240,1.0
355,120,120,1.0
356,120,120,1.0
357,120,120,1.0
358,40,40,1.0
359,144,144,1.0
360,192,192,1.0
361,192,192,1.0
362,192,192,1.0
363,48,48,1.0
364,48,48,1.0
365,10,10,1.0
366,72,72,1.0
367,72,72,1.0
368,48,48,1.0
369,16,16,1.0
370,96,96,1.0
371,144,144,1.0
372,480,480,1.0
373,280,280,1.0
374,96,96,1.0
375,20,20,1.0
376,20,20,1.0
377,8,8,1.0
378,60,60,1.0
379,50,50,1.0
380,20,20,1.0
381,8,8,1.0
382,48,48,1.0
383,48,48,1.0
384,40,40,1.0
385,48,48,1.0
386,72,72,1.0
387,24,24,1.0
388,96,96,1.0
389,8,8,1.0
390,50,50,1.0
391,240,240,1.0
392,4,4,1.0
393,80,80,1.0
394,120,120,1.0
395,24,24,1.0
396,70,70,1.0
397,144,144,1.0
398,144,144,1.0
399,144,144,1.0
400,3840,3840,1.0
401,3120,3120,1.0
402,2112,2112,1.0
403,2016,2016,1.0
404,2688,2688,1.0
405,3072,3072,1.0
406,5472,5472,1.0
407,3744,3744,1.0
408,2592,2592,1.0
409,4032,4032,1.0
410,1728,1728,1.0
411,2376,2376,1.0
412,2496,2496,1.0
413,1920,1920,1.0
414,1728,1728,1.0
415,1728,1728,1.0
416,2880,2880,1.0
417,1776,1776,1.0
418,4608,4608,1.0
419,2976,2976,1.0
420,1968,1968,1.0
421,2175,2175,1.0
422,1560,1560,1.0
423,2520,2520,1.0
424,2040,2040,1.0
425,2000,2000,1.0
426,1728,1728,1.0
427,1920,1920,1.0
428,1536,1536,1.0
429,240,240,1.0
430,1008,1008,1.0
431,360,360,1.0
432,576,576,1.0
433,576,576,1.0
434,1152,1152,1.0
435,864,864,1.0
436,864,864,1.0
437,960,960,1.0
438,1536,1536,1.0
439,744,744,1.0
440,1248,1248,1.0
441,1344,1344,1.0
442,1200,1200,1.0
443,960,960,1.0
444,1440,1440,1.0
445,1152,1152,1.0
446,336,336,1.0
447,1056,1056,1.0
448,672,672,1.0
449,576,576,1.0
450,816,816,1.0
451,768,768,1.0
452,198,198,1.0
453,318,318,1.0
454,96,96,1.0
455,90,90,1.0
456,40,40,1.0
457,144,144,1.0
458,120,120,1.0
459,48,48,1.0
460,230,230,1.0
461,216,216,1.0
462,128,128,1.0
463,160,160,1.0
464,80,80,1.0
465,84,84,1.0
466,84,84,1.0
467,144,144,1.0
468,180,180,1.0
469,372,372,1.0
470,90,90,1.0
471,120,120,1.0
472,1248,1248,1.0
473,108,108,1.0
474,840,840,1.0
475,396,396,1.0
476,192,192,1.0
477,120,120,1.0
478,168,168,1.0
479,96,96,1.0
480,720,720,1.0
481,144,144,1.0
482,220,220,1.0
483,112,112,1.0
484,180,180,1.0
485,80,80,1.0
486,112,112,1.0
487,168,168,1.0
488,144,144,1.0
489,96,96,1.0
490,240,240,1.0
491,96,96,1.0
492,60,60,1.0
493,60,60,1.0
494,80,80,1.0
495,744,744,1.0
496,288,288,1.0
497,114,114,1.0
498,168,168,1.0
499,600,600,1.0
500,1008,1008,1.0
501,336,336,1.0
502,696,696,1.0
503,288,288,1.0
504,648,648,1.0
505,384,384,1.0
506,312,312,1.0
507,840,840,1.0
508,912,912,1.0
509,528,528,1.0
510,648,648,1.0
511,240,240,1.0
512,192,192,1.0
513,384,384,1.0
514,1000,1000,1.0
515,288,288,1.0
516,192,192,1.0
517,120,120,1.0
518,384,384,1.0
519,60,60,1.0
520,576,576,1.0
521,384,384,1.0
522,576,576,1.0
523,576,576,1.0
524,480,480,1.0
525,384,384,1.0
526,72,72,1.0
527,96,96,1.0
528,192,192,1.0
529,48,48,1.0
530,192,192,1.0
531,88,88,1.0
532,40,40,1.0
533,576,576,1.0
534,288,288,1.0
535,480,480,1.0
536,432,432,1.0
537,288,288,1.0
538,216,216,1.0
539,96,96,1.0
540,240,240,1.0
541,144,144,1.0
542,1152,1152,1.0
543,384,384,1.0
544,288,288,1.0
545,384,384,1.0
546,8,8,1.0
547,288,288,1.0
548,96,96,1.0
549,112,112,1.0
550,192,192,1.0
551,128,128,1.0
552,192,192,1.0
553,96,96,1.0
554,144,144,1.0
555,432,432,1.0
556,192,192,1.0
557,960,960,1.0
558,144,144,1.0
559,480,480,1.0
560,432,432,1.0
561,864,864,1.0
562,144,144,1.0
563,264,264,1.0
564,112,112,1.0
565,384,384,1.0
566,264,264,1.0
567,864,864,1.0
568,432,432,1.0
569,432,432,1.0
570,72,72,1.0
571,288,288,1.0
572,384,384,1.0
573,984,984,1.0
574,480,480,1.0
575,144,144,1.0
576,576,576,1.0
577,360,360,1.0
578,760,760,1.0
579,1008,1008,1.0
580,192,192,1.0
581,48,48,1.0
582,720,720,1.0
583,528,528,1.0
584,528,528,1.0
585,288,288,1.0
586,192,192,1.0
587,192,192,1.0
588,384,384,1.0
589,48,48,1.0
590,384,384,1.0
591,12,12,1.0
592,36,36,1.0
593,72,72,1.0
594,48,48,1.0
595,48,48,1.0
596,72,72,1.0
597,96,96,1.0
598,24,24,1.0
599,72,72,1.0
600,48,48,1.0
601,90,90,1.0
602,72,72,1.0
603,48,48,1.0
604,48,48,1.0
605,24,24,1.0
606,32,32,1.0
607,48,48,1.0
608,72,72,1.0
609,40,40,1.0
610,40,40,1.0
611,96,96,1.0
612,144,144,1.0
613,48,48,1.0
614,48,48,1.0
615,72,72,1.0
616,8,8,1.0
617,88,88,1.0
618,120,120,1.0
619,84,84,1.0
620,72,72,1.0
621,108,108,1.0
622,40,40,1.0
623,192,192,1.0
624,96,96,1.0
625,108,108,1.0
626,12,12,1.0
627,48,48,1.0
628,24,24,1.0
629,36,36,1.0
630,72,72,1.0
631,24,24,1.0
632,24,24,1.0
633,24,24,1.0
634,24,24,1.0
635,96,96,1.0
636,24,24,1.0
637,24,24,1.0
638,48,48,1.0
639,288,288,1.0
640,24,24,1.0
641,48,48,1.0
642,48,48,1.0
643,48,48,1.0
644,48,48,1.0
645,96,96,1.0
646,36,36,1.0
647,96,96,1.0
648,96,96,1.0
649,192,192,1.0
650,96,96,1.0
651,48,48,1.0
652,144,144,1.0
653,144,144,1.0
654,24,24,1.0
655,96,96,1.0
656,72,72,1.0
657,24,24,1.0
658,72,72,1.0
659,48,48,1.0
660,36,36,1.0
661,48,48,1.0
662,300,300,1.0
663,825,825,1.0
664,150,150,1.0
665,1050,1050,1.0
666,240,240,1.0
667,60,60,1.0
668,88,88,1.0
669,360,360,1.0
670,36,36,1.0
671,128,128,1.0
672,100,100,1.0
673,30,30,1.0
674,48,48,1.0
675,40,40,1.0
676,48,48,1.0
677,30,30,1.0
678,48,48,1.0
679,90,90,1.0
680,48,48,1.0
681,20,20,1.0
682,96,96,1.0
683,96,96,1.0
684,80,80,1.0
685,24,24,1.0
686,24,24,1.0
687,24,24,1.0
688,36,36,1.0
689,48,48,1.0
690,36,36,1.0
691,24,24,1.0
692,64,64,1.0
693,64,64,1.0
694,24,24,1.0
695,60,60,1.0
696,48,48,1.0
697,24,24,1.0
698,96,96,1.0
699,24,24,1.0
700,48,48,1.0
701,48,48,1.0
702,48,48,1.0
703,48,48,1.0
704,40,40,1.0
705,12,12,1.0
706,12,12,1.0
707,8,8,1.0
708,12,12,1.0
709,36,36,1.0
710,24,24,1.0
711,48,48,1.0
712,36,36,1.0
713,24,24,1.0
714,24,24,1.0
715,12,12,1.0
716,24,24,1.0
717,24,24,1.0
718,56,56,1.0
719,36,36,1.0
720,48,48,1.0
721,48,48,1.0
722,40,40,1.0
723,48,48,1.0
724,40,40,1.0
725,24,24,1.0
726,40,40,1.0
727,60,60,1.0
728,20,20,1.0
729,16,16,1.0
730,60,60,1.0
731,48,48,1.0
732,36,36,1.0
733,24,24,1.0
734,72,72,1.0
735,27,27,1.0
736,20,20,1.0
737,24,24,1.0
738,24,24,1.0
739,48,48,1.0
740,24,24,1.0
741,40,40,1.0
742,48,48,1.0
743,60,60,1.0
744,40,40,1.0
745,40,40,1.0
746,24,24,1.0
747,48,48,1.0
748,24,24,1.0
749,32,32,1.0
750,20,20,1.0
751,48,48,1.0
752,32,32,1.0
753,80,80,1.0
754,72,72,1.0
755,48,48,1.0
756,64,64,1.0
757,48,48,1.0
758,48,48,1.0
759,72,72,1.0
760,72,72,1.0
761,48,48,1.0
762,72,72,1.0
763,24,24,1.0
764,40,40,1.0
765,24,24,1.0
766,48,48,1.0
767,48,48,1.0
768,80,80,1.0
769,60,60,1.0
770,96,96,1.0
771,24,24,1.0
772,72,72,1.0
773,60,60,1.0
774,60,60,1.0
775,120,120,1.0
776,120,120,1.0
777,72,72,1.0
778,24,24,1.0
779,48,48,1.0
780,80,80,1.0
781,80,80,1.0
782,80,80,1.0
783,80,80,1.0
784,270,270,1.0
785,40,40,1.0
786,60,60,1.0
787,24,24,1.0
788,60,60,1.0
789,60,60,1.0
790,48,48,1.0
791,96,96,1.0
792,30,30,1.0
793,60,60,1.0
794,40,40,1.0
795,40,40,1.0
796,80,80,1.0
797,16,16,1.0
798,48,48,1.0
799,36,36,1.0
800,96,96,1.0
801,96,96,1.0
802,96,96,1.0
803,60,60,1.0
804,360,360,1.0
805,84,84,1.0
806,36,36,1.0
807,72,72,1.0
808,16,16,1.0
809,16,16,1.0
810,24,24,1.0
811,24,24,1.0
812,48,48,1.0
813,32,32,1.0
814,48,48,1.0
815,40,40,1.0
816,36,36,1.0
817,96,96,1.0
818,48,48,1.0
819,12,12,1.0
820,36,36,1.0
821,6,6,1.0
822,12,12,1.0
823,96,96,1.0
824,48,48,1.0
825,32,32,1.0
826,18,18,1.0
827,18,18,1.0
828,24,24,1.0
829,72,72,1.0
830,48,48,1.0
831,96,96,1.0
832,96,96,1.0
833,24,24,1.0
834,24,24,1.0
835,24,24,1.0
836,24,24,1.0
837,24,24,1.0
838,15,15,1.0
839,40,40,1.0
840,60,60,1.0
841,48,48,1.0
842,192,192,1.0
843,240,240,1.0
844,12,12,1.0
845,12,12,1.0
846,120,120,1.0
847,432,432,1.0
848,144,144,1.0
849,72,72,1.0
850,224,224,1.0
851,48,48,1.0
852,240,240,1.0
853,120,120,1.0
854,180,180,1.0
855,240,240,1.0
856,128,128,1.0
857,240,240,1.0
858,160,160,1.0
859,48,48,1.0
860,360,360,1.0
861,240,240,1.0
862,240,240,1.0
863,240,240,1.0
864,24,24,1.0
865,480,480,1.0
866,360,360,1.0
867,32,32,1.0
868,48,48,1.0
869,192,192,1.0
870,24,24,1.0
871,60,60,1.0
872,48,48,1.0
873,24,24,1.0
874,64,64,1.0
875,12,12,1.0
876,160,160,1.0
877,24,24,1.0
878,18,18,1.0
879,48,48,1.0
880,120,120,1.0
881,72,72,1.0
882,72,72,1.0
883,96,96,1.0
884,48,48,1.0
885,48,48,1.0
886,48,48,1.0
887,168,168,1.0
888,48,48,1.0
889,24,24,1.0
890,72,72,1.0
891,24,24,1.0
892,144,144,1.0
893,48,48,1.0
894,72,72,1.0
895,192,192,1.0
896,192,192,1.0
897,192,192,1.0
898,192,192,1.0
899,192,192,1.0
900,48,48,1.0
901,48,48,1.0
902,96,96,1.0
903,144,144,1.0
904,48,48,1.0
905,48,48,1.0
906,192,192,1.0
907,540,540,1.0
908,48,48,1.0
909,24,24,1.0
910,24,24,1.0
911,96,96,1.0
912,192,192,1.0
913,24,24,1.0
914,60,60,1.0
915,96,96,1.0
916,96,96,1.0
917,12,12,1.0
918,12,12,1.0
919,48,48,1.0
920,48,48,1.0
921,48,48,1.0
922,48,48,1.0
923,48,48,1.0
924,48,48,1.0
925,96,96,1.0
926,72,72,1.0
927,48,48,1.0
928,288,288,1.0
929,120,120,1.0
930,96,96,1.0
931,144,144,1.0
932,96,96,1.0
933,144,144,1.0
934,48,48,1.0
935,36,36,1.0
936,24,24,1.0
937,144,144,1.0
938,384,384,1.0
939,288,288,1.0
940,96,96,1.0
941,32,32,1.0
942,288,288,1.0
943,240,240,1.0
944,240,240,1.0
945,240,240,1.0
946,288,288,1.0
947,288,288,1.0
948,288,288,1.0
949,288,288,1.0
950,192,192,1.0
951,288,288,1.0
952,480,480,1.0
953,48,48,1.0
954,36,36,1.0
955,36,36,1.0
956,864,864,1.0
957,576,576,1.0
958,192,192,1.0
959,360,360,1.0
960,192,192,1.0
961,192,192,1.0
962,576,576,1.0
963,864,864,1.0
964,576,576,1.0
965,600,600,1.0
966,96,96,1.0
967,48,48,1.0
968,72,72,1.0
969,48,48,1.0
970,90,90,1.0
971,72,72,1.0
972,90,90,1.0
973,48,48,1.0
