order_id,item_id,item_quantity,order_arrival
793,34,3,0
793,236,3,0
793,232,3,0
793,26,3,0
793,445,2,0
794,26,1,1
794,349,3,1
795,35,2,2
795,14,1,2
795,52,2,2
795,4,1,2
795,200,3,2
796,430,3,3
796,391,3,3
797,38,2,4
798,101,1,5
799,420,3,6
799,72,1,6
799,43,2,6
799,41,1,6
800,12,3,7
800,86,2,7
801,107,1,8
801,27,3,8
801,206,2,8
801,332,1,8
801,145,3,8
801,31,1,8
802,160,3,9
803,157,2,10
803,97,1,10
803,87,1,10
803,11,2,10
804,53,3,11
804,215,2,11
805,50,2,12
805,41,2,12
805,1,2,12
806,30,3,13
807,2,3,14
808,18,2,15
809,159,2,16
809,184,2,16
809,75,3,16
810,0,1,17
811,37,1,18
811,6,2,18
811,53,3,18
811,9,2,18
812,19,2,19
812,123,2,19
813,5,2,20
814,274,1,21
814,277,2,21
814,68,3,21
814,455,1,21
814,314,3,21
814,255,1,21
814,168,3,21
814,49,2,21
814,5,2,21
814,223,1,21
815,143,2,22
815,185,1,22
815,89,3,22
815,172,2,22
815,101,3,22
815,175,1,22
816,22,3,23
816,8,1,23
817,8,2,24
817,314,2,24
817,193,2,24
818,379,2,25
819,157,1,26
819,9,2,26
820,333,2,27
820,216,2,27
821,22,2,28
822,0,2,29
822,172,1,29
823,49,3,30
824,97,1,31
825,120,1,32
825,273,2,32
825,13,3,32
826,1,1,33
827,184,2,34
827,264,3,34
828,18,1,35
828,51,1,35
828,40,3,35
828,310,3,35
828,25,3,35
828,1,1,35
828,37,3,35
828,473,1,35
828,435,2,35
829,151,2,36
829,172,2,36
830,135,2,37
831,13,1,38
831,5,1,38
831,174,1,38
831,15,3,38
831,11,3,38
831,84,1,38
831,315,3,38
831,27,2,38
832,0,2,39
833,6,1,40
834,43,3,41
835,60,1,42
835,14,3,42
835,166,3,42
835,209,1,42
836,312,1,43
837,40,2,44
838,371,2,45
838,56,2,45
838,420,1,45
838,3,2,45
839,6,3,46
840,66,2,47
840,436,2,47
840,283,2,47
840,140,3,47
840,258,2,47
840,8,3,47
840,5,3,47
840,172,3,47
840,197,2,47
840,65,1,47
841,33,2,48
841,114,3,48
842,14,3,49
842,16,3,49
843,4,3,50
843,2,1,50
843,67,1,50
843,29,3,50
843,223,1,50
844,8,3,51
844,20,1,51
844,12,2,51
844,4,2,51
844,0,2,51
844,3,3,51
844,11,3,51
845,43,2,52
845,278,3,52
846,9,3,53
847,14,2,54
848,1,2,55
848,27,3,55
849,185,2,56
850,304,3,57
851,266,1,58
851,482,3,58
851,290,1,58
851,327,3,58
851,243,2,58
851,301,1,58
852,37,2,59
852,29,1,59
852,109,2,59
852,31,2,59
852,7,1,59
852,50,2,59
853,22,2,60
853,32,1,60
854,355,3,61
855,40,3,62
855,22,2,62
855,71,1,62
855,325,1,62
855,240,1,62
855,341,3,62
855,174,1,62
856,204,1,63
856,15,2,63
856,106,3,63
856,6,2,63
857,6,1,64
857,436,3,64
857,280,2,64
857,199,1,64
857,295,1,64
857,320,2,64
857,460,2,64
857,79,1,64
858,55,1,65
858,69,3,65
