item_code,cluster,initial_inventory_items,initial_inventory_boxes,unassigned_boxes,unassigned_items_equivalent
15020920001,0,701,30,30,720
15022005001,0,557,24,24,576
10040048001,0,562,71,71,568
15023035001,0,475,20,20,480
12301023001,0,11,1,1,360
12301027001,0,13,1,1,360
11021047001,0,4,1,1,240
14500003001,0,218,8,8,240
12201030001,0,220,220,220,220
65103009001,0,3,1,1,216
10000013001,0,174,8,8,192
10016014001,0,170,8,8,192
12201098001,0,85,2,2,168
12201064001,0,132,2,2,160
14225023001,0,4,1,1,159
14225029001,0,3,1,1,159
12123063001,0,124,3,3,144
12010001001,0,24,1,1,144
12010080001,0,27,1,1,144
12010036001,0,24,1,1,144
12010059001,0,21,1,1,144
10041899001,0,123,21,21,126
12201071001,0,123,123,123,123
12201034001,0,121,121,121,121
12103060001,0,8,1,1,120
12101033001,0,2,1,1,120
10002073001,0,97,5,5,120
14505059001,0,97,3,3,120
14204010001,0,99,4,4,120
12212008001,0,5,1,1,108
14501031001,0,106,9,9,108
12210005001,0,106,106,106,106
12201008001,0,103,103,103,103
12201020001,0,101,101,101,101
10040082001,0,90,8,8,96
14011030001,0,87,8,8,96
14522048001,0,10,1,1,96
14520066001,0,6,1,1,96
12301005001,0,5,1,1,96
10035010001,0,95,4,4,96
15021047001,0,74,4,4,96
10041007001,0,89,4,4,96
11071008001,0,10,1,1,96
10303001001,0,87,4,4,96
15021042001,0,91,4,4,96
10010018001,0,85,4,4,96
14853003001,0,92,2,2,96
12104021001,0,11,1,1,96
14222027001,0,19,1,1,96
14615070001,0,88,15,15,90
14502020001,0,90,3,3,90
14501065001,0,81,7,7,84
14504012001,0,48,2,2,80
14506199001,0,21,1,1,80
12102035001,0,3,1,1,80
10040071001,0,75,4,4,80
14505008001,0,59,2,2,80
31531042001,0,5,1,1,80
31531021001,0,4,1,1,80
14601067001,0,2,1,1,80
10033073001,0,65,6,6,72
12103105001,0,11,1,1,72
12103025001,0,11,1,1,72
12103011001,0,9,1,1,72
12100028001,0,7,1,1,72
14621028001,0,19,1,1,72
12100018001,0,5,1,1,72
12103089001,0,3,1,1,72
10020042001,0,67,3,3,72
10034023001,0,59,3,3,72
11032008001,0,61,2,2,72
11032002001,0,47,2,2,72
12100023001,0,7,1,1,72
12100046001,0,7,1,1,72
12103048001,0,6,1,1,72
10010019001,0,59,4,4,72
10014130001,0,63,3,3,72
10041008001,0,54,3,3,72
10014086001,0,71,3,3,72
14840022001,0,54,3,3,72
15023010001,0,49,3,3,72
10040034001,0,51,3,3,72
12010022001,0,18,1,1,72
14633934001,0,6,1,1,72
12104011001,0,7,1,1,72
12103170001,0,6,1,1,72
12103024001,0,6,1,1,72
12212037001,0,5,1,1,72
14633937001,0,3,1,1,72
14633936001,0,2,1,1,72
31253002001,0,2,1,1,70
31253001001,0,2,1,1,70
31533017001,0,2,1,1,64
12210011001,0,64,64,64,64
10040050001,0,51,5,5,60
31423019001,0,8,1,1,60
14603010001,0,7,1,1,60
14603019001,0,7,1,1,60
12301001001,0,5,1,1,60
31423897001,0,2,1,1,60
14502080001,0,51,2,2,60
14502016001,0,54,2,2,60
14226012001,0,8,1,1,60
14226003001,0,3,1,1,60
14010006001,0,46,4,4,60
14503010001,0,48,2,2,60
14500005001,0,31,2,2,60
14226005001,0,11,1,1,60
14226016001,0,10,1,1,60
14226059001,0,7,1,1,60
14226063001,0,7,1,1,60
14226067001,0,5,1,1,60
14226042001,0,5,1,1,60
12103016001,0,3,1,1,60
14223062001,0,2,1,1,60
12010106001,0,13,1,1,60
31255010001,0,4,1,1,50
31255006001,0,2,1,1,50
31426001001,0,3,1,1,50
31476039001,0,3,1,1,50
66511009001,0,8,1,1,50
11110077003,0,7,1,1,50
30010006001,0,6,1,1,50
12100027001,0,15,1,1,48
12123042001,0,12,1,1,48
12122007001,0,8,1,1,48
12123013001,0,9,1,1,48
12123131001,0,7,1,1,48
12123144001,0,6,1,1,48
31422007001,0,6,1,1,48
12123096001,0,5,1,1,48
31422018001,0,5,1,1,48
31422898001,0,5,1,1,48
12100040001,0,5,1,1,48
12103144001,0,4,1,1,48
31420014001,0,3,1,1,48
31421038001,0,4,1,1,48
31423001001,0,4,1,1,48
31422014001,0,3,1,1,48
31422900001,0,3,1,1,48
31420001001,0,3,1,1,48
31422016001,0,3,1,1,48
31421040001,0,2,1,1,48
14132229001,0,43,8,8,48
14852005001,0,26,2,2,48
11073009001,0,6,1,1,48
12102053001,0,6,1,1,48
14833082001,0,4,1,1,48
12102058001,0,4,1,1,48
31422001001,0,3,1,1,48
10021022001,0,46,4,4,48
10020016001,0,47,2,2,48
10014029001,0,46,2,2,48
10010012001,0,46,2,2,48
10014117001,0,46,2,2,48
10033012001,0,47,2,2,48
10023035001,0,37,2,2,48
14804999001,0,38,2,2,48
10014111001,0,35,2,2,48
10034012001,0,37,2,2,48
10021003001,0,32,2,2,48
10053909001,0,36,2,2,48
14506281001,0,31,2,2,48
10032048001,0,33,2,2,48
10031023001,0,29,2,2,48
10014030001,0,33,2,2,48
10034045001,0,35,2,2,48
10001007001,0,31,2,2,48
10010009001,0,26,2,2,48
10032052001,0,27,2,2,48
10020030001,0,27,2,2,48
10014067001,0,26,2,2,48
12100003001,0,8,1,1,48
12102057001,0,6,1,1,48
12102055001,0,6,1,1,48
12100002001,0,4,1,1,48
15021057001,0,45,2,2,48
10014898001,0,44,2,2,48
10020025001,0,43,2,2,48
10303003001,0,44,2,2,48
10014101001,0,39,2,2,48
14841001001,0,40,2,2,48
10014034001,0,44,2,2,48
15021059001,0,36,2,2,48
10034013001,0,38,2,2,48
10034032001,0,39,2,2,48
10022006001,0,45,2,2,48
10020003001,0,41,2,2,48
10020012001,0,42,2,2,48
10020038001,0,32,2,2,48
15022021001,0,47,2,2,48
10014076001,0,43,2,2,48
10035036001,0,31,2,2,48
14833066001,0,39,2,2,48
10040021001,0,37,2,2,48
10016002001,0,30,2,2,48
10020046001,0,35,2,2,48
10014024001,0,31,2,2,48
14833056001,0,34,2,2,48
10032059001,0,27,2,2,48
10032023001,0,31,2,2,48
10014109001,0,25,2,2,48
10022016001,0,25,2,2,48
14832033001,0,25,2,2,48
14833011001,0,18,1,1,48
14822042001,0,13,1,1,48
14633001001,0,9,1,1,48
10022010001,0,11,1,1,48
14225018001,0,9,1,1,48
14832003001,0,11,1,1,48
12102106001,0,7,1,1,48
12212062001,0,8,1,1,48
14101021001,0,8,1,1,48
14101016001,0,4,1,1,48
14101017001,0,4,1,1,48
12101043001,0,4,1,1,48
